,Unnamed: 0,year,age_gr,sampreg,pli0082,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,17-29 y.,West,At least once per week,0.08078,206,9378,0.07349,0.08717
1,1,1990,17-29 y.,West,At least once per month,0.33575,842,9378,0.31873,0.35081
2,2,1990,17-29 y.,West,Seldom,0.5168,1370,9378,0.49563,0.5366
3,3,1990,17-29 y.,West,Never,0.06667,273,9378,0.05801,0.07389
4,4,1990,30-45 y.,West,At least once per week,0.08121,203,9378,0.07417,0.08924
5,5,1990,30-45 y.,West,At least once per month,0.36487,944,9378,0.35145,0.37689
6,6,1990,30-45 y.,West,Seldom,0.494,1374,9378,0.47589,0.51091
7,7,1990,30-45 y.,West,Never,0.05991,252,9378,0.05378,0.06672
8,8,1990,46-65 y.,West,At least once per week,0.09459,229,9378,0.08967,0.10004
9,9,1990,46-65 y.,West,At least once per month,0.3347,863,9378,0.32425,0.34534
10,10,1990,46-65 y.,West,Seldom,0.4922,1413,9378,0.47908,0.50754
11,11,1990,46-65 y.,West,Never,0.07851,375,9378,0.07134,0.08647
12,12,1990,66 and older,West,At least once per week,0.07339,75,9378,0.06705,0.07935
13,13,1990,66 and older,West,At least once per month,0.26182,283,9378,0.25201,0.27257
14,14,1990,66 and older,West,Seldom,0.41651,436,9378,0.40047,0.42976
15,15,1990,66 and older,West,Never,0.24827,240,9378,0.23643,0.26137
16,16,1995,17-29 y.,West,At least once per week,0.05031,122,13162,0.04208,0.0573
17,17,1995,17-29 y.,West,At least once per month,0.25982,610,13162,0.24685,0.27458
18,18,1995,17-29 y.,West,Seldom,0.58823,1479,13162,0.56451,0.61691
19,19,1995,17-29 y.,West,Never,0.10164,291,13162,0.09174,0.11238
20,20,1995,17-29 y.,East,At least once per week,0.07268,48,13162,0.0589,0.09447
21,21,1995,17-29 y.,East,At least once per month,0.31992,270,13162,0.30005,0.34642
22,22,1995,17-29 y.,East,Seldom,0.5519,466,13162,0.52294,0.58479
23,23,1995,17-29 y.,East,Never,0.0555,43,13162,0.04533,0.06557
24,24,1995,30-45 y.,West,At least once per week,0.06852,177,13162,0.06096,0.07561
25,25,1995,30-45 y.,West,At least once per month,0.31085,907,13162,0.29801,0.32543
26,26,1995,30-45 y.,West,Seldom,0.5515,1765,13162,0.53372,0.56659
27,27,1995,30-45 y.,West,Never,0.06913,286,13162,0.06195,0.0765
28,28,1995,30-45 y.,East,At least once per week,0.06727,84,13162,0.05819,0.07789
29,29,1995,30-45 y.,East,At least once per month,0.33686,430,13162,0.31849,0.35413
30,30,1995,30-45 y.,East,Seldom,0.51456,659,13162,0.4874,0.53612
31,31,1995,30-45 y.,East,Never,0.08131,105,13162,0.07326,0.09124
32,32,1995,46-65 y.,West,At least once per week,0.06418,149,13162,0.05854,0.0702
33,33,1995,46-65 y.,West,At least once per month,0.2671,674,13162,0.25514,0.27842
34,34,1995,46-65 y.,West,Seldom,0.55626,1534,13162,0.53629,0.57332
35,35,1995,46-65 y.,West,Never,0.11245,415,13162,0.1035,0.12149
36,36,1995,46-65 y.,East,At least once per week,0.04937,56,13162,0.04139,0.05629
37,37,1995,46-65 y.,East,At least once per month,0.29777,352,13162,0.28364,0.31011
38,38,1995,46-65 y.,East,Seldom,0.55593,672,13162,0.53259,0.58031
39,39,1995,46-65 y.,East,Never,0.09692,88,13162,0.0854,0.10806
40,40,1995,66 and older,West,At least once per week,0.05121,59,13162,0.04422,0.05884
41,41,1995,66 and older,West,At least once per month,0.27719,290,13162,0.25915,0.29346
42,42,1995,66 and older,West,Seldom,0.41295,472,13162,0.39688,0.43201
43,43,1995,66 and older,West,Never,0.25866,282,13162,0.238,0.2774
44,44,1995,66 and older,East,At least once per month,0.14482,65,13162,0.13272,0.15933
45,45,1995,66 and older,East,Seldom,0.53549,199,13162,0.50754,0.56442
46,46,1995,66 and older,East,Never,0.31969,113,13162,0.29352,0.34636
47,47,1998,17-29 y.,West,At least once per week,0.04775,100,14102,0.04107,0.05445
48,48,1998,17-29 y.,West,At least once per month,0.24863,548,14102,0.23153,0.26206
49,49,1998,17-29 y.,West,Seldom,0.62519,1432,14102,0.59713,0.65241
50,50,1998,17-29 y.,West,Never,0.07843,196,14102,0.06993,0.08669
51,51,1998,17-29 y.,East,At least once per week,0.05897,49,14102,0.04714,0.07105
52,52,1998,17-29 y.,East,At least once per month,0.27326,238,14102,0.24676,0.2964
53,53,1998,17-29 y.,East,Seldom,0.60631,524,14102,0.57719,0.64308
54,54,1998,17-29 y.,East,Never,0.06146,52,14102,0.0522,0.07294
55,55,1998,30-45 y.,West,At least once per week,0.0435,152,14102,0.03935,0.04736
56,56,1998,30-45 y.,West,At least once per month,0.26836,900,14102,0.25678,0.28252
57,57,1998,30-45 y.,West,Seldom,0.61768,2216,14102,0.59664,0.63633
58,58,1998,30-45 y.,West,Never,0.07046,285,14102,0.06494,0.07566
59,59,1998,30-45 y.,East,At least once per week,0.04357,52,14102,0.03597,0.05026
60,60,1998,30-45 y.,East,At least once per month,0.26664,326,14102,0.24756,0.28346
61,61,1998,30-45 y.,East,Seldom,0.62016,783,14102,0.59344,0.6469
