year,quintil_oecd,sex,pli0082,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,1st Quintile,male,At least once per week,0.08229,60,843,0.06373,0.10085
1990,1st Quintile,male,At least once per month,0.22792,187,843,0.19959,0.25626
1990,1st Quintile,male,Seldom,0.50603,422,843,0.47225,0.53980
1990,1st Quintile,male,Never,0.17851,174,843,0.15265,0.20438
1990,1st Quintile,female,At least once per week,0.05190,52,1040,0.03841,0.06539
1990,1st Quintile,female,At least once per month,0.20717,225,1040,0.18253,0.23182
1990,1st Quintile,female,Seldom,0.47242,496,1040,0.44206,0.50278
1990,1st Quintile,female,Never,0.26313,267,1040,0.23636,0.28991
1990,2nd Quintile,male,At least once per week,0.07632,61,886,0.05883,0.09382
1990,2nd Quintile,male,At least once per month,0.32154,261,886,0.29076,0.35231
1990,2nd Quintile,male,Seldom,0.51388,459,886,0.48095,0.54681
1990,2nd Quintile,male,Never,0.08518,105,886,0.06679,0.10357
1990,2nd Quintile,female,At least once per week,0.07756,65,988,0.06087,0.09425
1990,2nd Quintile,female,At least once per month,0.27480,247,988,0.24695,0.30265
1990,2nd Quintile,female,Seldom,0.51684,530,988,0.48566,0.54801
1990,2nd Quintile,female,Never,0.12931,146,988,0.10838,0.15025
1990,3rd Quintile,male,At least once per week,0.08138,67,935,0.06384,0.09891
1990,3rd Quintile,male,At least once per month,0.34801,304,935,0.31746,0.37856
1990,3rd Quintile,male,Seldom,0.49085,461,935,0.45879,0.52292
1990,3rd Quintile,male,Never,0.07586,103,935,0.05888,0.09285
1990,3rd Quintile,female,At least once per week,0.07401,68,944,0.05730,0.09072
1990,3rd Quintile,female,At least once per month,0.28840,259,944,0.25949,0.31731
1990,3rd Quintile,female,Seldom,0.53937,503,944,0.50756,0.57119
1990,3rd Quintile,female,Never,0.09398,114,944,0.07535,0.11260
1990,4th Quintile,male,At least once per week,0.10306,101,1004,0.08424,0.12187
1990,4th Quintile,male,At least once per month,0.39008,370,1004,0.35989,0.42027
1990,4th Quintile,male,Seldom,0.44255,452,1004,0.41181,0.47329
1990,4th Quintile,male,Never,0.06081,81,1004,0.04602,0.07560
1990,4th Quintile,female,At least once per week,0.08958,76,918,0.07110,0.10807
1990,4th Quintile,female,At least once per month,0.36908,316,918,0.33785,0.40032
1990,4th Quintile,female,Seldom,0.47044,447,918,0.43814,0.50275
1990,4th Quintile,female,Never,0.06731,79,918,0.05109,0.08352
1990,5th Quintile,male,At least once per week,0.10045,87,955,0.08137,0.11952
1990,5th Quintile,male,At least once per month,0.41742,405,955,0.38612,0.44871
1990,5th Quintile,male,Seldom,0.45115,426,955,0.41957,0.48272
1990,5th Quintile,male,Never,0.02914,37,955,0.01847,0.03981
1990,5th Quintile,female,At least once per week,0.09873,76,862,0.07880,0.11866
1990,5th Quintile,female,At least once per month,0.41612,358,862,0.38319,0.44904
1990,5th Quintile,female,Seldom,0.45401,396,862,0.42076,0.48727
1990,5th Quintile,female,Never,0.03021,32,862,0.01877,0.04164
1995,1st Quintile,male,At least once per week,0.07264,56,1096,0.05727,0.08801
1995,1st Quintile,male,At least once per month,0.21426,224,1096,0.18996,0.23857
1995,1st Quintile,male,Seldom,0.50147,578,1096,0.47185,0.53108
1995,1st Quintile,male,Never,0.20801,238,1096,0.18397,0.23205
1995,1st Quintile,female,At least once per week,0.04108,60,1413,0.03072,0.05143
1995,1st Quintile,female,At least once per month,0.18680,275,1413,0.16647,0.20713
1995,1st Quintile,female,Seldom,0.51092,745,1413,0.48484,0.53699
1995,1st Quintile,female,Never,0.25795,333,1413,0.23513,0.28077
1995,2nd Quintile,male,At least once per week,0.05553,66,1341,0.04326,0.06779
1995,2nd Quintile,male,At least once per month,0.25721,341,1341,0.23380,0.28061
1995,2nd Quintile,male,Seldom,0.54213,739,1341,0.51545,0.56881
1995,2nd Quintile,male,Never,0.14255,195,1341,0.12383,0.16127
1995,2nd Quintile,female,At least once per week,0.04233,70,1522,0.03221,0.05245
1995,2nd Quintile,female,At least once per month,0.21985,336,1522,0.19904,0.24066
1995,2nd Quintile,female,Seldom,0.53045,847,1522,0.50537,0.55554
1995,2nd Quintile,female,Never,0.20511,269,1522,0.18481,0.22540
1995,3rd Quintile,male,At least once per week,0.07306,89,1327,0.05906,0.08707
1995,3rd Quintile,male,At least once per month,0.26603,353,1327,0.24225,0.28982
1995,3rd Quintile,male,Seldom,0.54991,743,1327,0.52314,0.57669
1995,3rd Quintile,male,Never,0.10805,142,1327,0.09134,0.12476
1995,3rd Quintile,female,At least once per week,0.05410,78,1377,0.04215,0.06606
1995,3rd Quintile,female,At least once per month,0.26481,344,1377,0.24150,0.28813
1995,3rd Quintile,female,Seldom,0.58103,807,1377,0.55496,0.60710
1995,3rd Quintile,female,Never,0.09942,148,1377,0.08361,0.11523
1995,4th Quintile,male,At least once per week,0.07021,77,1347,0.05656,0.08386
1995,4th Quintile,male,At least once per month,0.31707,425,1347,0.29221,0.34193
1995,4th Quintile,male,Seldom,0.54829,757,1347,0.52170,0.57488
1995,4th Quintile,male,Never,0.06377,88,1347,0.05072,0.07683
1995,4th Quintile,female,At least once per week,0.05986,68,1301,0.04697,0.07276
1995,4th Quintile,female,At least once per month,0.27944,383,1301,0.25505,0.30383
1995,4th Quintile,female,Seldom,0.57644,754,1301,0.54958,0.60330
1995,4th Quintile,female,Never,0.08261,96,1301,0.06765,0.09758
1995,5th Quintile,male,At least once per week,0.07105,86,1254,0.05683,0.08528
1995,5th Quintile,male,At least once per month,0.39052,477,1254,0.36350,0.41753
1995,5th Quintile,male,Seldom,0.49545,643,1254,0.46776,0.52313
1995,5th Quintile,male,Never,0.04252,48,1254,0.03134,0.05369
1995,5th Quintile,female,At least once per week,0.06223,64,1199,0.04855,0.07591
1995,5th Quintile,female,At least once per month,0.38352,440,1199,0.35598,0.41105
1995,5th Quintile,female,Seldom,0.49855,632,1199,0.47024,0.52687
1995,5th Quintile,female,Never,0.05453,63,1199,0.04168,0.06739
1998,1st Quintile,male,At least once per week,0.04992,46,1021,0.03656,0.06329
