,Unnamed: 0,year,migback,sex,pli0082,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,No migration background,male,At least once per week,0.09202,274,9324,0.0869,0.09629
1,1,1990,No migration background,male,At least once per month,0.35777,1146,9324,0.3498,0.36447
2,2,1990,No migration background,male,Seldom,0.48404,1549,9324,0.47605,0.49452
3,3,1990,No migration background,male,Never,0.06617,200,9324,0.06206,0.07033
4,4,1990,No migration background,female,At least once per week,0.08086,273,9324,0.07682,0.08505
5,5,1990,No migration background,female,At least once per month,0.31682,1107,9324,0.30923,0.32539
6,6,1990,No migration background,female,Seldom,0.4894,1720,9324,0.47856,0.49938
7,7,1990,No migration background,female,Never,0.11292,323,9324,0.10721,0.11914
8,8,1990,Direct migration background,male,At least once per week,0.08048,91,9324,0.06554,0.09634
9,9,1990,Direct migration background,male,At least once per month,0.31341,332,9324,0.27562,0.34745
10,10,1990,Direct migration background,male,Seldom,0.44124,610,9324,0.4055,0.48064
11,11,1990,Direct migration background,male,Never,0.16487,279,9324,0.14606,0.18605
12,12,1990,Direct migration background,female,At least once per week,0.05572,56,9324,0.03811,0.07415
13,13,1990,Direct migration background,female,At least once per month,0.25088,254,9324,0.2261,0.27778
14,14,1990,Direct migration background,female,Seldom,0.50708,570,9324,0.46447,0.54881
15,15,1990,Direct migration background,female,Never,0.18632,303,9324,0.16005,0.21472
16,16,1990,Indirect migration background,male,At least once per month,0.44203,49,9324,0.3158,0.60489
17,17,1990,Indirect migration background,male,Seldom,0.55797,61,9324,0.42151,0.69904
18,18,1990,Indirect migration background,female,At least once per month,0.40257,44,9324,0.26575,0.59596
19,19,1990,Indirect migration background,female,Seldom,0.59743,83,9324,0.45644,0.73987
20,20,1995,No migration background,male,At least once per week,0.07262,305,13160,0.06734,0.07812
21,21,1995,No migration background,male,At least once per month,0.3118,1482,13160,0.3002,0.32163
22,22,1995,No migration background,male,Seldom,0.52555,2553,13160,0.51258,0.54017
23,23,1995,No migration background,male,Never,0.09003,381,13160,0.08381,0.09614
24,24,1995,No migration background,female,At least once per week,0.05495,283,13160,0.05049,0.05989
25,25,1995,No migration background,female,At least once per month,0.27801,1494,13160,0.26975,0.28865
26,26,1995,No migration background,female,Seldom,0.53604,2878,13160,0.52299,0.55048
27,27,1995,No migration background,female,Never,0.131,555,13160,0.12453,0.13772
28,28,1995,Direct migration background,male,At least once per week,0.05175,57,13160,0.04144,0.06456
29,29,1995,Direct migration background,male,At least once per month,0.23085,281,13160,0.20342,0.26099
30,30,1995,Direct migration background,male,Seldom,0.52854,759,13160,0.48918,0.5663
31,31,1995,Direct migration background,male,Never,0.18885,298,13160,0.16652,0.20625
32,32,1995,Direct migration background,female,At least once per week,0.03461,48,13160,0.02741,0.04079
33,33,1995,Direct migration background,female,At least once per month,0.20243,240,13160,0.17739,0.23452
34,34,1995,Direct migration background,female,Seldom,0.56135,761,13160,0.52717,0.59714
35,35,1995,Direct migration background,female,Never,0.20161,308,13160,0.18039,0.22532
36,36,1995,Indirect migration background,male,At least once per month,0.20135,57,13160,0.1483,0.27278
37,37,1995,Indirect migration background,male,Seldom,0.69143,148,13160,0.5769,0.82501
38,38,1995,Indirect migration background,male,Never,0.10722,32,13160,0.07904,0.13916
39,39,1995,Indirect migration background,female,At least once per month,0.25871,44,13160,0.1971,0.35295
40,40,1995,Indirect migration background,female,Seldom,0.57285,147,13160,0.49203,0.68528
41,41,1995,Indirect migration background,female,Never,0.16844,49,13160,0.12016,0.23747
42,42,1998,No migration background,male,At least once per week,0.05898,299,14092,0.05457,0.0631
43,43,1998,No migration background,male,At least once per month,0.2761,1445,14092,0.26649,0.28505
44,44,1998,No migration background,male,Seldom,0.58309,3191,14092,0.56782,0.59764
45,45,1998,No migration background,male,Never,0.08183,396,14092,0.07646,0.08762
46,46,1998,No migration background,female,At least once per week,0.04896,276,14092,0.0456,0.05308
47,47,1998,No migration background,female,At least once per month,0.25215,1463,14092,0.24375,0.26147
48,48,1998,No migration background,female,Seldom,0.58726,3522,14092,0.57217,0.6006
49,49,1998,No migration background,female,Never,0.11164,567,14092,0.1049,0.11778
50,50,1998,Direct migration background,male,At least once per week,0.03023,34,14092,0.02147,0.03947
51,51,1998,Direct migration background,male,At least once per month,0.22059,225,14092,0.19478,0.24826
52,52,1998,Direct migration background,male,Seldom,0.58452,719,14092,0.54331,0.62583
53,53,1998,Direct migration background,male,Never,0.16466,219,14092,0.14937,0.18414
54,54,1998,Direct migration background,female,At least once per week,0.02973,35,14092,0.02343,0.03721
55,55,1998,Direct migration background,female,At least once per month,0.20121,203,14092,0.17861,0.22257
56,56,1998,Direct migration background,female,Seldom,0.58386,710,14092,0.54278,0.62104
57,57,1998,Direct migration background,female,Never,0.18519,229,14092,0.1672,0.20509
58,58,1998,Indirect migration background,male,At least once per month,0.22064,70,14092,0.17618,0.28565
59,59,1998,Indirect migration background,male,Seldom,0.65955,184,14092,0.56561,0.76382
60,60,1998,Indirect migration background,male,Never,0.11981,34,14092,0.09416,0.15173
61,61,1998,Indirect migration background,female,At least once per month,0.22884,62,14092,0.18397,0.28762
62,62,1998,Indirect migration background,female,Seldom,0.6714,177,14092,0.57495,0.76465
63,63,1998,Indirect migration background,female,Never,0.09976,32,14092,0.07674,0.12294
64,64,2003,No migration background,male,At least once per week,0.05744,513,21990,0.05318,0.06118
65,65,2003,No migration background,male,At least once per month,0.26474,2517,21990,0.25503,0.27376
66,66,2003,No migration background,male,Seldom,0.57297,5155,21990,0.55988,0.58323
67,67,2003,No migration background,male,Never,0.10485,813,21990,0.10024,0.1092
68,68,2003,No migration background,female,At least once per week,0.04056,441,21990,0.0381,0.0438
69,69,2003,No migration background,female,At least once per month,0.23939,2472,21990,0.23186,0.24638
70,70,2003,No migration background,female,Seldom,0.58042,5660,21990,0.56883,0.59288
71,71,2003,No migration background,female,Never,0.13962,1087,21990,0.13464,0.14506
72,72,2003,Direct migration background,male,At least once per week,0.02535,38,21990,0.01885,0.03183
73,73,2003,Direct migration background,male,At least once per month,0.20243,246,21990,0.18271,0.22063
74,74,2003,Direct migration background,male,Seldom,0.55166,702,21990,0.52103,0.5853
75,75,2003,Direct migration background,male,Never,0.22056,266,21990,0.20323,0.24307
76,76,2003,Direct migration background,female,At least once per week,0.02924,47,21990,0.02263,0.03624
77,77,2003,Direct migration background,female,At least once per month,0.176,237,21990,0.16205,0.1934
78,78,2003,Direct migration background,female,Seldom,0.55939,757,21990,0.5223,0.59223
79,79,2003,Direct migration background,female,Never,0.23536,302,21990,0.21654,0.25656
80,80,2003,Indirect migration background,male,At least once per month,0.17312,75,21990,0.13391,0.21554
81,81,2003,Indirect migration background,male,Seldom,0.61573,218,21990,0.53901,0.67311
82,82,2003,Indirect migration background,male,Never,0.21115,59,21990,0.16928,0.26125
83,83,2003,Indirect migration background,female,At least once per month,0.2026,87,21990,0.16959,0.23652
84,84,2003,Indirect migration background,female,Seldom,0.60746,230,21990,0.53528,0.67579
85,85,2003,Indirect migration background,female,Never,0.18994,68,21990,0.1478,0.24522
86,86,2008,No migration background,male,At least once per week,0.03505,276,19171,0.03157,0.03835
87,87,2008,No migration background,male,At least once per month,0.22516,1857,19171,0.21631,0.23451
88,88,2008,No migration background,male,Seldom,0.59121,4748,19171,0.57725,0.608
89,89,2008,No migration background,male,Never,0.14858,1042,19171,0.14223,0.15542
90,90,2008,No migration background,female,At least once per week,0.02438,225,19171,0.02191,0.02679
91,91,2008,No migration background,female,At least once per month,0.20033,1907,19171,0.19206,0.20662
92,92,2008,No migration background,female,Seldom,0.59439,5189,19171,0.57777,0.60895
93,93,2008,No migration background,female,Never,0.1809,1324,19171,0.17463,0.1892
94,94,2008,Direct migration background,male,At least once per month,0.15003,149,19171,0.12774,0.16677
95,95,2008,Direct migration background,male,Seldom,0.59893,518,19171,0.55248,0.63967
96,96,2008,Direct migration background,male,Never,0.25104,194,19171,0.22205,0.28047
97,97,2008,Direct migration background,female,At least once per month,0.12832,128,19171,0.11162,0.14695
98,98,2008,Direct migration background,female,Seldom,0.60182,620,19171,0.56173,0.63661
99,99,2008,Direct migration background,female,Never,0.26985,248,19171,0.24528,0.29035
100,100,2008,Indirect migration background,male,At least once per month,0.16195,68,19171,0.12845,0.19818
101,101,2008,Indirect migration background,male,Seldom,0.65297,227,19171,0.58213,0.73927
102,102,2008,Indirect migration background,male,Never,0.18509,63,19171,0.14461,0.23402
103,103,2008,Indirect migration background,female,At least once per month,0.17715,71,19171,0.1411,0.21945
104,104,2008,Indirect migration background,female,Seldom,0.61893,237,19171,0.5471,0.69613
105,105,2008,Indirect migration background,female,Never,0.20392,80,19171,0.17053,0.23755
106,106,2013,No migration background,male,At least once per week,0.04187,459,25351,0.03711,0.04549
107,107,2013,No migration background,male,At least once per month,0.29046,2980,25351,0.27789,0.3023
108,108,2013,No migration background,male,Seldom,0.54105,5234,25351,0.52425,0.55579
109,109,2013,No migration background,male,Never,0.12662,1118,25351,0.12033,0.134
110,110,2013,No migration background,female,At least once per week,0.03375,493,25351,0.03079,0.03698
111,111,2013,No migration background,female,At least once per month,0.25532,3284,25351,0.2453,0.26418
112,112,2013,No migration background,female,Seldom,0.56518,6491,25351,0.54956,0.57776
113,113,2013,No migration background,female,Never,0.14575,1468,25351,0.13885,0.15146
114,114,2013,Direct migration background,male,At least once per week,0.04137,72,25351,0.02934,0.05644
115,115,2013,Direct migration background,male,At least once per month,0.21867,243,25351,0.18559,0.25899
116,116,2013,Direct migration background,male,Seldom,0.51402,650,25351,0.46646,0.57668
117,117,2013,Direct migration background,male,Never,0.22594,226,25351,0.19433,0.25734
118,118,2013,Direct migration background,female,At least once per week,0.03658,72,25351,0.02647,0.05241
119,119,2013,Direct migration background,female,At least once per month,0.17882,328,25351,0.15047,0.20593
120,120,2013,Direct migration background,female,Seldom,0.54102,827,25351,0.49643,0.59355
121,121,2013,Direct migration background,female,Never,0.24357,334,25351,0.2086,0.278
122,122,2013,Indirect migration background,male,At least once per month,0.24958,134,25351,0.1859,0.31073
123,123,2013,Indirect migration background,male,Seldom,0.65323,295,25351,0.57104,0.75918
124,124,2013,Indirect migration background,male,Never,0.09719,53,25351,0.06082,0.12733
125,125,2013,Indirect migration background,female,At least once per month,0.26697,162,25351,0.22259,0.31115
126,126,2013,Indirect migration background,female,Seldom,0.60996,349,25351,0.53193,0.6883
127,127,2013,Indirect migration background,female,Never,0.12308,79,25351,0.08675,0.16574
128,128,2017,Direct migration background,male,Daily,0.01867,33,3944,0.01177,0.02518
129,129,2017,Direct migration background,male,At least once per week,0.09722,220,3944,0.08383,0.11116
130,130,2017,Direct migration background,male,At least once per month,0.19841,417,3944,0.1765,0.21819
131,131,2017,Direct migration background,male,Seldom,0.31838,787,3944,0.29667,0.34787
132,132,2017,Direct migration background,male,Never,0.36732,801,3944,0.34166,0.39676
133,133,2017,Direct migration background,female,At least once per week,0.07013,119,3944,0.05694,0.08602
134,134,2017,Direct migration background,female,At least once per month,0.14112,245,3944,0.12258,0.16214
135,135,2017,Direct migration background,female,Seldom,0.34405,598,3944,0.30847,0.37458
136,136,2017,Direct migration background,female,Never,0.44471,724,3944,0.41256,0.48259
137,137,2018,Direct migration background,male,Daily,0.03116,51,3160,0.02188,0.04265
138,138,2018,Direct migration background,male,At least once per week,0.19379,350,3160,0.16663,0.2172
139,139,2018,Direct migration background,male,At least once per month,0.26839,502,3160,0.24357,0.29665
140,140,2018,Direct migration background,male,Seldom,0.30913,638,3160,0.28113,0.33774
141,141,2018,Direct migration background,male,Never,0.19753,346,3160,0.17185,0.21954
142,142,2018,Direct migration background,female,At least once per week,0.12329,182,3160,0.10292,0.14203
143,143,2018,Direct migration background,female,At least once per month,0.21842,304,3160,0.1841,0.24924
144,144,2018,Direct migration background,female,Seldom,0.40527,509,3160,0.3714,0.45521
145,145,2018,Direct migration background,female,Never,0.25301,278,3160,0.2147,0.2928
146,146,2019,No migration background,male,At least once per week,0.04984,578,28731,0.04416,0.05484
147,147,2019,No migration background,male,At least once per month,0.33797,3595,28731,0.32595,0.35202
148,148,2019,No migration background,male,Seldom,0.50891,4717,28731,0.49275,0.52696
149,149,2019,No migration background,male,Never,0.10329,828,28731,0.09475,0.11057
150,150,2019,No migration background,female,At least once per week,0.04468,510,28731,0.0405,0.04931
151,151,2019,No migration background,female,At least once per month,0.31645,3597,28731,0.30366,0.32786
152,152,2019,No migration background,female,Seldom,0.52424,5356,28731,0.50894,0.54184
153,153,2019,No migration background,female,Never,0.11463,919,28731,0.10814,0.12093
154,154,2019,Direct migration background,male,Daily,0.00199,62,28731,0.00132,0.00278
155,155,2019,Direct migration background,male,At least once per week,0.05186,395,28731,0.03657,0.07153
156,156,2019,Direct migration background,male,At least once per month,0.31781,1186,28731,0.28274,0.36534
157,157,2019,Direct migration background,male,Seldom,0.4468,1428,28731,0.39974,0.48895
158,158,2019,Direct migration background,male,Never,0.18155,549,28731,0.15773,0.2112
159,159,2019,Direct migration background,female,Daily,0.00248,35,28731,0.00063,0.00554
160,160,2019,Direct migration background,female,At least once per week,0.04755,259,28731,0.0349,0.06213
161,161,2019,Direct migration background,female,At least once per month,0.25925,992,28731,0.22626,0.28832
162,162,2019,Direct migration background,female,Seldom,0.51886,1566,28731,0.47149,0.56959
163,163,2019,Direct migration background,female,Never,0.17186,589,28731,0.14305,0.2015
164,164,2019,Indirect migration background,male,At least once per week,0.05137,39,28731,0.02853,0.08014
165,165,2019,Indirect migration background,male,At least once per month,0.30668,259,28731,0.2655,0.35718
166,166,2019,Indirect migration background,male,Seldom,0.58211,384,28731,0.52213,0.65376
167,167,2019,Indirect migration background,male,Never,0.05984,56,28731,0.0434,0.0805
168,168,2019,Indirect migration background,female,At least once per week,0.05906,60,28731,0.04005,0.08536
169,169,2019,Indirect migration background,female,At least once per month,0.28006,246,28731,0.24611,0.31985
170,170,2019,Indirect migration background,female,Seldom,0.55861,449,28731,0.48977,0.62708
171,171,2019,Indirect migration background,female,Never,0.10228,77,28731,0.07834,0.14449
