"pli0082","year","bildungsniveau","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Täglich","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","2","","",""
"Täglich","1995","(noch) kein Abschluss","2","","","",""
"Täglich","1995","(noch) kein Abschluss","3","","","",""
"Täglich","1995","(noch) kein Abschluss","4","","","",""
"Täglich","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1995","Hauptschule","1 Einkommensschwächstes Quintil","7","","",""
"Täglich","1995","Hauptschule","2","5","","",""
"Täglich","1995","Hauptschule","3","","","",""
"Täglich","1995","Hauptschule","4","1","","",""
"Täglich","1995","Hauptschule","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1995","Realschule","1 Einkommensschwächstes Quintil","1","","",""
"Täglich","1995","Realschule","2","","","",""
"Täglich","1995","Realschule","3","1","","",""
"Täglich","1995","Realschule","4","1","","",""
"Täglich","1995","Realschule","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","","","",""
"Täglich","1995","(Fach-)Abitur","2","1","","",""
"Täglich","1995","(Fach-)Abitur","3","","","",""
"Täglich","1995","(Fach-)Abitur","4","","","",""
"Täglich","1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1995","AkademikerIn","1 Einkommensschwächstes Quintil","1","","",""
"Täglich","1995","AkademikerIn","2","","","",""
"Täglich","1995","AkademikerIn","3","","","",""
"Täglich","1995","AkademikerIn","4","","","",""
"Täglich","1995","AkademikerIn","5 Einkommensstärkstes Quintil","","","",""
"Min 1x pro Woche","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","18","","",""
"Min 1x pro Woche","1995","(noch) kein Abschluss","2","4","","",""
"Min 1x pro Woche","1995","(noch) kein Abschluss","3","","","",""
"Min 1x pro Woche","1995","(noch) kein Abschluss","4","2","","",""
"Min 1x pro Woche","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","","","",""
"Min 1x pro Woche","1995","Hauptschule","1 Einkommensschwächstes Quintil","96","0.0418319708638996","0.0340137306782903","0.0496502110495088"
"Min 1x pro Woche","1995","Hauptschule","2","96","0.0501809820603195","0.0403096739030995","0.0600522902175396"
"Min 1x pro Woche","1995","Hauptschule","3","61","0.0737891496916591","0.057156318882142","0.0904219805011761"
"Min 1x pro Woche","1995","Hauptschule","4","39","0.0811150910079207","0.0584424619402521","0.103787720075589"
"Min 1x pro Woche","1995","Hauptschule","5 Einkommensstärkstes Quintil","7","","",""
"Min 1x pro Woche","1995","Realschule","1 Einkommensschwächstes Quintil","66","0.0728949986704951","0.0573836094042957","0.0884063879366944"
"Min 1x pro Woche","1995","Realschule","2","52","0.0596317123811022","0.0442881864459445","0.0749752383162599"
