year,bula_h,sex,pli0082,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,male,At least once per month,0.35977,41,9092,0.35878,0.36075
1990,Schleswig-Holstein,male,Seldom,0.64023,74,9092,0.63925,0.64122
1990,Schleswig-Holstein,female,At least once per month,0.38123,44,9092,0.38024,0.38222
1990,Schleswig-Holstein,female,Seldom,0.61877,78,9092,0.61778,0.61976
1990,Hamburg,male,At least once per month,1.00000,37,9092,1.00000,1.00000
1990,Hamburg,female,At least once per month,0.48477,33,9092,0.48336,0.48617
1990,Hamburg,female,Seldom,0.51523,35,9092,0.51383,0.51664
1990,Lower Saxony,male,At least once per week,0.07756,33,9092,0.07725,0.07787
1990,Lower Saxony,male,At least once per month,0.35638,168,9092,0.35582,0.35693
1990,Lower Saxony,male,Seldom,0.47729,236,9092,0.47671,0.47787
1990,Lower Saxony,male,Never,0.08877,47,9092,0.08844,0.08910
1990,Lower Saxony,female,At least once per month,0.36897,164,9092,0.36840,0.36955
1990,Lower Saxony,female,Seldom,0.50945,239,9092,0.50885,0.51004
1990,Lower Saxony,female,Never,0.12158,56,9092,0.12119,0.12197
1990,North Rhine-Westphalia,male,At least once per week,0.06347,80,9092,0.06328,0.06366
1990,North Rhine-Westphalia,male,At least once per month,0.31700,371,9092,0.31664,0.31735
1990,North Rhine-Westphalia,male,Seldom,0.54290,662,9092,0.54252,0.54328
1990,North Rhine-Westphalia,male,Never,0.07664,138,9092,0.07644,0.07684
1990,North Rhine-Westphalia,female,At least once per week,0.07053,79,9092,0.07035,0.07072
1990,North Rhine-Westphalia,female,At least once per month,0.27967,350,9092,0.27935,0.27999
1990,North Rhine-Westphalia,female,Seldom,0.53666,693,9092,0.53630,0.53702
1990,North Rhine-Westphalia,female,Never,0.11314,164,9092,0.11291,0.11336
1990,Hesse,male,At least once per week,0.09656,46,9092,0.09619,0.09694
1990,Hesse,male,At least once per month,0.37351,159,9092,0.37289,0.37412
1990,Hesse,male,Seldom,0.43723,204,9092,0.43660,0.43786
1990,Hesse,male,Never,0.09270,76,9092,0.09233,0.09307
1990,Hesse,female,At least once per week,0.08348,37,9092,0.08313,0.08383
1990,Hesse,female,At least once per month,0.30326,133,9092,0.30268,0.30385
1990,Hesse,female,Seldom,0.46797,230,9092,0.46733,0.46860
1990,Hesse,female,Never,0.14529,90,9092,0.14485,0.14574
1990,"Rhineland-Palatinate, Saarland",male,At least once per month,0.38283,104,9092,0.38209,0.38357
1990,"Rhineland-Palatinate, Saarland",male,Seldom,0.48909,153,9092,0.48833,0.48985
1990,"Rhineland-Palatinate, Saarland",male,Never,0.12809,35,9092,0.12758,0.12859
1990,"Rhineland-Palatinate, Saarland",female,At least once per week,0.08821,31,9092,0.08783,0.08859
1990,"Rhineland-Palatinate, Saarland",female,At least once per month,0.29747,99,9092,0.29686,0.29809
1990,"Rhineland-Palatinate, Saarland",female,Seldom,0.44828,162,9092,0.44761,0.44895
1990,"Rhineland-Palatinate, Saarland",female,Never,0.16604,56,9092,0.16554,0.16654
1990,Baden-Wuerttemberg,male,At least once per week,0.08948,66,9092,0.08919,0.08976
1990,Baden-Wuerttemberg,male,At least once per month,0.36116,292,9092,0.36068,0.36163
1990,Baden-Wuerttemberg,male,Seldom,0.47128,433,9092,0.47078,0.47177
1990,Baden-Wuerttemberg,male,Never,0.07809,98,9092,0.07782,0.07836
1990,Baden-Wuerttemberg,female,At least once per week,0.07653,61,9092,0.07628,0.07678
1990,Baden-Wuerttemberg,female,At least once per month,0.30664,253,9092,0.30620,0.30707
1990,Baden-Wuerttemberg,female,Seldom,0.49641,448,9092,0.49593,0.49688
1990,Baden-Wuerttemberg,female,Never,0.12043,121,9092,0.12012,0.12074
1990,Bavaria,male,At least once per week,0.11989,84,9092,0.11959,0.12020
1990,Bavaria,male,At least once per month,0.38107,292,9092,0.38062,0.38153
1990,Bavaria,male,Seldom,0.44581,352,9092,0.44534,0.44627
1990,Bavaria,male,Never,0.05322,50,9092,0.05301,0.05343
1990,Bavaria,female,At least once per week,0.10097,72,9092,0.10070,0.10125
1990,Bavaria,female,At least once per month,0.31604,261,9092,0.31562,0.31647
1990,Bavaria,female,Seldom,0.49307,401,9092,0.49261,0.49352
1990,Bavaria,female,Never,0.08992,72,9092,0.08966,0.09017
1990,Berlin,male,At least once per month,0.37494,44,9092,0.37385,0.37602
1990,Berlin,male,Seldom,0.49418,67,9092,0.49306,0.49530
1990,Berlin,male,Never,0.13088,31,9092,0.13013,0.13164
1990,Berlin,female,At least once per month,0.41950,49,9092,0.41845,0.42055
1990,Berlin,female,Seldom,0.41027,67,9092,0.40922,0.41131
1990,Berlin,female,Never,0.17023,41,9092,0.16943,0.17103
1995,Schleswig-Holstein,male,Seldom,1.00000,81,12463,1.00000,1.00000
1995,Schleswig-Holstein,female,At least once per month,0.35042,37,12463,0.34949,0.35134
1995,Schleswig-Holstein,female,Seldom,0.64958,84,12463,0.64866,0.65051
1995,Hamburg,female,Seldom,1.00000,36,12463,1.00000,1.00000
1995,Lower Saxony,male,At least once per month,0.30407,143,12463,0.30354,0.30460
1995,Lower Saxony,male,Seldom,0.58271,309,12463,0.58214,0.58328
1995,Lower Saxony,male,Never,0.11322,53,12463,0.11286,0.11359
1995,Lower Saxony,female,At least once per month,0.32081,148,12463,0.32028,0.32134
1995,Lower Saxony,female,Seldom,0.55941,299,12463,0.55885,0.55998
1995,Lower Saxony,female,Never,0.11977,58,12463,0.11941,0.12014
1995,North Rhine-Westphalia,male,At least once per week,0.05608,63,12463,0.05591,0.05626
1995,North Rhine-Westphalia,male,At least once per month,0.28535,313,12463,0.28501,0.28570
1995,North Rhine-Westphalia,male,Seldom,0.56101,701,12463,0.56064,0.56139
1995,North Rhine-Westphalia,male,Never,0.09755,155,12463,0.09732,0.09777
1995,North Rhine-Westphalia,female,At least once per week,0.04124,58,12463,0.04110,0.04138
1995,North Rhine-Westphalia,female,At least once per month,0.25265,290,12463,0.25234,0.25296
1995,North Rhine-Westphalia,female,Seldom,0.55265,762,12463,0.55229,0.55300
1995,North Rhine-Westphalia,female,Never,0.15346,215,12463,0.15320,0.15372
1995,Hesse,male,At least once per week,0.09054,33,12463,0.09018,0.09090
1995,Hesse,male,At least once per month,0.28084,119,12463,0.28027,0.28141
1995,Hesse,male,Seldom,0.50350,221,12463,0.50287,0.50414
1995,Hesse,male,Never,0.12512,77,12463,0.12470,0.12554
1995,Hesse,female,At least once per month,0.26923,119,12463,0.26866,0.26979
1995,Hesse,female,Seldom,0.55566,254,12463,0.55503,0.55629
1995,Hesse,female,Never,0.17512,88,12463,0.17464,0.17560
1995,"Rhineland-Palatinate, Saarland",male,At least once per month,0.30184,87,12463,0.30120,0.30248
