year,bula_h,quintil_oecd,pli0082,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,1st Quintile,Seldom,0.60926,44,44,0.46342,0.75509
1990,Schleswig-Holstein,4th Quintile,Seldom,0.53516,34,34,0.36498,0.70533
1990,Lower Saxony,1st Quintile,At least once per month,0.23345,58,214,0.17664,0.29026
1990,Lower Saxony,1st Quintile,Seldom,0.53591,112,214,0.46894,0.60289
1990,Lower Saxony,1st Quintile,Never,0.20665,44,214,0.15227,0.26103
1990,Lower Saxony,2nd Quintile,At least once per month,0.31269,47,146,0.23723,0.38815
1990,Lower Saxony,2nd Quintile,Seldom,0.49979,99,146,0.41840,0.58117
1990,Lower Saxony,3rd Quintile,At least once per month,0.29619,54,151,0.22312,0.36925
1990,Lower Saxony,3rd Quintile,Seldom,0.53950,97,151,0.45973,0.61927
1990,Lower Saxony,4th Quintile,At least once per month,0.48943,93,185,0.41720,0.56166
1990,Lower Saxony,4th Quintile,Seldom,0.40239,92,185,0.33154,0.47325
1990,Lower Saxony,5th Quintile,At least once per month,0.40914,80,155,0.33149,0.48680
1990,Lower Saxony,5th Quintile,Seldom,0.42111,75,155,0.34313,0.49909
1990,North Rhine-Westphalia,1st Quintile,At least once per week,0.06897,37,589,0.04849,0.08945
1990,North Rhine-Westphalia,1st Quintile,At least once per month,0.23026,131,589,0.19623,0.26429
1990,North Rhine-Westphalia,1st Quintile,Seldom,0.48322,285,589,0.44283,0.52361
1990,North Rhine-Westphalia,1st Quintile,Never,0.21186,136,589,0.17883,0.24488
1990,North Rhine-Westphalia,2nd Quintile,At least once per week,0.06515,33,552,0.04455,0.08576
1990,North Rhine-Westphalia,2nd Quintile,At least once per month,0.26004,135,552,0.22341,0.29667
1990,North Rhine-Westphalia,2nd Quintile,Seldom,0.58678,323,552,0.54566,0.62790
1990,North Rhine-Westphalia,2nd Quintile,Never,0.08544,61,552,0.06210,0.10878
1990,North Rhine-Westphalia,3rd Quintile,At least once per week,0.06458,34,485,0.04268,0.08648
1990,North Rhine-Westphalia,3rd Quintile,At least once per month,0.27046,125,485,0.23089,0.31004
1990,North Rhine-Westphalia,3rd Quintile,Seldom,0.57377,271,485,0.52971,0.61783
1990,North Rhine-Westphalia,3rd Quintile,Never,0.08488,55,485,0.06005,0.10972
1990,North Rhine-Westphalia,4th Quintile,At least once per week,0.08816,32,425,0.06117,0.11515
1990,North Rhine-Westphalia,4th Quintile,At least once per month,0.31553,132,425,0.27129,0.35976
1990,North Rhine-Westphalia,4th Quintile,Seldom,0.52418,226,425,0.47664,0.57172
1990,North Rhine-Westphalia,4th Quintile,Never,0.06973,35,425,0.04549,0.09398
1990,North Rhine-Westphalia,5th Quintile,At least once per month,0.39654,198,447,0.35114,0.44194
1990,North Rhine-Westphalia,5th Quintile,Seldom,0.52271,249,447,0.47635,0.56907
1990,Hesse,1st Quintile,At least once per month,0.25531,47,186,0.19248,0.31815
1990,Hesse,1st Quintile,Seldom,0.36912,73,186,0.29958,0.43866
1990,Hesse,1st Quintile,Never,0.28547,66,186,0.22039,0.35055
