"pli0082","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Täglich","1990","(noch) kein Abschluss","kein Migrationshintergrund","2","","",""
"Täglich","1990","(noch) kein Abschluss","direkter Migrationshintergrund","1","","",""
"Täglich","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","1","","",""
"Täglich","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Täglich","1990","Hauptschule","kein Migrationshintergrund","13","","",""
"Täglich","1990","Hauptschule","direkter Migrationshintergrund","10","","",""
"Täglich","1990","Hauptschule","indirekter Migrationshintergrund","","","",""
"Täglich","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Täglich","1990","Realschule","kein Migrationshintergrund","3","","",""
"Täglich","1990","Realschule","direkter Migrationshintergrund","","","",""
"Täglich","1990","Realschule","indirekter Migrationshintergrund","","","",""
"Täglich","1990","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Täglich","1990","(Fach-)Abitur","kein Migrationshintergrund","1","","",""
"Täglich","1990","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Täglich","1990","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Täglich","1990","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Täglich","1990","AkademikerIn","kein Migrationshintergrund","3","","",""
"Täglich","1990","AkademikerIn","direkter Migrationshintergrund","","","",""
"Täglich","1990","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Täglich","1990","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","kein Migrationshintergrund","7","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","direkter Migrationshintergrund","31","0.0453160285907238","0.029087126206863","0.0615449309745846"
"Min 1x pro Woche","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","2","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1990","Hauptschule","kein Migrationshintergrund","288","0.0749954163428415","0.0666376519809894","0.0833531807046937"
"Min 1x pro Woche","1990","Hauptschule","direkter Migrationshintergrund","77","0.0674032817501878","0.0540929884478092","0.0807135750525664"
"Min 1x pro Woche","1990","Hauptschule","indirekter Migrationshintergrund","11","","",""
"Min 1x pro Woche","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1990","Realschule","kein Migrationshintergrund","120","0.0926011057711203","0.077545428195011","0.10765678334723"
"Min 1x pro Woche","1990","Realschule","direkter Migrationshintergrund","10","","",""
"Min 1x pro Woche","1990","Realschule","indirekter Migrationshintergrund","4","","",""
"Min 1x pro Woche","1990","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1990","(Fach-)Abitur","kein Migrationshintergrund","50","0.109962502162898","0.0830477198912569","0.136877284434539"
"Min 1x pro Woche","1990","(Fach-)Abitur","direkter Migrationshintergrund","18","","",""
"Min 1x pro Woche","1990","(Fach-)Abitur","indirekter Migrationshintergrund","1","","",""
"Min 1x pro Woche","1990","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1990","AkademikerIn","kein Migrationshintergrund","75","0.134855582847413","0.107615502031976","0.162095663662851"
"Min 1x pro Woche","1990","AkademikerIn","direkter Migrationshintergrund","9","","",""
"Min 1x pro Woche","1990","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1990","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1990","(noch) kein Abschluss","kein Migrationshintergrund","40","0.268575572947857","0.199246363129196","0.337904782766519"
"Min 1x pro Monat","1990","(noch) kein Abschluss","direkter Migrationshintergrund","98","0.183485535460881","0.153284886901578","0.213686184020183"
"Min 1x pro Monat","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","6","","",""
"Min 1x pro Monat","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1990","Hauptschule","kein Migrationshintergrund","1176","0.305338381905642","0.290724076745503","0.319952687065781"
"Min 1x pro Monat","1990","Hauptschule","direkter Migrationshintergrund","321","0.244796817040057","0.221970546920919","0.267623087159195"
"Min 1x pro Monat","1990","Hauptschule","indirekter Migrationshintergrund","49","0.321180472513461","0.244650456855771","0.397710488171151"
"Min 1x pro Monat","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1990","Realschule","kein Migrationshintergrund","509","0.352520558082857","0.327706470388122","0.377334645777593"
