year,pgisced97,regtyp,pli0082,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No answer / don't know,Urban regions,At least once per month,0.34475,40,104,0.25296,0.43654
1990,No answer / don't know,Urban regions,Seldom,0.49150,64,104,0.39495,0.58805
1990,Pre-primary Level,Urban regions,At least once per month,0.29737,33,116,0.21382,0.38091
1990,Pre-primary Level,Urban regions,Seldom,0.62071,83,116,0.53203,0.70939
1990,Primary Level,Urban regions,At least once per month,0.19414,74,517,0.16001,0.22827
1990,Primary Level,Urban regions,Seldom,0.44585,267,517,0.40296,0.48874
1990,Primary Level,Urban regions,Never,0.31122,176,517,0.27127,0.35117
1990,Primary Level,Rural regions,Seldom,0.49523,36,36,0.32959,0.66087
1990,Lower Secondary Level,Urban regions,At least once per week,0.06350,120,1905,0.05255,0.07446
1990,Lower Secondary Level,Urban regions,At least once per month,0.25255,478,1905,0.23303,0.27207
1990,Lower Secondary Level,Urban regions,Seldom,0.50054,949,1905,0.47809,0.52300
1990,Lower Secondary Level,Urban regions,Never,0.17926,358,1905,0.16203,0.19649
1990,Lower Secondary Level,Rural regions,At least once per month,0.26073,139,508,0.22251,0.29894
1990,Lower Secondary Level,Rural regions,Seldom,0.51705,271,508,0.47355,0.56055
1990,Lower Secondary Level,Rural regions,Never,0.17360,98,508,0.14063,0.20657
1990,Upper Secondary Level,Urban regions,At least once per week,0.09178,293,3497,0.08221,0.10135
1990,Upper Secondary Level,Urban regions,At least once per month,0.33314,1154,3497,0.31751,0.34876
1990,Upper Secondary Level,Urban regions,Seldom,0.48781,1725,3497,0.47124,0.50438
1990,Upper Secondary Level,Urban regions,Never,0.08516,325,3497,0.07591,0.09441
1990,Upper Secondary Level,Rural regions,At least once per week,0.07943,74,1015,0.06279,0.09608
1990,Upper Secondary Level,Rural regions,At least once per month,0.33199,326,1015,0.30300,0.36097
1990,Upper Secondary Level,Rural regions,Seldom,0.52135,549,1015,0.49060,0.55210
1990,Upper Secondary Level,Rural regions,Never,0.06585,66,1015,0.05058,0.08112
1990,Post-secondary Non-tertiary Level,Urban regions,At least once per month,0.43863,96,202,0.37003,0.50723
1990,Post-secondary Non-tertiary Level,Urban regions,Seldom,0.40002,106,202,0.33230,0.46775
1990,First Stage of Tertiary Education,Urban regions,At least once per month,0.40696,168,351,0.35549,0.45843
1990,First Stage of Tertiary Education,Urban regions,Seldom,0.44890,183,351,0.39679,0.50101
1990,First Stage of Tertiary Education,Rural regions,At least once per month,0.34311,38,93,0.24610,0.44012
1990,First Stage of Tertiary Education,Rural regions,Seldom,0.46229,55,93,0.36041,0.56417
1990,Second Stage of Tertiary Education,Urban regions,At least once per week,0.12627,68,577,0.09914,0.15339
1990,Second Stage of Tertiary Education,Urban regions,At least once per month,0.46995,284,577,0.42919,0.51071
1990,Second Stage of Tertiary Education,Urban regions,Seldom,0.38609,225,577,0.34633,0.42585
1990,Second Stage of Tertiary Education,Rural regions,At least once per month,0.43702,49,84,0.33031,0.54373
1990,Second Stage of Tertiary Education,Rural regions,Seldom,0.37104,35,84,0.26711,0.47497
1995,No answer / don't know,Urban regions,At least once per month,0.22937,41,188,0.16911,0.28962
1995,No answer / don't know,Urban regions,Seldom,0.52129,102,188,0.44969,0.59289
1995,No answer / don't know,Urban regions,Never,0.19779,45,188,0.14070,0.25488
1995,No answer / don't know,Rural regions,Seldom,0.61097,36,36,0.44946,0.77249
1995,Pre-primary Level,Urban regions,At least once per month,0.20488,43,175,0.14491,0.26485
1995,Pre-primary Level,Urban regions,Seldom,0.66893,132,175,0.59901,0.73886
1995,Pre-primary Level,Rural regions,Seldom,0.61166,53,53,0.47919,0.74413
1995,Primary Level,Urban regions,At least once per month,0.09715,48,432,0.06919,0.12511
1995,Primary Level,Urban regions,Seldom,0.50139,230,432,0.45418,0.54859
1995,Primary Level,Urban regions,Never,0.36983,154,432,0.32425,0.41541
1995,Primary Level,Rural regions,Seldom,0.61992,56,56,0.49163,0.74820
1995,Lower Secondary Level,Urban regions,At least once per week,0.04642,85,1712,0.03645,0.05639
1995,Lower Secondary Level,Urban regions,At least once per month,0.19800,308,1712,0.17912,0.21689
1995,Lower Secondary Level,Urban regions,Seldom,0.54316,949,1712,0.51956,0.56676
1995,Lower Secondary Level,Urban regions,Never,0.21111,370,1712,0.19177,0.23045
1995,Lower Secondary Level,Rural regions,At least once per month,0.21010,174,735,0.18063,0.23958
1995,Lower Secondary Level,Rural regions,Seldom,0.55196,424,735,0.51598,0.58793
1995,Lower Secondary Level,Rural regions,Never,0.21276,137,735,0.18316,0.24237
1995,Upper Secondary Level,Urban regions,At least once per week,0.06091,245,4206,0.05368,0.06814
1995,Upper Secondary Level,Urban regions,At least once per month,0.27171,1134,4206,0.25826,0.28515
1995,Upper Secondary Level,Urban regions,Seldom,0.54998,2342,4206,0.53494,0.56502
1995,Upper Secondary Level,Urban regions,Never,0.11511,485,4206,0.10546,0.12475
1995,Upper Secondary Level,Rural regions,At least once per week,0.05591,113,2467,0.04684,0.06498
1995,Upper Secondary Level,Rural regions,At least once per month,0.27847,699,2467,0.26077,0.29616
1995,Upper Secondary Level,Rural regions,Seldom,0.55260,1415,2467,0.53297,0.57222
1995,Upper Secondary Level,Rural regions,Never,0.10973,240,2467,0.09740,0.12207
1995,Post-secondary Non-tertiary Level,Urban regions,At least once per month,0.36460,122,339,0.31328,0.41591
1995,Post-secondary Non-tertiary Level,Urban regions,Seldom,0.50347,185,339,0.45016,0.55677
1995,Post-secondary Non-tertiary Level,Urban regions,Never,0.08790,32,339,0.05771,0.11809
1995,Post-secondary Non-tertiary Level,Rural regions,At least once per month,0.31370,41,99,0.22184,0.40557
1995,Post-secondary Non-tertiary Level,Rural regions,Seldom,0.56754,58,99,0.46945,0.66563
1995,First Stage of Tertiary Education,Urban regions,At least once per month,0.33784,151,426,0.29287,0.38280
1995,First Stage of Tertiary Education,Urban regions,Seldom,0.47754,241,426,0.43005,0.52503
1995,First Stage of Tertiary Education,Urban regions,Never,0.10654,34,426,0.07721,0.13587
1995,First Stage of Tertiary Education,Rural regions,At least once per month,0.31286,88,259,0.25628,0.36943
1995,First Stage of Tertiary Education,Rural regions,Seldom,0.53921,171,259,0.47838,0.60003
1995,Second Stage of Tertiary Education,Urban regions,At least once per week,0.10037,93,1103,0.08262,0.11811
1995,Second Stage of Tertiary Education,Urban regions,At least once per month,0.42980,457,1103,0.40057,0.45903
1995,Second Stage of Tertiary Education,Urban regions,Seldom,0.43447,517,1103,0.40521,0.46374
1995,Second Stage of Tertiary Education,Urban regions,Never,0.03536,36,1103,0.02445,0.04626
1995,Second Stage of Tertiary Education,Rural regions,At least once per week,0.06826,44,620,0.04839,0.08813
1995,Second Stage of Tertiary Education,Rural regions,At least once per month,0.38266,241,620,0.34437,0.42095
1995,Second Stage of Tertiary Education,Rural regions,Seldom,0.49660,335,620,0.45721,0.53599
1998,No answer / don't know,Urban regions,At least once per month,0.25768,100,387,0.21405,0.30131
1998,No answer / don't know,Urban regions,Seldom,0.51701,215,387,0.46716,0.56686
1998,No answer / don't know,Urban regions,Never,0.16793,72,387,0.13064,0.20522
1998,No answer / don't know,Rural regions,At least once per month,0.25974,51,151,0.18957,0.32992
1998,No answer / don't know,Rural regions,Seldom,0.53858,100,151,0.45880,0.61835
1998,Pre-primary Level,Urban regions,At least once per month,0.24746,46,193,0.18642,0.30850
1998,Pre-primary Level,Urban regions,Seldom,0.65613,147,193,0.58894,0.72332
1998,Pre-primary Level,Rural regions,At least once per month,0.31445,35,107,0.22606,0.40284
1998,Pre-primary Level,Rural regions,Seldom,0.59987,72,107,0.50661,0.69314
1998,Primary Level,Urban regions,At least once per month,0.10619,35,355,0.07409,0.13828
1998,Primary Level,Urban regions,Seldom,0.54317,208,355,0.49128,0.59506
1998,Primary Level,Urban regions,Never,0.31366,112,355,0.26533,0.36199
1998,Primary Level,Rural regions,Seldom,0.60195,47,47,0.46050,0.74341
1998,Lower Secondary Level,Urban regions,At least once per week,0.04364,76,1743,0.03405,0.05324
1998,Lower Secondary Level,Urban regions,At least once per month,0.19855,332,1743,0.17982,0.21728
1998,Lower Secondary Level,Urban regions,Seldom,0.55950,1020,1743,0.53618,0.58281
1998,Lower Secondary Level,Urban regions,Never,0.19754,315,1743,0.17884,0.21624
1998,Lower Secondary Level,Rural regions,At least once per week,0.03910,34,772,0.02542,0.05278
1998,Lower Secondary Level,Rural regions,At least once per month,0.19351,150,772,0.16563,0.22140
1998,Lower Secondary Level,Rural regions,Seldom,0.58776,458,772,0.55301,0.62250
1998,Lower Secondary Level,Rural regions,Never,0.17900,130,772,0.15194,0.20606
1998,Upper Secondary Level,Urban regions,At least once per week,0.05150,227,4341,0.04492,0.05807
1998,Upper Secondary Level,Urban regions,At least once per month,0.25379,1076,4341,0.24084,0.26674
1998,Upper Secondary Level,Urban regions,Seldom,0.59935,2642,4341,0.58477,0.61393
1998,Upper Secondary Level,Urban regions,Never,0.09462,396,4341,0.08591,0.10332
1998,Upper Secondary Level,Rural regions,At least once per week,0.05068,121,2628,0.04229,0.05907
1998,Upper Secondary Level,Rural regions,At least once per month,0.22200,586,2628,0.20610,0.23789
1998,Upper Secondary Level,Rural regions,Seldom,0.62717,1667,2628,0.60868,0.64566
1998,Upper Secondary Level,Rural regions,Never,0.10015,254,2628,0.08867,0.11163
1998,Post-secondary Non-tertiary Level,Urban regions,At least once per month,0.26822,102,351,0.22180,0.31463
1998,Post-secondary Non-tertiary Level,Urban regions,Seldom,0.62729,249,351,0.57663,0.67795
1998,Post-secondary Non-tertiary Level,Rural regions,At least once per month,0.38856,38,107,0.29577,0.48136
1998,Post-secondary Non-tertiary Level,Rural regions,Seldom,0.49619,69,107,0.40101,0.59137
1998,First Stage of Tertiary Education,Urban regions,At least once per month,0.28228,141,493,0.24251,0.32206
1998,First Stage of Tertiary Education,Urban regions,Seldom,0.59941,321,493,0.55611,0.64271
1998,First Stage of Tertiary Education,Urban regions,Never,0.07265,31,493,0.04971,0.09559
