year,age_gr,pgisced97,pli0082,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,No answer / don't know,Seldom,0.48792,44,44,0.33852,0.63733
1990,17-29 y.,Pre-primary Level,At least once per month,0.31013,42,142,0.23378,0.38647
1990,17-29 y.,Pre-primary Level,Seldom,0.61468,100,142,0.53435,0.69501
1990,17-29 y.,Primary Level,Seldom,0.54136,59,59,0.41312,0.66960
1990,17-29 y.,Lower Secondary Level,At least once per week,0.07606,62,789,0.05755,0.09457
1990,17-29 y.,Lower Secondary Level,At least once per month,0.30201,225,789,0.26996,0.33407
1990,17-29 y.,Lower Secondary Level,Seldom,0.50861,384,789,0.47370,0.54352
1990,17-29 y.,Lower Secondary Level,Never,0.11022,118,789,0.08836,0.13209
1990,17-29 y.,Upper Secondary Level,At least once per week,0.09029,101,1257,0.07444,0.10614
1990,17-29 y.,Upper Secondary Level,At least once per month,0.32231,400,1257,0.29646,0.34815
1990,17-29 y.,Upper Secondary Level,Seldom,0.53569,667,1257,0.50811,0.56328
1990,17-29 y.,Upper Secondary Level,Never,0.05016,89,1257,0.03809,0.06223
1990,17-29 y.,Post-secondary Non-tertiary Level,At least once per month,0.44774,49,104,0.35171,0.54377
1990,17-29 y.,Post-secondary Non-tertiary Level,Seldom,0.43943,55,104,0.34358,0.53528
1990,17-29 y.,First Stage of Tertiary Education,At least once per month,0.51667,42,78,0.40505,0.62829
1990,17-29 y.,First Stage of Tertiary Education,Seldom,0.41753,36,78,0.30737,0.52768
1990,17-29 y.,Second Stage of Tertiary Education,At least once per month,0.49009,35,35,0.32205,0.65812
1990,30-45 y.,Primary Level,At least once per month,0.18810,35,178,0.13053,0.24567
1990,30-45 y.,Primary Level,Seldom,0.45134,90,178,0.37803,0.52466
1990,30-45 y.,Primary Level,Never,0.26191,53,178,0.19714,0.32669
1990,30-45 y.,Lower Secondary Level,At least once per month,0.26456,114,460,0.22420,0.30491
1990,30-45 y.,Lower Secondary Level,Seldom,0.51683,260,460,0.47112,0.56255
