year,migback,quintil_oecd,pli0082,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,1st Quintile,At least once per week,0.05303,68,1008,0.03919,0.06687
1990,No migration background,1st Quintile,At least once per month,0.17628,245,1008,0.15275,0.19982
1990,No migration background,1st Quintile,Seldom,0.38714,499,1008,0.35706,0.41723
1990,No migration background,1st Quintile,Never,0.17630,196,1008,0.15277,0.19984
1990,No migration background,2nd Quintile,At least once per week,0.06232,89,1236,0.04884,0.07580
1990,No migration background,2nd Quintile,At least once per month,0.23936,365,1236,0.21556,0.26315
1990,No migration background,2nd Quintile,Seldom,0.41228,670,1236,0.38483,0.43974
1990,No migration background,2nd Quintile,Never,0.08157,112,1236,0.06631,0.09684
1990,No migration background,3rd Quintile,At least once per week,0.06709,99,1286,0.05341,0.08077
1990,No migration background,3rd Quintile,At least once per month,0.26677,413,1286,0.24259,0.29096
1990,No migration background,3rd Quintile,Seldom,0.43120,679,1286,0.40412,0.45828
1990,No migration background,3rd Quintile,Never,0.06336,95,1286,0.05004,0.07668
1990,No migration background,4th Quintile,At least once per week,0.08768,146,1492,0.07333,0.10204
1990,No migration background,4th Quintile,At least once per month,0.34240,564,1492,0.31832,0.36649
1990,No migration background,4th Quintile,Seldom,0.40921,704,1492,0.38425,0.43416
1990,No migration background,4th Quintile,Never,0.05132,78,1492,0.04012,0.06252
1990,No migration background,5th Quintile,At least once per week,0.08985,145,1567,0.07569,0.10401
1990,No migration background,5th Quintile,At least once per month,0.37578,666,1567,0.35179,0.39977
1990,No migration background,5th Quintile,Seldom,0.41462,716,1567,0.39022,0.43903
1990,No migration background,5th Quintile,Never,0.02287,40,1567,0.01546,0.03027
1990,Direct migration background,1st Quintile,At least once per week,0.05155,41,795,0.03617,0.06694
1990,Direct migration background,1st Quintile,At least once per month,0.17408,146,795,0.14770,0.20045
1990,Direct migration background,1st Quintile,Seldom,0.44796,378,795,0.41337,0.48255
1990,Direct migration background,1st Quintile,Never,0.25259,230,795,0.22237,0.28281
1990,Direct migration background,2nd Quintile,At least once per week,0.06572,31,565,0.04527,0.08617
1990,Direct migration background,2nd Quintile,At least once per month,0.24405,122,565,0.20861,0.27950
1990,Direct migration background,2nd Quintile,Seldom,0.48983,282,565,0.44857,0.53109
1990,Direct migration background,2nd Quintile,Never,0.14936,130,565,0.11995,0.17878
1990,Direct migration background,3rd Quintile,At least once per week,0.05393,31,529,0.03466,0.07320
1990,Direct migration background,3rd Quintile,At least once per month,0.27787,132,529,0.23966,0.31607
1990,Direct migration background,3rd Quintile,Seldom,0.45962,251,529,0.41711,0.50212
1990,Direct migration background,3rd Quintile,Never,0.13502,115,529,0.10587,0.16417
1990,Direct migration background,4th Quintile,At least once per month,0.31924,96,348,0.27019,0.36829
1990,Direct migration background,4th Quintile,Seldom,0.43468,174,348,0.38252,0.48684
1990,Direct migration background,4th Quintile,Never,0.13999,78,348,0.10348,0.17650
1990,Direct migration background,5th Quintile,At least once per month,0.42150,90,185,0.35015,0.49285
1990,Direct migration background,5th Quintile,Seldom,0.36202,95,185,0.29258,0.43147
1990,Indirect migration background,1st Quintile,Seldom,0.08014,41,41,-0.00400,0.16428
1990,Indirect migration background,2nd Quintile,Seldom,0.09900,37,37,0.00144,0.19656
1990,Indirect migration background,3rd Quintile,Seldom,0.09260,34,34,-0.00630,0.19150
1995,No migration background,1st Quintile,At least once per week,0.04282,80,1538,0.03270,0.05294
1995,No migration background,1st Quintile,At least once per month,0.16357,357,1538,0.14507,0.18206
1995,No migration background,1st Quintile,Seldom,0.38314,814,1538,0.35883,0.40744
1995,No migration background,1st Quintile,Never,0.15790,287,1538,0.13967,0.17613
1995,No migration background,2nd Quintile,At least once per week,0.04031,106,2018,0.03173,0.04890
1995,No migration background,2nd Quintile,At least once per month,0.19876,544,2018,0.18134,0.21617
1995,No migration background,2nd Quintile,Seldom,0.41748,1103,2018,0.39595,0.43900
1995,No migration background,2nd Quintile,Never,0.13453,265,2018,0.11964,0.14942
1995,No migration background,3rd Quintile,At least once per week,0.05268,142,2079,0.04307,0.06228
1995,No migration background,3rd Quintile,At least once per month,0.22778,590,2079,0.20975,0.24581
1995,No migration background,3rd Quintile,Seldom,0.44864,1174,2079,0.42726,0.47003
1995,No migration background,3rd Quintile,Never,0.07828,173,2079,0.06673,0.08983
1995,No migration background,4th Quintile,At least once per week,0.05945,129,2179,0.04952,0.06938
1995,No migration background,4th Quintile,At least once per month,0.26113,681,2179,0.24268,0.27957
1995,No migration background,4th Quintile,Seldom,0.47937,1245,2179,0.45839,0.50035
1995,No migration background,4th Quintile,Never,0.05939,124,2179,0.04946,0.06931
1995,No migration background,5th Quintile,At least once per week,0.06319,131,2115,0.05282,0.07356
1995,No migration background,5th Quintile,At least once per month,0.34186,804,2115,0.32164,0.36208
1995,No migration background,5th Quintile,Seldom,0.44862,1095,2115,0.42742,0.46982
1995,No migration background,5th Quintile,Never,0.04246,85,2115,0.03386,0.05105
1995,Direct migration background,1st Quintile,At least once per week,0.04275,31,840,0.02906,0.05643
1995,Direct migration background,1st Quintile,At least once per month,0.12046,118,840,0.09844,0.14249
1995,Direct migration background,1st Quintile,Seldom,0.41823,434,840,0.38486,0.45161
1995,Direct migration background,1st Quintile,Never,0.28261,257,840,0.25214,0.31308
1995,Direct migration background,2nd Quintile,At least once per month,0.16749,117,691,0.13963,0.19536
1995,Direct migration background,2nd Quintile,Seldom,0.53354,405,691,0.49632,0.57077
1995,Direct migration background,2nd Quintile,Never,0.20337,169,691,0.17334,0.23341
1995,Direct migration background,3rd Quintile,At least once per month,0.16972,93,503,0.13688,0.20256
1995,Direct migration background,3rd Quintile,Seldom,0.59164,309,503,0.54864,0.63464
1995,Direct migration background,3rd Quintile,Never,0.13933,101,503,0.10904,0.16963
1995,Direct migration background,4th Quintile,At least once per month,0.25461,99,372,0.21028,0.29894
1995,Direct migration background,4th Quintile,Seldom,0.57956,218,372,0.52933,0.62979
1995,Direct migration background,4th Quintile,Never,0.11069,55,372,0.07876,0.14261
1995,Direct migration background,5th Quintile,At least once per month,0.43026,94,248,0.36851,0.49201
1995,Direct migration background,5th Quintile,Seldom,0.47680,154,248,0.41451,0.53909
1995,Indirect migration background,1st Quintile,Seldom,0.15011,75,75,0.06873,0.23149
1995,Indirect migration background,2nd Quintile,Seldom,0.19530,78,78,0.10675,0.28385
1995,Indirect migration background,3rd Quintile,Seldom,0.25913,67,67,0.15342,0.36484
1995,Indirect migration background,4th Quintile,Seldom,0.27341,48,48,0.14598,0.40083
1998,No migration background,1st Quintile,At least once per week,0.03257,61,1392,0.02324,0.04190
1998,No migration background,1st Quintile,At least once per month,0.11933,236,1392,0.10229,0.13636
1998,No migration background,1st Quintile,Seldom,0.44482,818,1392,0.41870,0.47093
1998,No migration background,1st Quintile,Never,0.16626,277,1392,0.14669,0.18582
1998,No migration background,2nd Quintile,At least once per week,0.03719,91,1840,0.02854,0.04584
1998,No migration background,2nd Quintile,At least once per month,0.17153,403,1840,0.15430,0.18876
1998,No migration background,2nd Quintile,Seldom,0.46131,1124,1840,0.43853,0.48410
1998,No migration background,2nd Quintile,Never,0.11181,222,1840,0.09741,0.12621
1998,No migration background,3rd Quintile,At least once per week,0.03277,71,2059,0.02508,0.04046
1998,No migration background,3rd Quintile,At least once per month,0.21720,541,2059,0.19938,0.23501
1998,No migration background,3rd Quintile,Seldom,0.51939,1334,2059,0.49781,0.54098
1998,No migration background,3rd Quintile,Never,0.05644,113,2059,0.04647,0.06641
1998,No migration background,4th Quintile,At least once per week,0.04206,101,2153,0.03358,0.05054
1998,No migration background,4th Quintile,At least once per month,0.23297,562,2153,0.21511,0.25083
1998,No migration background,4th Quintile,Seldom,0.52595,1359,2153,0.50486,0.54705
1998,No migration background,4th Quintile,Never,0.06085,131,2153,0.05075,0.07095
1998,No migration background,5th Quintile,At least once per week,0.05513,123,2007,0.04514,0.06512
1998,No migration background,5th Quintile,At least once per month,0.29350,631,2007,0.27357,0.31343
1998,No migration background,5th Quintile,Seldom,0.51891,1198,2007,0.49704,0.54077
1998,No migration background,5th Quintile,Never,0.02209,55,2007,0.01566,0.02852
1998,Direct migration background,1st Quintile,At least once per month,0.10394,89,727,0.08174,0.12614
1998,Direct migration background,1st Quintile,Seldom,0.52566,455,727,0.48933,0.56198
1998,Direct migration background,1st Quintile,Never,0.24598,183,727,0.21465,0.27730
