year,migback,pli0082,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,At least once per week,0.05626,547,6592,0.05069,0.06182
1990,No migration background,At least once per month,0.21956,2253,6592,0.20956,0.22955
1990,No migration background,Seldom,0.31780,3269,6592,0.30656,0.32904
1990,No migration background,Never,0.05920,523,6592,0.05350,0.06489
1990,Direct migration background,At least once per week,0.05991,147,2495,0.05060,0.06922
1990,Direct migration background,At least once per month,0.24768,586,2495,0.23074,0.26462
1990,Direct migration background,Seldom,0.41452,1180,2495,0.39519,0.43386
1990,Direct migration background,Never,0.15351,582,2495,0.13936,0.16765
1990,Indirect migration background,At least once per month,0.06546,93,272,0.03601,0.09491
1990,Indirect migration background,Seldom,0.09033,144,272,0.05620,0.12446
1990,Indirect migration background,Never,0.01898,35,272,0.00274,0.03523
1995,No migration background,At least once per week,0.05220,588,9932,0.04782,0.05657
1995,No migration background,At least once per month,0.24228,2976,9932,0.23385,0.25070
1995,No migration background,Seldom,0.43749,5432,9932,0.42773,0.44725
1995,No migration background,Never,0.09184,936,9932,0.08616,0.09752
1995,Direct migration background,At least once per week,0.04028,105,2752,0.03293,0.04763
1995,Direct migration background,At least once per month,0.20175,521,2752,0.18676,0.21675
1995,Direct migration background,Seldom,0.50702,1520,2752,0.48834,0.52571
1995,Direct migration background,Never,0.18164,606,2752,0.16723,0.19604
1995,Indirect migration background,At least once per month,0.07136,101,476,0.04821,0.09451
1995,Indirect migration background,Seldom,0.19650,294,476,0.16077,0.23224
1995,Indirect migration background,Never,0.04265,81,476,0.02448,0.06082
1998,No migration background,At least once per week,0.04460,575,11161,0.04077,0.04843
1998,No migration background,At least once per month,0.21881,2909,11161,0.21114,0.22648
1998,No migration background,Seldom,0.48555,6713,11161,0.47628,0.49482
1998,No migration background,Never,0.08084,964,11161,0.07578,0.08590
1998,Direct migration background,At least once per week,0.02801,69,2374,0.02137,0.03465
1998,Direct migration background,At least once per month,0.19712,428,2374,0.18111,0.21312
1998,Direct migration background,Seldom,0.54577,1429,2374,0.52573,0.56580
1998,Direct migration background,Never,0.16341,448,2374,0.14853,0.17828
1998,Indirect migration background,At least once per month,0.07986,131,557,0.05733,0.10239
1998,Indirect migration background,Seldom,0.24017,361,557,0.20466,0.27568
1998,Indirect migration background,Never,0.03857,65,557,0.02257,0.05458
2003,No migration background,At least once per week,0.04114,954,18656,0.03829,0.04399
2003,No migration background,At least once per month,0.21234,4989,18656,0.20647,0.21821
2003,No migration background,Seldom,0.48655,10813,18656,0.47938,0.49372
2003,No migration background,Never,0.10353,1900,18656,0.09916,0.10790
2003,Direct migration background,At least once per week,0.02568,85,2595,0.01960,0.03177
2003,Direct migration background,At least once per month,0.17742,483,2595,0.16272,0.19212
2003,Direct migration background,Seldom,0.52191,1459,2595,0.50269,0.54114
2003,Direct migration background,Never,0.21433,568,2595,0.19854,0.23012
2003,Indirect migration background,At least once per week,0.01951,33,772,0.00975,0.02928
2003,Indirect migration background,At least once per month,0.07110,162,772,0.05296,0.08924
2003,Indirect migration background,Seldom,0.23199,450,772,0.20219,0.26178
2003,Indirect migration background,Never,0.07600,127,772,0.05729,0.09470
2008,No migration background,At least once per week,0.02512,501,16566,0.02273,0.02750
2008,No migration background,At least once per month,0.18037,3764,16566,0.17451,0.18622
2008,No migration background,Seldom,0.50343,9935,16566,0.49581,0.51104
2008,No migration background,Never,0.14025,2366,16566,0.13497,0.14554
2008,Direct migration background,At least once per week,0.01912,37,1894,0.01295,0.02529
2008,Direct migration background,At least once per month,0.13173,277,1894,0.11650,0.14697
2008,Direct migration background,Seldom,0.57052,1138,1894,0.54822,0.59282
2008,Direct migration background,Never,0.24788,442,1894,0.22843,0.26733
