year,migback,regtyp,pli0082,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,Urban regions,At least once per week,0.08880,429,5006,0.08092,0.09668
1990,No migration background,Urban regions,At least once per month,0.33896,1742,5006,0.32585,0.35208
1990,No migration background,Urban regions,Seldom,0.47801,2445,5006,0.46417,0.49185
1990,No migration background,Urban regions,Never,0.09131,390,5006,0.08333,0.09929
1990,No migration background,Rural regions,At least once per week,0.07682,118,1586,0.06371,0.08993
1990,No migration background,Rural regions,At least once per month,0.32373,511,1586,0.30069,0.34676
1990,No migration background,Rural regions,Seldom,0.50824,824,1586,0.48363,0.53285
1990,No migration background,Rural regions,Never,0.08753,133,1586,0.07362,0.10145
1990,Direct migration background,Urban regions,At least once per week,0.06863,127,2184,0.05803,0.07924
1990,Direct migration background,Urban regions,At least once per month,0.28194,507,2184,0.26306,0.30081
1990,Direct migration background,Urban regions,Seldom,0.46570,1029,2184,0.44477,0.48663
1990,Direct migration background,Urban regions,Never,0.18070,521,2184,0.16456,0.19684
1990,Direct migration background,Rural regions,At least once per month,0.27955,79,291,0.22790,0.33121
1990,Direct migration background,Rural regions,Seldom,0.50438,151,291,0.44684,0.56193
1990,Direct migration background,Rural regions,Never,0.13786,61,291,0.09818,0.17754
1990,Indirect migration background,Urban regions,At least once per month,0.35129,78,206,0.28594,0.41664
1990,Indirect migration background,Urban regions,Seldom,0.49568,128,206,0.42723,0.56412
1995,No migration background,Urban regions,At least once per week,0.06746,387,5962,0.06109,0.07383
1995,No migration background,Urban regions,At least once per month,0.29749,1797,5962,0.28588,0.30909
1995,No migration background,Urban regions,Seldom,0.52348,3224,5962,0.51080,0.53616
1995,No migration background,Urban regions,Never,0.11051,554,5962,0.10255,0.11847
1995,No migration background,Rural regions,At least once per week,0.05506,201,3970,0.04796,0.06215
1995,No migration background,Rural regions,At least once per month,0.28621,1179,3970,0.27215,0.30027
1995,No migration background,Rural regions,Seldom,0.54366,2208,3970,0.52817,0.55916
1995,No migration background,Rural regions,Never,0.11293,382,3970,0.10309,0.12278
1995,Direct migration background,Urban regions,At least once per week,0.04147,88,2285,0.03330,0.04965
1995,Direct migration background,Urban regions,At least once per month,0.21396,423,2285,0.19715,0.23078
1995,Direct migration background,Urban regions,Seldom,0.53622,1235,2285,0.51577,0.55667
1995,Direct migration background,Urban regions,Never,0.20474,539,2285,0.18819,0.22129
1995,Direct migration background,Rural regions,At least once per month,0.22502,98,450,0.18640,0.26365
1995,Direct migration background,Rural regions,Seldom,0.57182,285,450,0.52605,0.61759
1995,Direct migration background,Rural regions,Never,0.15147,67,450,0.11831,0.18463
1995,Indirect migration background,Urban regions,At least once per month,0.21437,84,401,0.17416,0.25459
1995,Indirect migration background,Urban regions,Seldom,0.59383,239,401,0.54570,0.64196
1995,Indirect migration background,Urban regions,Never,0.14258,78,401,0.10831,0.17685
1995,Indirect migration background,Rural regions,Seldom,0.65135,55,55,0.52424,0.77845
1998,No migration background,Urban regions,At least once per week,0.05440,359,6745,0.04898,0.05981
1998,No migration background,Urban regions,At least once per month,0.27502,1838,6745,0.26436,0.28567
1998,No migration background,Urban regions,Seldom,0.57276,3982,6745,0.56095,0.58456
1998,No migration background,Urban regions,Never,0.09709,566,6745,0.09003,0.10416
1998,No migration background,Rural regions,At least once per week,0.05237,216,4416,0.04580,0.05894
1998,No migration background,Rural regions,At least once per month,0.24097,1071,4416,0.22835,0.25359
1998,No migration background,Rural regions,Seldom,0.60826,2731,4416,0.59386,0.62266
1998,No migration background,Rural regions,Never,0.09786,398,4416,0.08910,0.10663
1998,Direct migration background,Urban regions,At least once per week,0.02964,58,1961,0.02213,0.03715
1998,Direct migration background,Urban regions,At least once per month,0.20739,352,1961,0.18944,0.22534
1998,Direct migration background,Urban regions,Seldom,0.59034,1183,1961,0.56857,0.61212
1998,Direct migration background,Urban regions,Never,0.17094,368,1961,0.15428,0.18761
1998,Direct migration background,Rural regions,At least once per month,0.22540,76,402,0.18450,0.26630
1998,Direct migration background,Rural regions,Seldom,0.55213,246,402,0.50346,0.60080
1998,Direct migration background,Rural regions,Never,0.19121,80,402,0.15272,0.22970
1998,Indirect migration background,Urban regions,At least once per month,0.20147,108,470,0.16517,0.23777
1998,Indirect migration background,Urban regions,Seldom,0.62014,301,470,0.57621,0.66407
1998,Indirect migration background,Urban regions,Never,0.11115,61,470,0.08270,0.13960
1998,Indirect migration background,Rural regions,Seldom,0.65338,60,60,0.53194,0.77481
2003,No migration background,Urban regions,At least once per week,0.05120,635,11845,0.04723,0.05517
2003,No migration background,Urban regions,At least once per month,0.26114,3308,11845,0.25323,0.26905
2003,No migration background,Urban regions,Seldom,0.56500,6741,11845,0.55608,0.57393
2003,No migration background,Urban regions,Never,0.12120,1161,11845,0.11532,0.12708
2003,No migration background,Rural regions,At least once per week,0.04398,319,6811,0.03911,0.04885
2003,No migration background,Rural regions,At least once per month,0.23293,1681,6811,0.22289,0.24297
2003,No migration background,Rural regions,Seldom,0.59736,4072,6811,0.58571,0.60901
2003,No migration background,Rural regions,Never,0.12525,739,6811,0.11739,0.13311
2003,Direct migration background,Urban regions,At least once per week,0.02649,65,2138,0.01968,0.03330
2003,Direct migration background,Urban regions,At least once per month,0.18251,390,2138,0.16613,0.19889
2003,Direct migration background,Urban regions,Seldom,0.55229,1195,2138,0.53121,0.57338
