"year","age_gr","bildungsniveau","mean","median","n","lower_confidence","upper_confidence"
"1999","17-34","(Fach-)Abitur","26.8","27","41","20.45","33.15"
"1999","17-34","(noch) kein Abschluss","","","","",""
"1999","17-34","AkademikerIn","25.79","17.5","33","15.22","36.36"
"1999","17-34","Hauptschule","24.89","14.5","48","13.57","36.21"
"1999","17-34","Realschule","26.05","12.5","84","12.97","39.13"
"1999","35-65","(Fach-)Abitur","","","","",""
"1999","35-65","(noch) kein Abschluss","","","","",""
"1999","35-65","AkademikerIn","50.33","32.5","102","40.48","60.18"
"1999","35-65","Hauptschule","58.35","40.5","171","49.04","67.66"
"1999","35-65","Realschule","51.43","42.5","139","41.58","61.28"
"1999","66 +","(Fach-)Abitur","","","","",""
"1999","66 +","(noch) kein Abschluss","","","","",""
"1999","66 +","AkademikerIn","","","","",""
"1999","66 +","Hauptschule","70.46","72","46","56.67","84.25"
"1999","66 +","Realschule","","","","",""
"2000","17-34","(Fach-)Abitur","23.62","18.5","69","19.1","28.14"
"2000","17-34","(noch) kein Abschluss","","","","",""
"2000","17-34","AkademikerIn","35.1","30","68","23.49","46.71"
"2000","17-34","Hauptschule","31.58","16.5","71","25.75","37.41"
"2000","17-34","Realschule","25.73","15.5","149","21.28","30.18"
"2000","35-65","(Fach-)Abitur","60.02","49.5","83","47.29","72.75"
"2000","35-65","(noch) kein Abschluss","","","","",""
"2000","35-65","AkademikerIn","56.42","40.5","236","48.74","64.1"
"2000","35-65","Hauptschule","53.71","40.5","335","47.65","59.77"
"2000","35-65","Realschule","51.33","40.5","292","45.73","56.93"
"2000","66 +","(Fach-)Abitur","","","","",""
"2000","66 +","(noch) kein Abschluss","","","","",""
"2000","66 +","AkademikerIn","91.54","74.5","46","67.66","115.42"
"2000","66 +","Hauptschule","77.54","76","69","66.18","88.9"
"2000","66 +","Realschule","96.5","83","51","76.51","116.49"
"2001","17-34","(Fach-)Abitur","25.08","22.5","74","20.78","29.38"
"2001","17-34","(noch) kein Abschluss","","","","",""
"2001","17-34","AkademikerIn","36.69","25.5","60","25.68","47.7"
"2001","17-34","Hauptschule","25.21","17","67","21.21","29.21"
"2001","17-34","Realschule","21.79","14.5","130","18.02","25.56"
"2001","35-65","(Fach-)Abitur","47.88","42.5","88","35.65","60.11"
"2001","35-65","(noch) kein Abschluss","","","","",""
"2001","35-65","AkademikerIn","46.52","34.5","218","39.54","53.5"
"2001","35-65","Hauptschule","43.26","37","293","38.19","48.33"
"2001","35-65","Realschule","47.47","39","282","42.39","52.55"
"2001","66 +","(Fach-)Abitur","","","","",""
"2001","66 +","(noch) kein Abschluss","","","","",""
"2001","66 +","AkademikerIn","83.56","79.5","43","65.41","101.71"
"2001","66 +","Hauptschule","75.23","68.5","76","62.98","87.48"
"2001","66 +","Realschule","103.42","93","50","86.85","119.99"
"2002","17-34","(Fach-)Abitur","25.72","19","85","20.13","31.31"
"2002","17-34","(noch) kein Abschluss","","","","",""
"2002","17-34","AkademikerIn","33.23","29.5","60","27.9","38.56"
"2002","17-34","Hauptschule","22.74","12.5","70","4.28","41.2"
"2002","17-34","Realschule","23.2","14.5","145","19.78","26.62"
"2002","35-65","(Fach-)Abitur","51.97","38","121","42.18","61.76"
"2002","35-65","(noch) kein Abschluss","","","","",""
"2002","35-65","AkademikerIn","50.55","38.5","327","43.79","57.31"
"2002","35-65","Hauptschule","43.87","31.5","333","39.18","48.56"
"2002","35-65","Realschule","50.89","39","353","45.61","56.17"
"2002","66 +","(Fach-)Abitur","","","","",""
"2002","66 +","(noch) kein Abschluss","","","","",""
"2002","66 +","AkademikerIn","106.85","91","79","91.08","122.62"
"2002","66 +","Hauptschule","80.17","76","89","64.77","95.57"
"2002","66 +","Realschule","82.64","72.5","69","63.63","101.65"
"2003","17-34","(Fach-)Abitur","31.4","14.5","85","24.45","38.35"
"2003","17-34","(noch) kein Abschluss","","","","",""
"2003","17-34","AkademikerIn","28.25","24","56","18.32","38.18"
"2003","17-34","Hauptschule","22.27","18","72","17.5","27.04"
"2003","17-34","Realschule","22.69","14.5","141","18.04","27.34"
"2003","35-65","(Fach-)Abitur","55.6","38","113","47.61","63.59"
"2003","35-65","(noch) kein Abschluss","","","","",""
"2003","35-65","AkademikerIn","47.93","34.5","300","40.72","55.14"
"2003","35-65","Hauptschule","41.82","33","314","37.69","45.95"
"2003","35-65","Realschule","47.94","39.5","348","43.17","52.71"
"2003","66 +","(Fach-)Abitur","","","","",""
"2003","66 +","(noch) kein Abschluss","","","","",""
"2003","66 +","AkademikerIn","91.44","81","78","75.23","107.65"
"2003","66 +","Hauptschule","100.93","73.5","90","80.37","121.49"
"2003","66 +","Realschule","98.05","89.5","71","80.71","115.39"
"2004","17-34","(Fach-)Abitur","23.22","14.5","95","19.03","27.41"
"2004","17-34","(noch) kein Abschluss","","","","",""
"2004","17-34","AkademikerIn","29.9","23.5","52","21.85","37.95"
"2004","17-34","Hauptschule","19.91","15.5","71","15.7","24.12"
"2004","17-34","Realschule","28.38","17.5","138","23.39","33.37"
"2004","35-65","(Fach-)Abitur","48.66","36.5","128","39.23","58.09"
"2004","35-65","(noch) kein Abschluss","","","","",""
