"year","bildungsniveau","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1999","(Fach-)Abitur","Ostdeutschland","","","","",""
"1999","(Fach-)Abitur","Westdeutschland","49.55","34.5","69","38.27","60.83"
"1999","(noch) kein Abschluss","Ostdeutschland","","","","",""
"1999","(noch) kein Abschluss","Westdeutschland","","","","",""
"1999","AkademikerIn","Ostdeutschland","33.14","13.5","38","18.44","47.84"
"1999","AkademikerIn","Westdeutschland","51.35","35","110","42.51","60.19"
"1999","Hauptschule","Ostdeutschland","","","","",""
"1999","Hauptschule","Westdeutschland","57.71","40.5","249","50.47","64.95"
"1999","Realschule","Ostdeutschland","35.81","14","52","12.61","59.01"
"1999","Realschule","Westdeutschland","51.66","44.5","195","44.47","58.85"
"2000","(Fach-)Abitur","Ostdeutschland","","","","",""
"2000","(Fach-)Abitur","Westdeutschland","51.42","37","161","43.4","59.44"
"2000","(noch) kein Abschluss","Ostdeutschland","","","","",""
"2000","(noch) kein Abschluss","Westdeutschland","","","","",""
"2000","AkademikerIn","Ostdeutschland","20.74","11.5","49","13.87","27.61"
"2000","AkademikerIn","Westdeutschland","61.72","42","301","54.33","69.11"
"2000","Hauptschule","Ostdeutschland","","","","",""
"2000","Hauptschule","Westdeutschland","56.48","41.5","457","51.55","61.41"
"2000","Realschule","Ostdeutschland","25.67","13.5","79","18.99","32.35"
"2000","Realschule","Westdeutschland","54.78","40.5","413","49.71","59.85"
"2001","(Fach-)Abitur","Ostdeutschland","","","","",""
"2001","(Fach-)Abitur","Westdeutschland","47.21","40.5","164","39.86","54.56"
"2001","(noch) kein Abschluss","Ostdeutschland","","","","",""
"2001","(noch) kein Abschluss","Westdeutschland","","","","",""
"2001","AkademikerIn","Ostdeutschland","17.91","10.5","54","10.27","25.55"
"2001","AkademikerIn","Westdeutschland","54.38","40.5","267","47.54","61.22"
"2001","Hauptschule","Ostdeutschland","","","","",""
"2001","Hauptschule","Westdeutschland","48.8","40.5","416","44.41","53.19"
"2001","Realschule","Ostdeutschland","18.86","12","78","11.52","26.2"
"2001","Realschule","Westdeutschland","53.28","40.5","384","48.68","57.88"
"2002","(Fach-)Abitur","Ostdeutschland","","","","",""
"2002","(Fach-)Abitur","Westdeutschland","48.22","34","206","41.45","54.99"
"2002","(noch) kein Abschluss","Ostdeutschland","","","","",""
"2002","(noch) kein Abschluss","Westdeutschland","","","","",""
"2002","AkademikerIn","Ostdeutschland","17.77","11.5","75","12.59","22.95"
