"year","bildungsniveau","migback","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1999","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"1999","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"1999","(Fach-)Abitur","kein Migrationshintergrund","49.71","31.5","71","38.54","60.88"
"1999","(noch) kein Abschluss","direkter Migrationshintergrund","","","","",""
"1999","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"1999","(noch) kein Abschluss","kein Migrationshintergrund","","","","",""
"1999","AkademikerIn","direkter Migrationshintergrund","","","","",""
"1999","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"1999","AkademikerIn","kein Migrationshintergrund","45.2","32.5","140","37.48","52.92"
"1999","Hauptschule","direkter Migrationshintergrund","","","","",""
"1999","Hauptschule","indirekter Migrationshintergrund","","","","",""
"1999","Hauptschule","kein Migrationshintergrund","58.95","40.5","244","51.56","66.34"
"1999","Realschule","direkter Migrationshintergrund","","","","",""
"1999","Realschule","indirekter Migrationshintergrund","","","","",""
"1999","Realschule","kein Migrationshintergrund","48.89","39","231","41.06","56.72"
"2000","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"2000","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"2000","(Fach-)Abitur","kein Migrationshintergrund","50.92","37","153","43.31","58.53"
"2000","(noch) kein Abschluss","direkter Migrationshintergrund","","","","",""
"2000","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"2000","(noch) kein Abschluss","kein Migrationshintergrund","","","","",""
"2000","AkademikerIn","direkter Migrationshintergrund","80.87","43","31","47.25","114.49"
"2000","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"2000","AkademikerIn","kein Migrationshintergrund","55.19","40.5","314","48.55","61.83"
"2000","Hauptschule","direkter Migrationshintergrund","","","","",""
"2000","Hauptschule","indirekter Migrationshintergrund","","","","",""
"2000","Hauptschule","kein Migrationshintergrund","56.47","40.5","438","51.35","61.59"
"2000","Realschule","direkter Migrationshintergrund","","","","",""
"2000","Realschule","indirekter Migrationshintergrund","","","","",""
"2000","Realschule","kein Migrationshintergrund","51.4","35.5","467","46.75","56.05"
"2001","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"2001","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
