year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,n
1984,,,,,,,,,
1985,,,,,,,,,
1986,,,,,,,,,
1987,,,,,,,,,
1988,,,,,,,,,
1989,,,,,,,,,
1990,,,,,,,,,
1991,,,,,,,,,
1992,,,,,,,,,
1993,,,,,,,,,
1994,,,,,,,,,
1995,,,,,,,,,
1996,,,,,,,,,
1997,,,,,,,,,
1998,,,,,,,,,
1999,52.02416,47.99346,56.05485,16.00000,37.00000,70.00000,1.00000,151.00000,781.00000
2000,54.04108,51.21632,56.86584,15.00000,38.00000,73.00000,1.00000,160.00000,1513.00000
2001,48.75530,46.22804,51.28256,15.00000,36.00000,66.00000,1.00000,142.50000,1416.00000
2002,51.29060,48.86330,53.71789,15.00000,36.00000,70.00000,1.00000,152.50000,1774.00000
2003,51.67550,48.77991,54.57108,15.00000,35.00000,70.00000,1.00000,152.50000,1725.00000
2004,49.59059,47.07519,52.10598,15.00000,34.00000,68.00000,1.00000,147.50000,1806.00000
2005,47.15867,44.56734,49.75001,14.00000,28.00000,60.00000,1.00000,129.00000,1932.00000
2006,43.09475,41.06865,45.12086,13.00000,26.00000,58.25359,1.00000,126.13398,2429.00000
2007,40.86826,38.74470,42.99181,12.00000,25.00000,53.00000,1.00000,114.50000,2461.00000
2008,37.14637,35.51103,38.78171,12.00000,21.00000,50.00000,1.00000,107.00000,2686.00000
2009,,,,,,,,,
2010,36.68838,34.55521,38.82156,12.00000,20.00000,49.00000,0.00000,104.50000,2604.00000
2011,36.02819,34.59675,37.45964,13.00000,22.00000,45.00000,1.00000,93.00000,3411.00000
2012,34.53466,33.28003,35.78930,12.00000,23.00000,42.00000,1.00000,87.00000,3648.00000
2013,35.99245,34.71360,37.27129,13.00000,24.00000,45.00000,0.00000,93.00000,3561.00000
2014,32.46082,31.55315,33.36848,13.00000,23.00000,40.00000,1.00000,80.50000,4822.00000
2015,,,,,,,,,
2016,33.60585,32.50873,34.70297,14.00000,24.00000,40.00000,1.00000,79.00000,3806.00000
2017,,,,,,,,,
2018,34.45653,33.41007,35.50300,14.00000,25.00000,43.00000,1.00000,86.50000,4235.00000
2019,,,,,,,,,
2020,35.11570,34.06814,36.16326,15.00000,25.00000,45.29400,0.00000,90.73501,4132.00000
2021,,,,,,,,,
2022,,,,,,,,,
