"year","regtyp","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2004","Laendlicher Raum","maennlich","5.61","5.5","3477","2","4","8","9","10","5.52","5.7","0","10","6","6"
"2004","Laendlicher Raum","weiblich","5.23","4.5","3598","1","3","7","8","10","5.14","5.32","0","10","5","6"
"2004","Staedtischer Raum","maennlich","5.84","5.5","6744","2","4","8","9","10","5.78","5.9","0","10","6","7"
"2004","Staedtischer Raum","weiblich","5.36","4.5","6989","2","3","7","9","10","5.3","5.42","0","10","6","6"
"2005","Laendlicher Raum","maennlich","5.64","5.5","3304","2","4","8","9","10","5.55","5.73","0","10","6","6"
"2005","Laendlicher Raum","weiblich","5.19","4.5","3461","1","3","7","9","10","5.1","5.28","0","10","5","5"
"2005","Staedtischer Raum","maennlich","5.82","5.5","6443","2","4","8","9","10","5.76","5.88","0","10","7","7"
"2005","Staedtischer Raum","weiblich","5.38","5.5","6739","1","3","8","9","10","5.31","5.45","0","10","6","6"
"2006","Laendlicher Raum","maennlich","5.68","5.5","3572","2","4","8","9","10","5.6","5.76","0","10","6","6"
"2006","Laendlicher Raum","weiblich","5.21","4.5","3791","1","3","7","9","10","5.12","5.3","0","10","5","5"
"2006","Staedtischer Raum","maennlich","5.82","5.5","6773","2","4","8","9","10","5.76","5.88","0","10","6","7"
"2006","Staedtischer Raum","weiblich","5.34","4.5","7158","1","3","8","9","10","5.28","5.4","0","10","6","6"
"2007","Laendlicher Raum","maennlich","5.67","5.5","3377","2","4","8","9","10","5.59","5.75","0","10","6","6"
"2007","Laendlicher Raum","weiblich","5.11","4.5","3549","1","3","7","8","10","5.02","5.2","0","10","5","5"
"2007","Staedtischer Raum","maennlich","5.87","5.5","6262","2","4","8","9","10","5.81","5.93","0","10","7","7"
"2007","Staedtischer Raum","weiblich","5.28","4.5","6727","1","3","7","8","10","5.22","5.34","0","10","5","6"
"2008","Laendlicher Raum","maennlich","5.64","5.5","3176","2","4","8","8","10","5.55","5.73","0","10","6","6"
"2008","Laendlicher Raum","weiblich","5.29","4.5","3348","2","3","7","8","10","5.2","5.38","0","10","5","6"
"2008","Staedtischer Raum","maennlich","5.91","5.5","5915","2","4","8","9","10","5.85","5.97","0","10","7","7"
"2008","Staedtischer Raum","weiblich","5.39","5.5","6334","2","3","8","8","10","5.32","5.46","0","10","6","6"
"2009","Laendlicher Raum","maennlich","5.75","5.5","3043","2","4","8","9","10","5.66","5.84","0","10","6","6"
"2009","Laendlicher Raum","weiblich","5.29","4.5","3181","2","3","7","8","10","5.2","5.38","0","10","5","6"
"2009","Staedtischer Raum","maennlich","5.9","5.5","5469","2","4","8","9","10","5.84","5.96","0","10","7","7"
"2009","Staedtischer Raum","weiblich","5.49","5.5","5924","2","4","8","9","10","5.42","5.56","0","10","6","6"
"2010","Laendlicher Raum","maennlich","5.84","5.5","3814","2","4","8","9","10","5.76","5.92","0","10","6","7"
"2010","Laendlicher Raum","weiblich","5.44","5.5","4396","2","3","8","9","10","5.36","5.52","0","10","5","6"
"2010","Staedtischer Raum","maennlich","6.02","6.5","6973","2","4","8","9","10","5.96","6.08","0","10","7","7"
