"year","age_gr","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2004","17-29","4.92","4.5","3688","1","3","7","8","10","4.83","5.01","0","10","5","5"
"2004","30-45","5.46","5.5","6310","1","4","8","8","10","5.4","5.52","0","10","6","6"
"2004","46-65","5.55","5.5","7123","2","4","8","9","10","5.49","5.61","0","10","6","6"
"2004","66","6.11","5.5","3687","3","5","8","9","10","6.03","6.19","0","10","6","7"
"2005","17-29","4.77","4.5","3550","0","3","7","8","10","4.68","4.86","0","10","5","5"
"2005","30-45","5.45","5.5","5893","1","4","8","8","10","5.38","5.52","0","10","6","6"
"2005","46-65","5.55","5.5","6807","2","4","8","9","10","5.49","5.61","0","10","6","6"
"2005","66","6.22","6.5","3697","3","5","8","9","10","6.14","6.3","0","10","7","7"
"2006","17-29","5.02","4.5","3486","1","3","7","9","10","4.93","5.11","0","10","5","5"
"2006","30-45","5.47","5.5","6107","2","4","7","8","10","5.4","5.54","0","10","6","6"
"2006","46-65","5.5","5.5","7358","2","4","8","9","10","5.44","5.56","0","10","6","6"
"2006","66","6.04","5.5","4343","3","5","8","9","10","5.97","6.11","0","10","6","7"
"2007","17-29","5.05","4.5","3188","1","3","7","8","10","4.95","5.15","0","10","5","5"
"2007","30-45","5.55","5.5","5573","2","4","8","8","10","5.48","5.62","0","10","6","6"
"2007","46-65","5.37","5.5","6886","1","4","7","8","10","5.31","5.43","0","10","6","6"
"2007","66","5.97","5.5","4268","3","4","8","9","10","5.9","6.04","0","10","6","6"
"2008","17-29","5.11","4.5","2951","1","3","7","8","10","5.01","5.21","0","10","5","6"
"2008","30-45","5.68","5.5","5057","2","4","8","8","10","5.61","5.75","0","10","6","6"
"2008","46-65","5.44","5.5","6531","2","4","8","8","10","5.38","5.5","0","10","6","6"
"2008","66","6.01","5.5","4234","3","4","8","9","10","5.94","6.08","0","10","6","7"
"2009","17-29","5.2","4.5","2716","1","3","7","9","10","5.1","5.3","0","10","5","6"
"2009","30-45","5.68","5.5","4596","2","4","8","9","10","5.61","5.75","0","10","6","6"
"2009","46-65","5.51","5.5","6193","2","4","8","8","10","5.45","5.57","0","10","6","6"
"2009","66","6.06","5.5","4112","2","5","8","9","10","5.99","6.13","0","10","6","7"
"2010","17-29","5.33","5.5","3727","1","3","7","9","10","5.24","5.42","0","10","5","5"
"2010","30-45","5.87","5.5","8897","2","4","8","9","10","5.81","5.93","0","10","6","6"
"2010","46-65","5.57","5.5","6811","2","4","8","9","10","5.51","5.63","0","10","6","6"
"2010","66","6.19","6.5","3972","3","5","8","9","10","6.12","6.26","0","10","7","7"
"2011","17-29","5.59","5.5","3554","2","4","8","9","10","5.5","5.68","0","10","6","6"
"2011","30-45","6.08","6.5","8968","2","5","8","9","10","6.03","6.13","0","10","6","7"
"2011","46-65","5.82","5.5","7958","2","4","8","9","10","5.76","5.88","0","10","6","7"
"2011","66","6.19","6.5","4399","3","5","8","9","10","6.12","6.26","0","10","7","7"
"2012","17-29","5.64","5.5","3499","2","4","8","9","10","5.55","5.73","0","10","6","6"
"2012","30-45","6.2","6.5","8508","3","5","8","9","10","6.15","6.25","0","10","6","7"
"2012","46-65","5.93","5.5","8681","2","4","8","9","10","5.88","5.98","0","10","6","7"
"2012","66","6.29","6.5","4837","3","5","8","9","10","6.22","6.36","0","10","7","7"
"2013","17-29","5.66","5.5","3283","2","4","8","9","10","5.56","5.76","0","10","6","6"
"2013","30-45","6.26","6.5","7767","3","5","8","9","10","6.2","6.32","0","10","7","7"
"2013","46-65","6.08","6.5","8787","2","5","8","9","10","6.03","6.13","0","10","7","7"
"2013","66","6.45","6.5","4884","3","5","8","9","10","6.38","6.52","0","10","7","7"
"2014","17-29","5.68","5.5","3891","2","4","8","9","10","5.59","5.77","0","10","6","6"
"2014","30-45","6.21","6.5","8226","3","5","8","9","10","6.16","6.26","0","10","7","7"
"2014","46-65","6.09","6.5","9100","2","5","8","9","10","6.04","6.14","0","10","7","7"
"2014","66","6.48","6.5","4896","3","5","8","9","10","6.41","6.55","0","10","7","7"
"2015","17-29","5.75","5.5","4019","2","4","8","9","10","5.66","5.84","0","10","6","6"
"2015","30-45","6.28","6.5","8035","3","5","8","9","10","6.22","6.34","0","10","7","7"
"2015","46-65","6.25","6.5","8916","3","5","8","9","10","6.2","6.3","0","10","7","7"
"2015","66","6.72","6.5","4863","3","5","8","9","10","6.66","6.78","0","10","7","7"
"2016","17-29","5.96","6.5","3624","2","4","8","9","10","5.87","6.05","0","10","6","7"
"2016","30-45","6.35","6.5","7076","3","5","8","9","10","6.29","6.41","0","10","7","7"
"2016","46-65","6.35","6.5","8482","3","5","8","9","10","6.3","6.4","0","10","7","7"
"2016","66","6.78","6.5","4665","3","5","8","10","10","6.72","6.84","0","10","7","7"
"2017","17-29","6.06","6.5","4655","2","5","8","9","10","5.98","6.14","0","10","6","7"
"2017","30-45","6.39","6.5","8232","3","5","8","9","10","6.34","6.44","0","10","7","7"
"2017","46-65","6.39","6.5","10118","3","5","8","9","10","6.34","6.44","0","10","7","7"
"2017","66","6.72","6.5","4924","3","5","8","10","10","6.66","6.78","0","10","7","7"
"2018","17-29","6.02","5.5","4954","2","5","8","9","10","5.95","6.09","0","10","6","6"
"2018","30-45","6.37","6.5","8174","3","5","8","9","10","6.32","6.42","0","10","6","7"
"2018","46-65","6.38","6.5","10011","3","5","8","9","10","6.33","6.43","0","10","7","7"
"2018","66","6.69","6.5","4978","3","5","8","10","10","6.63","6.75","0","10","7","7"
"2019","17-29","6.23","6.5","4467","3","5","8","9","10","6.15","6.31","0","10","7","7"
"2019","30-45","6.64","6.5","7760","3","5","8","9","10","6.59","6.69","0","10","7","7"
"2019","46-65","6.58","6.5","10875","3","5","8","9","10","6.54","6.62","0","10","7","7"
"2019","66","6.87","6.5","5207","3","5","8","10","10","6.81","6.93","0","10","8","8"
"2020","17-29","6.16","6.5","4952","3","5","8","9","10","6.09","6.23","0","10","7","7"
"2020","30-45","6.56","6.5","8084","3","5","8","9","10","6.51","6.61","0","10","7","7"
"2020","46-65","6.53","6.5","10267","3","5","8","9","10","6.48","6.58","0","10","7","7"
"2020","66","6.88","6.5","4917","4","5","8","10","10","6.82","6.94","0","10","7","8"
