syear,migback,regtyp,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1985,No migration background,Urban regions,,,,,,,,,,,,
1985,No migration background,Rural regions,,,,,,,,,,,,
1985,Direct migration background,Urban regions,,,,,,,,,,,,
1985,Direct migration background,Rural regions,,,,,,,,,,,,
1985,Indirect migration background,Urban regions,,,,,,,,,,,,
1985,Indirect migration background,Rural regions,,,,,,,,,,,,
1986,No migration background,Urban regions,,,,,,,,,,,,
1986,No migration background,Rural regions,,,,,,,,,,,,
1986,Direct migration background,Urban regions,,,,,,,,,,,,
1986,Direct migration background,Rural regions,,,,,,,,,,,,
1986,Indirect migration background,Urban regions,,,,,,,,,,,,
1986,Indirect migration background,Rural regions,,,,,,,,,,,,
1987,No migration background,Urban regions,,,,,,,,,,,,
1987,No migration background,Rural regions,,,,,,,,,,,,
1987,Direct migration background,Urban regions,,,,,,,,,,,,
1987,Direct migration background,Rural regions,,,,,,,,,,,,
1987,Indirect migration background,Urban regions,,,,,,,,,,,,
1987,Indirect migration background,Rural regions,,,,,,,,,,,,
1988,No migration background,Urban regions,,,,,,,,,,,,
1988,No migration background,Rural regions,,,,,,,,,,,,
1988,Direct migration background,Urban regions,,,,,,,,,,,,
1988,Direct migration background,Rural regions,,,,,,,,,,,,
1988,Indirect migration background,Urban regions,,,,,,,,,,,,
1988,Indirect migration background,Rural regions,,,,,,,,,,,,
1989,No migration background,Urban regions,,,,,,,,,,,,
1989,No migration background,Rural regions,,,,,,,,,,,,
1989,Direct migration background,Urban regions,,,,,,,,,,,,
1989,Direct migration background,Rural regions,,,,,,,,,,,,
1989,Indirect migration background,Urban regions,,,,,,,,,,,,
1989,Indirect migration background,Rural regions,,,,,,,,,,,,
1990,No migration background,Urban regions,,,,,,,,,,,,
1990,No migration background,Rural regions,,,,,,,,,,,,
1990,Direct migration background,Urban regions,,,,,,,,,,,,
1990,Direct migration background,Rural regions,,,,,,,,,,,,
1990,Indirect migration background,Urban regions,,,,,,,,,,,,
1990,Indirect migration background,Rural regions,,,,,,,,,,,,
1991,No migration background,Urban regions,,,,,,,,,,,,
1991,No migration background,Rural regions,,,,,,,,,,,,
1991,Direct migration background,Urban regions,,,,,,,,,,,,
1991,Direct migration background,Rural regions,,,,,,,,,,,,
1991,Indirect migration background,Urban regions,,,,,,,,,,,,
1991,Indirect migration background,Rural regions,,,,,,,,,,,,
1992,No migration background,Urban regions,,,,,,,,,,,,
1992,No migration background,Rural regions,,,,,,,,,,,,
1992,Direct migration background,Urban regions,,,,,,,,,,,,
1992,Direct migration background,Rural regions,,,,,,,,,,,,
1992,Indirect migration background,Urban regions,,,,,,,,,,,,
1992,Indirect migration background,Rural regions,,,,,,,,,,,,
1993,No migration background,Urban regions,,,,,,,,,,,,
1993,No migration background,Rural regions,,,,,,,,,,,,
1993,Direct migration background,Urban regions,,,,,,,,,,,,
1993,Direct migration background,Rural regions,,,,,,,,,,,,
1993,Indirect migration background,Urban regions,,,,,,,,,,,,
1993,Indirect migration background,Rural regions,,,,,,,,,,,,
1994,No migration background,Urban regions,,,,,,,,,,,,
1994,No migration background,Rural regions,,,,,,,,,,,,
1994,Direct migration background,Urban regions,,,,,,,,,,,,
1994,Direct migration background,Rural regions,,,,,,,,,,,,
1994,Indirect migration background,Urban regions,,,,,,,,,,,,
1994,Indirect migration background,Rural regions,,,,,,,,,,,,
1995,No migration background,Urban regions,,,,,,,,,,,,
1995,No migration background,Rural regions,,,,,,,,,,,,
1995,Direct migration background,Urban regions,,,,,,,,,,,,
1995,Direct migration background,Rural regions,,,,,,,,,,,,
1995,Indirect migration background,Urban regions,,,,,,,,,,,,
1995,Indirect migration background,Rural regions,,,,,,,,,,,,
1996,No migration background,Urban regions,,,,,,,,,,,,
1996,No migration background,Rural regions,,,,,,,,,,,,
1996,Direct migration background,Urban regions,,,,,,,,,,,,
1996,Direct migration background,Rural regions,,,,,,,,,,,,
1996,Indirect migration background,Urban regions,,,,,,,,,,,,
1996,Indirect migration background,Rural regions,,,,,,,,,,,,
1997,No migration background,Urban regions,,,,,,,,,,,,
1997,No migration background,Rural regions,,,,,,,,,,,,
1997,Direct migration background,Urban regions,,,,,,,,,,,,
1997,Direct migration background,Rural regions,,,,,,,,,,,,
1997,Indirect migration background,Urban regions,,,,,,,,,,,,
1997,Indirect migration background,Rural regions,,,,,,,,,,,,
1998,No migration background,Urban regions,,,,,,,,,,,,
1998,No migration background,Rural regions,,,,,,,,,,,,
1998,Direct migration background,Urban regions,,,,,,,,,,,,
1998,Direct migration background,Rural regions,,,,,,,,,,,,
1998,Indirect migration background,Urban regions,,,,,,,,,,,,
1998,Indirect migration background,Rural regions,,,,,,,,,,,,
1999,No migration background,Urban regions,,,,,,,,,,,,
1999,No migration background,Rural regions,,,,,,,,,,,,
1999,Direct migration background,Urban regions,,,,,,,,,,,,
1999,Direct migration background,Rural regions,,,,,,,,,,,,
1999,Indirect migration background,Urban regions,,,,,,,,,,,,
1999,Indirect migration background,Rural regions,,,,,,,,,,,,
2000,No migration background,Urban regions,,,,,,,,,,,,
2000,No migration background,Rural regions,,,,,,,,,,,,
2000,Direct migration background,Urban regions,,,,,,,,,,,,
2000,Direct migration background,Rural regions,,,,,,,,,,,,
2000,Indirect migration background,Urban regions,,,,,,,,,,,,
2000,Indirect migration background,Rural regions,,,,,,,,,,,,
2001,No migration background,Urban regions,,,,,,,,,,,,
2001,No migration background,Rural regions,,,,,,,,,,,,
2001,Direct migration background,Urban regions,,,,,,,,,,,,
2001,Direct migration background,Rural regions,,,,,,,,,,,,
2001,Indirect migration background,Urban regions,,,,,,,,,,,,
2001,Indirect migration background,Rural regions,,,,,,,,,,,,
2002,No migration background,Urban regions,,,,,,,,,,,,
2002,No migration background,Rural regions,,,,,,,,,,,,
2002,Direct migration background,Urban regions,,,,,,,,,,,,
2002,Direct migration background,Rural regions,,,,,,,,,,,,
2002,Indirect migration background,Urban regions,,,,,,,,,,,,
2002,Indirect migration background,Rural regions,,,,,,,,,,,,
2003,No migration background,Urban regions,,,,,,,,,,,,
2003,No migration background,Rural regions,,,,,,,,,,,,
2003,Direct migration background,Urban regions,,,,,,,,,,,,
2003,Direct migration background,Rural regions,,,,,,,,,,,,
2003,Indirect migration background,Urban regions,,,,,,,,,,,,
2003,Indirect migration background,Rural regions,,,,,,,,,,,,
2004,No migration background,Urban regions,5.769269047425616,5.746561594742859,5.7919765001083725,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,11164.0
2004,No migration background,Rural regions,5.484950186749256,5.453780249363133,5.516120124135378,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,6501.0
2004,Direct migration background,Urban regions,4.927690458099934,4.871000253519626,4.984380662680242,3.0,5.0,7.0,0.0,10.0,5.0,5.0,5.0,1968.0
2004,Direct migration background,Rural regions,4.799634856967305,4.674133321706076,4.925136392228534,3.0,5.0,7.0,0.0,10.0,5.0,4.974999999999994,5.0,432.0
2004,Indirect migration background,Urban regions,4.784986284356081,4.68984383927683,4.880128729435332,3.0,5.0,7.0,0.0,10.0,5.0,5.0,5.0,631.0
2004,Indirect migration background,Rural regions,4.8781412639487085,4.621475431770788,5.134807096126629,3.0,5.0,7.0,0.0,10.0,5.0,4.0,5.0,112.0
2005,No migration background,Urban regions,5.795747918708706,5.772121130486016,5.819374706931396,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,10705.0
2005,No migration background,Rural regions,5.476093834584943,5.44363077635593,5.508556892813956,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,6238.0
2005,Direct migration background,Urban regions,4.780200010354129,4.719558470952254,4.840841549756004,3.0,5.0,7.0,0.0,10.0,5.0,5.0,5.0,1852.0
2005,Direct migration background,Rural regions,4.65574670680778,4.523806473857273,4.787686939758287,3.0,5.0,7.0,0.0,10.0,5.0,5.0,6.0,393.0
2005,Indirect migration background,Urban regions,4.867893943357498,4.766488427256127,4.9692994594588695,3.0,5.0,7.0,0.0,10.0,5.0,5.0,5.0,655.0
2005,Indirect migration background,Rural regions,4.976693237442969,4.7211417769956325,5.232244697890306,3.0,5.0,7.0,0.0,10.0,5.0,4.0,6.0,104.0
2006,No migration background,Urban regions,5.764478741794017,5.741646593861513,5.787310889726521,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,11464.0
2006,No migration background,Rural regions,5.5042169278990265,5.473953003407957,5.534480852390096,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,6811.0
2006,Direct migration background,Urban regions,4.810141159354071,4.750300654250829,4.869981664457313,3.0,5.0,7.0,0.0,10.0,5.0,5.0,5.0,1846.0
2006,Direct migration background,Rural regions,4.7054265004933695,4.584351494408886,4.826501506577853,3.0,5.0,7.0,0.0,10.0,5.0,5.0,6.0,413.0
2006,Indirect migration background,Urban regions,5.041780269859603,4.939462936162207,5.144097603556999,3.0,5.0,7.0,0.0,10.0,5.0,4.0,5.0,649.0
2006,Indirect migration background,Rural regions,4.9397083684436645,4.704587505502675,5.174829231384654,3.0,5.0,7.0,0.0,10.0,5.0,4.0,6.0,111.0
2007,No migration background,Urban regions,5.761313309628597,5.737880692867303,5.784745926389891,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,10758.0
2007,No migration background,Rural regions,5.458000269822234,5.4271115413241535,5.488888998320315,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,6406.0
2007,Direct migration background,Urban regions,4.725796966831634,4.6637223643857215,4.787871569277547,3.0,5.0,7.0,0.0,10.0,5.0,5.0,5.0,1642.0
2007,Direct migration background,Rural regions,4.693942479780839,4.566564661292173,4.821320298269505,3.0,5.0,7.0,0.0,10.0,5.0,5.0,6.0,383.0
2007,Indirect migration background,Urban regions,5.075200377077131,4.969022379566251,5.181378374588011,3.0,5.0,7.0,0.0,10.0,5.0,4.0,5.0,623.0
2007,Indirect migration background,Rural regions,4.765055662176587,4.53018645928313,4.999924865070043,2.1731249352784316,5.0,7.0,0.0,10.0,5.0,4.0,6.0,103.0
2008,No migration background,Urban regions,5.819132761720499,5.795445076498764,5.842820446942234,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,10172.0
2008,No migration background,Rural regions,5.526238391696436,5.4951230606431425,5.55735372274973,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,6051.0
2008,Direct migration background,Urban regions,4.859315079491431,4.794893324805457,4.923736834177404,3.0,5.0,7.0,0.0,10.0,5.0,5.0,5.0,1486.0
2008,Direct migration background,Rural regions,4.915293104218769,4.787971900120371,5.042614308317167,3.0,5.0,7.0,0.0,10.0,5.0,5.0,5.0,340.0
2008,Indirect migration background,Urban regions,5.304800159348259,5.205882101292543,5.403718217403975,4.0,6.0,7.0,0.0,10.0,6.0,6.0,7.0,620.0
2008,Indirect migration background,Rural regions,4.709093981349052,4.442671019452744,4.97551694324536,2.117014579676768,5.0,7.0,0.0,10.0,5.0,4.0,6.0,104.0
2009,No migration background,Urban regions,5.885077689791321,5.860308327269343,5.909847052313299,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,9543.0
2009,No migration background,Rural regions,5.595229320681421,5.562931340849069,5.627527300513773,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,5779.0
2009,Direct migration background,Urban regions,4.853258330825481,4.784965294120046,4.921551367530916,3.0,5.0,7.0,0.0,10.0,5.0,5.0,5.0,1305.0
2009,Direct migration background,Rural regions,4.786648863250034,4.629713467766173,4.943584258733894,3.0,5.0,7.0,0.0,10.0,5.0,5.0,6.0,309.0
2009,Indirect migration background,Urban regions,5.15103300392775,5.044395892205916,5.257670115649583,3.0,6.0,7.0,0.0,10.0,6.0,6.0,7.0,573.0
2009,Indirect migration background,Rural regions,4.990930121515935,4.783145064127817,5.198715178904052,4.0,5.0,7.0,0.0,10.0,5.0,4.0,6.0,108.0
