"year","bildungsniveau","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"2004","(Fach-)Abitur","Laendlicher Raum","5.4","5.5","549","1","3","8","9","10","5.17","5.63","0","10","5","6"
"2004","(Fach-)Abitur","Staedtischer Raum","5.55","5.5","1745","2","4","8","9","10","5.43","5.67","0","10","6","6"
"2004","(noch) kein Abschluss","Laendlicher Raum","4.5","4.5","208","1","2","6","8","10","4.11","4.89","0","10","4","5"
"2004","(noch) kein Abschluss","Staedtischer Raum","4.44","4.5","540","0","2","7","8","10","4.19","4.69","0","10","5","5"
"2004","AkademikerIn","Laendlicher Raum","6.13","6.5","1250","2","5","8","9","10","6","6.26","0","10","7","7"
"2004","AkademikerIn","Staedtischer Raum","6.41","6.5","2972","3","5","8","9","10","6.32","6.5","0","10","7","7"
"2004","Hauptschule","Laendlicher Raum","5.48","5.5","2734","2","4","8","9","10","5.38","5.58","0","10","5","6"
"2004","Hauptschule","Staedtischer Raum","5.39","4.5","5063","2","4","7","8","10","5.32","5.46","0","10","5","6"
"2004","Realschule","Laendlicher Raum","5.18","4.5","2242","1","3","7","8","10","5.07","5.29","0","10","5","6"
"2004","Realschule","Staedtischer Raum","5.62","5.5","3209","2","4","8","8","10","5.53","5.71","0","10","6","6"
"2005","(Fach-)Abitur","Laendlicher Raum","5.4","5.5","532","2","4","7","9","10","5.17","5.63","0","10","5","6"
"2005","(Fach-)Abitur","Staedtischer Raum","5.46","5.5","1661","2","4","7","9","10","5.33","5.59","0","10","6","6"
"2005","(noch) kein Abschluss","Laendlicher Raum","4.69","4.5","196","0","2","7","9","10","4.25","5.13","0","10","4","5"
"2005","(noch) kein Abschluss","Staedtischer Raum","4.35","4.5","538","0","2","6","8","10","4.09","4.61","0","10","4","5"
"2005","AkademikerIn","Laendlicher Raum","6.26","6.5","1215","3","5","8","9","10","6.12","6.4","0","10","7","7"
"2005","AkademikerIn","Staedtischer Raum","6.43","6.5","2881","3","5","8","9","10","6.34","6.52","0","10","7","7"
"2005","Hauptschule","Laendlicher Raum","5.41","4.5","2565","1","3","8","9","10","5.31","5.51","0","10","5","6"
"2005","Hauptschule","Staedtischer Raum","5.39","4.5","4770","2","4","7","8","10","5.32","5.46","0","10","6","6"
"2005","Realschule","Laendlicher Raum","5.22","4.5","2146","1","3","7","8","10","5.11","5.33","0","10","5","6"
"2005","Realschule","Staedtischer Raum","5.68","5.5","3093","2","4","8","9","10","5.59","5.77","0","10","6","6"
"2006","(Fach-)Abitur","Laendlicher Raum","5.43","4.5","568","2","4","7","8","10","5.21","5.65","0","10","5","6"
"2006","(Fach-)Abitur","Staedtischer Raum","5.5","5.5","1785","2","4","8","9","10","5.38","5.62","0","10","6","6"
"2006","(noch) kein Abschluss","Laendlicher Raum","4.63","3.5","156","0","3","7","8","10","4.17","5.09","0","10","4","6"
"2006","(noch) kein Abschluss","Staedtischer Raum","4.5","4.5","402","0","2","7","8","10","4.2","4.8","0","10","4","5"
"2006","AkademikerIn","Laendlicher Raum","6.13","6.5","1332","2","5","8","9","10","6","6.26","0","10","7","7"
"2006","AkademikerIn","Staedtischer Raum","6.36","6.5","3180","2","5","8","9","10","6.27","6.45","0","10","7","7"
"2006","Hauptschule","Laendlicher Raum","5.39","4.5","2833","2","4","7","9","10","5.3","5.48","0","10","5","6"
"2006","Hauptschule","Staedtischer Raum","5.38","4.5","5034","2","4","7","8","10","5.31","5.45","0","10","5","6"
"2006","Realschule","Laendlicher Raum","5.34","5.5","2344","2","3","7","8","10","5.23","5.45","0","10","5","6"
"2006","Realschule","Staedtischer Raum","5.6","5.5","3248","2","4","8","9","10","5.51","5.69","0","10","6","6"
"2007","(Fach-)Abitur","Laendlicher Raum","5.54","5.5","568","2","4","7","9","10","5.33","5.75","0","10","5","6"
"2007","(Fach-)Abitur","Staedtischer Raum","5.46","5.5","1704","2","4","8","9","10","5.34","5.58","0","10","6","6"
"2007","(noch) kein Abschluss","Laendlicher Raum","3.93","3.5","132","0","1","7","8","10","3.37","4.49","0","10","4","6"
"2007","(noch) kein Abschluss","Staedtischer Raum","4.59","4.5","331","0","2","7","8","10","4.27","4.91","0","10","4","5"
"2007","AkademikerIn","Laendlicher Raum","6.21","6.5","1278","3","5","8","9","10","6.08","6.34","0","10","7","7"
"2007","AkademikerIn","Staedtischer Raum","6.49","6.5","3054","3","5","8","9","10","6.41","6.57","0","10","7","7"
"2007","Hauptschule","Laendlicher Raum","5.27","4.5","2603","2","3","7","8","10","5.17","5.37","0","10","5","6"
"2007","Hauptschule","Staedtischer Raum","5.26","4.5","4547","1","3","7","8","10","5.19","5.33","0","10","5","6"
"2007","Realschule","Laendlicher Raum","5.29","5.5","2208","1","3","7","8","10","5.18","5.4","0","10","5","6"
"2007","Realschule","Staedtischer Raum","5.6","5.5","3067","2","4","8","9","10","5.51","5.69","0","10","6","6"
"2008","(Fach-)Abitur","Laendlicher Raum","5.72","5.5","521","2","4","8","9","10","5.5","5.94","0","10","6","6"
"2008","(Fach-)Abitur","Staedtischer Raum","5.52","5.5","1584","2","4","7","9","10","5.39","5.65","0","10","6","6"
"2008","(noch) kein Abschluss","Laendlicher Raum","4.49","4.5","130","1","3","7","8","10","3.98","5","0","10","3","6"
"2008","(noch) kein Abschluss","Staedtischer Raum","4.78","4.5","308","1","3","7","8","10","4.46","5.1","0","10","5","5"
"2008","AkademikerIn","Laendlicher Raum","6.26","6.5","1218","3","5","8","9","10","6.13","6.39","0","10","7","7"
"2008","AkademikerIn","Staedtischer Raum","6.53","6.5","2919","3","5","8","9","10","6.45","6.61","0","10","7","7"
"2008","Hauptschule","Laendlicher Raum","5.34","4.5","2431","2","4","7","8","10","5.24","5.44","0","10","5","6"
"2008","Hauptschule","Staedtischer Raum","5.37","5.5","4218","2","4","7","8","10","5.29","5.45","0","10","6","6"
"2008","Realschule","Laendlicher Raum","5.35","5.5","2078","2","3","7","8","10","5.24","5.46","0","10","5","6"
"2008","Realschule","Staedtischer Raum","5.61","5.5","2921","2","4","8","8","10","5.52","5.7","0","10","6","6"
"2009","(Fach-)Abitur","Laendlicher Raum","5.7","5.5","505","2","4","8","9","10","5.48","5.92","0","10","6","6"
"2009","(Fach-)Abitur","Staedtischer Raum","5.59","5.5","1440","2","4","8","9","10","5.46","5.72","0","10","6","6"
"2009","(noch) kein Abschluss","Laendlicher Raum","4.31","4.5","112","0","1","7","8","10","3.73","4.89","0","10","3","6"
"2009","(noch) kein Abschluss","Staedtischer Raum","4.36","3.5","304","0","2","7","8","10","4.01","4.71","0","10","4","5"
