year,migback,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,No migration background,1st Quintile,,,,,,,,,,,,
1984,No migration background,2nd Quintile,,,,,,,,,,,,
1984,No migration background,3rd Quintile,,,,,,,,,,,,
1984,No migration background,4th Quintile,,,,,,,,,,,,
1984,No migration background,5th Quintile,,,,,,,,,,,,
1984,Direct migration background,1st Quintile,,,,,,,,,,,,
1984,Direct migration background,2nd Quintile,,,,,,,,,,,,
1984,Direct migration background,3rd Quintile,,,,,,,,,,,,
1984,Direct migration background,4th Quintile,,,,,,,,,,,,
1984,Direct migration background,5th Quintile,,,,,,,,,,,,
1984,Indirect migration background,1st Quintile,,,,,,,,,,,,
1984,Indirect migration background,2nd Quintile,,,,,,,,,,,,
1984,Indirect migration background,3rd Quintile,,,,,,,,,,,,
1984,Indirect migration background,4th Quintile,,,,,,,,,,,,
1984,Indirect migration background,5th Quintile,,,,,,,,,,,,
1985,No migration background,1st Quintile,,,,,,,,,,,,
1985,No migration background,2nd Quintile,,,,,,,,,,,,
1985,No migration background,3rd Quintile,,,,,,,,,,,,
1985,No migration background,4th Quintile,,,,,,,,,,,,
1985,No migration background,5th Quintile,,,,,,,,,,,,
1985,Direct migration background,1st Quintile,,,,,,,,,,,,
1985,Direct migration background,2nd Quintile,,,,,,,,,,,,
1985,Direct migration background,3rd Quintile,,,,,,,,,,,,
1985,Direct migration background,4th Quintile,,,,,,,,,,,,
1985,Direct migration background,5th Quintile,,,,,,,,,,,,
1985,Indirect migration background,1st Quintile,,,,,,,,,,,,
1985,Indirect migration background,2nd Quintile,,,,,,,,,,,,
1985,Indirect migration background,3rd Quintile,,,,,,,,,,,,
1985,Indirect migration background,4th Quintile,,,,,,,,,,,,
1985,Indirect migration background,5th Quintile,,,,,,,,,,,,
1986,No migration background,1st Quintile,373,4.92217,3.56383,6.28050,0.00000,0.00000,1.00000,0.0,2.50000,0.0,0.00000,0.00000
1986,No migration background,2nd Quintile,639,5.57923,4.61052,6.54794,0.00000,0.00000,6.00000,0.0,15.00000,0.0,0.00000,0.00000
1986,No migration background,3rd Quintile,859,5.74861,4.92723,6.56998,0.00000,0.00000,6.00000,0.0,15.00000,0.0,0.00000,0.00000
1986,No migration background,4th Quintile,1084,7.07507,6.25775,7.89239,0.00000,0.00000,10.00000,0.0,25.00000,0.0,0.00000,0.00000
1986,No migration background,5th Quintile,1275,7.21573,6.38975,8.04170,0.00000,0.00000,10.00000,0.0,25.00000,0.0,0.00000,0.00000
1986,Direct migration background,1st Quintile,375,4.63516,3.36852,5.90180,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1986,Direct migration background,2nd Quintile,404,5.70117,4.39963,7.00270,0.00000,0.00000,5.00000,0.0,12.50000,0.0,0.00000,0.00000
1986,Direct migration background,3rd Quintile,421,4.20677,3.23951,5.17403,0.00000,0.00000,1.00000,0.0,2.50000,0.0,0.00000,0.00000
1986,Direct migration background,4th Quintile,404,4.60138,3.65586,5.54689,0.00000,0.00000,5.00000,0.0,12.50000,0.0,0.00000,0.00000
1986,Direct migration background,5th Quintile,231,5.77692,4.19074,7.36311,0.00000,0.00000,5.00000,0.0,12.50000,0.0,0.00000,0.00000
1986,Indirect migration background,1st Quintile,,,,,,,,,,,,
1986,Indirect migration background,2nd Quintile,,,,,,,,,,,,
1986,Indirect migration background,3rd Quintile,,,,,,,,,,,,
1986,Indirect migration background,4th Quintile,,,,,,,,,,,,
1986,Indirect migration background,5th Quintile,,,,,,,,,,,,
1987,No migration background,1st Quintile,,,,,,,,,,,,
1987,No migration background,2nd Quintile,,,,,,,,,,,,
1987,No migration background,3rd Quintile,,,,,,,,,,,,
1987,No migration background,4th Quintile,,,,,,,,,,,,
1987,No migration background,5th Quintile,,,,,,,,,,,,
1987,Direct migration background,1st Quintile,,,,,,,,,,,,
1987,Direct migration background,2nd Quintile,,,,,,,,,,,,
1987,Direct migration background,3rd Quintile,,,,,,,,,,,,
1987,Direct migration background,4th Quintile,,,,,,,,,,,,
1987,Direct migration background,5th Quintile,,,,,,,,,,,,
1987,Indirect migration background,1st Quintile,,,,,,,,,,,,
1987,Indirect migration background,2nd Quintile,,,,,,,,,,,,
1987,Indirect migration background,3rd Quintile,,,,,,,,,,,,
1987,Indirect migration background,4th Quintile,,,,,,,,,,,,
1987,Indirect migration background,5th Quintile,,,,,,,,,,,,
1988,No migration background,1st Quintile,365,5.57986,4.18546,6.97425,0.00000,0.00000,5.00000,0.0,12.50000,0.0,0.00000,0.00000
1988,No migration background,2nd Quintile,606,5.83907,4.79005,6.88809,0.00000,0.00000,5.35360,0.0,13.38401,0.0,0.00000,0.00000
1988,No migration background,3rd Quintile,837,5.04312,4.30133,5.78491,0.00000,0.00000,6.00000,0.0,15.00000,0.0,0.00000,0.00000
1988,No migration background,4th Quintile,990,7.27727,6.37595,8.17859,0.00000,0.00000,10.00000,0.0,25.00000,0.0,0.00000,0.00000
1988,No migration background,5th Quintile,1231,7.87592,7.01769,8.73415,0.00000,0.00000,10.00000,0.0,25.00000,0.0,0.00000,0.00000
1988,Direct migration background,1st Quintile,343,4.35904,3.15508,5.56300,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1988,Direct migration background,2nd Quintile,400,5.24220,4.17106,6.31334,0.00000,0.00000,6.84711,0.0,17.11777,0.0,0.00000,0.00000
1988,Direct migration background,3rd Quintile,376,4.45862,3.46078,5.45646,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1988,Direct migration background,4th Quintile,376,4.60700,3.59403,5.61997,0.00000,0.00000,6.00000,0.0,15.00000,0.0,0.00000,0.00000
1988,Direct migration background,5th Quintile,202,8.51913,6.47366,10.56459,0.00000,0.00000,10.77778,0.0,26.94445,0.0,0.00000,0.00000
1988,Indirect migration background,1st Quintile,,,,,,,,,,,,
1988,Indirect migration background,2nd Quintile,35,3.81896,1.11383,6.52410,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1988,Indirect migration background,3rd Quintile,,,,,,,,,,,,
1988,Indirect migration background,4th Quintile,,,,,,,,,,,,
1988,Indirect migration background,5th Quintile,,,,,,,,,,,,
1989,No migration background,1st Quintile,364,5.39844,4.00278,6.79409,0.00000,0.00000,4.40109,0.0,11.00273,0.0,0.00000,0.00000
1989,No migration background,2nd Quintile,594,6.08429,4.99282,7.17577,0.00000,0.00000,6.00000,0.0,15.00000,0.0,0.00000,0.00000
1989,No migration background,3rd Quintile,815,7.21989,6.19659,8.24319,0.00000,0.00000,9.00000,0.0,22.50000,0.0,0.00000,0.00000
1989,No migration background,4th Quintile,1011,7.00480,6.16031,7.84928,0.00000,0.00000,10.00000,0.0,25.00000,0.0,0.00000,0.00000
1989,No migration background,5th Quintile,1187,8.78335,7.84500,9.72171,0.00000,0.00000,10.00000,0.0,25.00000,0.0,0.00000,0.00000
1989,Direct migration background,1st Quintile,355,3.48561,2.58196,4.38926,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1989,Direct migration background,2nd Quintile,422,5.44290,4.29056,6.59524,0.00000,0.00000,7.26535,0.0,18.16338,0.0,0.00000,0.00000
1989,Direct migration background,3rd Quintile,347,6.10444,4.81829,7.39058,0.00000,0.00000,8.00000,0.0,20.00000,0.0,0.00000,0.00000
1989,Direct migration background,4th Quintile,358,5.26843,4.19331,6.34355,0.00000,0.00000,8.00000,0.0,20.00000,0.0,0.00000,0.00000
1989,Direct migration background,5th Quintile,167,7.68541,5.60280,9.76802,0.00000,0.00000,14.40311,0.0,36.00778,0.0,0.00000,0.00000
1989,Indirect migration background,1st Quintile,,,,,,,,,,,,
1989,Indirect migration background,2nd Quintile,35,6.05422,0.54396,11.56448,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1989,Indirect migration background,3rd Quintile,,,,,,,,,,,,
1989,Indirect migration background,4th Quintile,30,12.89714,6.46948,19.32479,0.00000,0.00000,27.36059,0.0,43.0,0.0,0.00000,40.00000
1989,Indirect migration background,5th Quintile,,,,,,,,,,,,
1990,No migration background,1st Quintile,344,5.10625,3.86428,6.34822,0.00000,0.00000,5.00000,0.0,12.50000,0.0,0.00000,0.00000
1990,No migration background,2nd Quintile,610,6.69669,5.62308,7.77031,0.00000,0.00000,8.00000,0.0,20.00000,0.0,0.00000,0.00000
1990,No migration background,3rd Quintile,751,6.81538,5.79854,7.83223,0.00000,0.00000,8.00000,0.0,20.00000,0.0,0.00000,0.00000
1990,No migration background,4th Quintile,1018,7.11053,6.27769,7.94337,0.00000,0.00000,10.00000,0.0,25.00000,0.0,0.00000,0.00000
1990,No migration background,5th Quintile,1151,8.54299,7.68032,9.40566,0.00000,0.00000,11.00000,0.0,27.50000,0.0,0.00000,0.00000
1990,Direct migration background,1st Quintile,361,4.00394,2.97776,5.03011,0.00000,0.00000,0.10617,0.0,0.26542,0.0,0.00000,0.00000
1990,Direct migration background,2nd Quintile,376,8.38911,6.53820,10.24002,0.00000,0.00000,10.34214,0.0,25.85534,0.0,0.00000,0.00000
1990,Direct migration background,3rd Quintile,411,5.09870,3.96411,6.23329,0.00000,0.00000,6.00000,0.0,15.00000,0.0,0.00000,0.00000
1990,Direct migration background,4th Quintile,294,5.67245,4.34695,6.99796,0.00000,0.00000,8.00000,0.0,20.00000,0.0,0.00000,0.00000
1990,Direct migration background,5th Quintile,180,9.18116,6.73672,11.62560,0.00000,0.00000,12.00000,0.0,30.00000,0.0,0.00000,0.00000
1990,Indirect migration background,1st Quintile,36,2.43948,-0.86346,5.74243,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1990,Indirect migration background,2nd Quintile,35,1.39868,-0.76501,3.56236,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1990,Indirect migration background,3rd Quintile,33,5.43401,3.07522,7.79280,0.00000,3.50868,8.00000,0.0,20.00000,5.0,0.00000,8.00000
1990,Indirect migration background,4th Quintile,42,5.96456,3.98633,7.94278,0.00000,6.05183,10.51764,0.0,26.29410,8.0,0.00000,10.02500
1990,Indirect migration background,5th Quintile,,,,,,,,,,,,
1991,No migration background,1st Quintile,345,5.21994,3.86824,6.57163,0.00000,0.00000,6.00000,0.0,15.00000,0.0,0.00000,0.00000
1991,No migration background,2nd Quintile,618,7.04967,5.94489,8.15444,0.00000,0.00000,9.49528,0.0,23.73819,0.0,0.00000,0.00000
1991,No migration background,3rd Quintile,778,7.75552,6.71997,8.79107,0.00000,0.00000,10.00000,0.0,25.00000,0.0,0.00000,0.00000
