year,hhtyp,hlf0291,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,No,0.95964,1243,1243,0.94869,0.97058
1984,Couple without children,Yes,0.04673,52,1346,0.03545,0.05801
1984,Couple without children,No,0.94922,1294,1346,0.93748,0.96095
1984,Single parent,No,0.95701,313,313,0.93450,0.97951
1984,Couple with children,Yes,0.02134,56,2624,0.01581,0.02687
1984,Couple with children,No,0.97454,2568,2624,0.96852,0.98057
1984,Multi-generational household,No,0.80013,104,104,0.72290,0.87736
1984,Other Combinations,No,0.74882,107,107,0.66626,0.83138
1985,Single-person household,No,0.97281,1113,1113,0.96325,0.98237
1985,Couple without children,Yes,0.05396,51,1221,0.04128,0.06664
1985,Couple without children,No,0.94189,1170,1221,0.92876,0.95502
1985,Single parent,No,0.96175,284,284,0.93941,0.98410
1985,Couple with children,Yes,0.01969,48,2371,0.01410,0.02529
1985,Couple with children,No,0.97847,2323,2371,0.97263,0.98432
1985,Multi-generational household,No,0.75339,90,90,0.66383,0.84294
1985,Other Combinations,No,0.75576,98,98,0.67026,0.84126
1986,Single-person household,No,0.96759,1053,1053,0.95689,0.97830
1986,Couple without children,Yes,0.05185,47,1199,0.03929,0.06440
1986,Couple without children,No,0.94166,1152,1199,0.92839,0.95493
1986,Single parent,No,0.97053,274,274,0.95047,0.99059
1986,Couple with children,Yes,0.02232,50,2236,0.01620,0.02845
1986,Couple with children,No,0.97701,2186,2236,0.97080,0.98322
1986,Multi-generational household,No,0.79678,95,95,0.71543,0.87813
1986,Other Combinations,No,0.73955,95,95,0.65082,0.82827
1987,Single-person household,No,0.95410,1039,1039,0.94137,0.96683
1987,Couple without children,Yes,0.04581,41,1190,0.03393,0.05770
1987,Couple without children,No,0.95289,1149,1190,0.94085,0.96493
1987,Single parent,No,0.96767,271,271,0.94657,0.98877
1987,Couple with children,Yes,0.02115,45,2188,0.01512,0.02718
1987,Couple with children,No,0.97720,2143,2188,0.97094,0.98345
1987,Multi-generational household,No,0.83475,104,104,0.76302,0.90648
1987,Other Combinations,No,0.76436,92,92,0.67717,0.85156
1988,Single-person household,No,0.95890,1002,1002,0.94660,0.97120
1988,Couple without children,Yes,0.05539,51,1164,0.04224,0.06854
1988,Couple without children,No,0.94189,1113,1164,0.92844,0.95533
1988,Single parent,No,0.98322,270,270,0.96786,0.99857
1988,Couple with children,Yes,0.02236,44,2082,0.01600,0.02871
1988,Couple with children,No,0.97298,2038,2082,0.96601,0.97995
1988,Multi-generational household,No,0.86889,92,92,0.79955,0.93824
1988,Other Combinations,No,0.79851,82,82,0.71116,0.88587
1989,Single-person household,No,0.96704,1013,1013,0.95604,0.97804
1989,Couple without children,Yes,0.03521,34,1155,0.02457,0.04584
1989,Couple without children,No,0.96208,1121,1155,0.95106,0.97310
1989,Single parent,No,0.97743,252,252,0.95906,0.99581
1989,Couple with children,Yes,0.02237,41,1992,0.01587,0.02887
1989,Couple with children,No,0.97566,1951,1992,0.96889,0.98243
1989,Multi-generational household,No,0.88648,97,97,0.82302,0.94994
1989,Other Combinations,No,0.79696,73,73,0.70405,0.88988
1990,Single-person household,No,0.81491,972,972,0.79048,0.83934
1990,Couple without children,Yes,0.03442,38,1180,0.02402,0.04483
1990,Couple without children,No,0.77064,1142,1180,0.74664,0.79464
1990,Single parent,No,0.78124,253,253,0.73020,0.83229
1990,Couple with children,Yes,0.01763,40,1947,0.01178,0.02348
1990,Couple with children,No,0.76530,1907,1947,0.74647,0.78413
1990,Multi-generational household,No,0.59852,94,94,0.49889,0.69815
1990,Other Combinations,No,0.54655,69,69,0.42822,0.66487
1991,Single-person household,Yes,0.03895,44,1286,0.02837,0.04953
1991,Single-person household,No,0.95539,1242,1286,0.94411,0.96668
1991,Couple without children,Yes,0.05430,75,1644,0.04334,0.06525
1991,Couple without children,No,0.93872,1569,1644,0.92712,0.95032
1991,Single parent,No,0.96275,369,369,0.94340,0.98210
1991,Couple with children,Yes,0.02269,65,2990,0.01735,0.02803
1991,Couple with children,No,0.97526,2925,2990,0.96969,0.98082
1991,Multi-generational household,No,0.79610,128,128,0.72602,0.86617
1991,Other Combinations,No,0.77437,121,121,0.69958,0.84916
1992,Single-person household,Yes,0.04334,49,1291,0.03223,0.05446
1992,Single-person household,No,0.94499,1242,1291,0.93255,0.95744
1992,Couple without children,Yes,0.05744,77,1684,0.04633,0.06856
1992,Couple without children,No,0.93587,1607,1684,0.92416,0.94757
1992,Single parent,No,0.94614,375,375,0.92326,0.96902
1992,Couple with children,Yes,0.02462,58,2890,0.01897,0.03027
1992,Couple with children,No,0.97129,2832,2890,0.96520,0.97738
1992,Multi-generational household,No,0.79964,123,123,0.72861,0.87067
1992,Other Combinations,Yes,0.28396,35,166,0.21516,0.35276
1992,Other Combinations,No,0.70858,131,166,0.63925,0.77792
1993,Single-person household,Yes,0.04055,46,1352,0.03003,0.05107
1993,Single-person household,No,0.94882,1306,1352,0.93706,0.96057
1993,Couple without children,Yes,0.05060,67,1711,0.04021,0.06099
1993,Couple without children,No,0.94059,1644,1711,0.92939,0.95180
1993,Single parent,No,0.93108,355,355,0.90469,0.95747
1993,Couple with children,Yes,0.02878,60,2776,0.02256,0.03500
1993,Couple with children,No,0.96258,2716,2776,0.95552,0.96964
1993,Multi-generational household,No,0.73475,115,115,0.65371,0.81579
1993,Other Combinations,No,0.77218,137,137,0.70169,0.84268
1994,Single-person household,Yes,0.04886,57,1357,0.03739,0.06034
