year,hhtyp,sampreg,hlf0291,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,West,No,0.95964,1243,1243,0.94869,0.97058
1984,Couple without children,West,Yes,0.04673,52,1346,0.03545,0.05801
1984,Couple without children,West,No,0.94922,1294,1346,0.93748,0.96095
1984,Single parent,West,No,0.95701,313,313,0.93450,0.97951
1984,Couple with children,West,Yes,0.02134,56,2624,0.01581,0.02687
1984,Couple with children,West,No,0.97454,2568,2624,0.96852,0.98057
1984,Multi-generational household,West,No,0.80013,104,104,0.72290,0.87736
1984,Other Combinations,West,No,0.74882,107,107,0.66626,0.83138
1985,Single-person household,West,No,0.97281,1113,1113,0.96325,0.98237
1985,Couple without children,West,Yes,0.05396,51,1221,0.04128,0.06664
1985,Couple without children,West,No,0.94189,1170,1221,0.92876,0.95502
1985,Single parent,West,No,0.96175,284,284,0.93941,0.98410
1985,Couple with children,West,Yes,0.01969,48,2371,0.01410,0.02529
1985,Couple with children,West,No,0.97847,2323,2371,0.97263,0.98432
1985,Multi-generational household,West,No,0.75339,90,90,0.66383,0.84294
1985,Other Combinations,West,No,0.75576,98,98,0.67026,0.84126
1986,Single-person household,West,No,0.96759,1053,1053,0.95689,0.97830
1986,Couple without children,West,Yes,0.05185,47,1199,0.03929,0.06440
1986,Couple without children,West,No,0.94166,1152,1199,0.92839,0.95493
1986,Single parent,West,No,0.97053,274,274,0.95047,0.99059
1986,Couple with children,West,Yes,0.02232,50,2236,0.01620,0.02845
1986,Couple with children,West,No,0.97701,2186,2236,0.97080,0.98322
1986,Multi-generational household,West,No,0.79678,95,95,0.71543,0.87813
1986,Other Combinations,West,No,0.73955,95,95,0.65082,0.82827
1987,Single-person household,West,No,0.95410,1039,1039,0.94137,0.96683
1987,Couple without children,West,Yes,0.04581,41,1190,0.03393,0.05770
1987,Couple without children,West,No,0.95289,1149,1190,0.94085,0.96493
1987,Single parent,West,No,0.96767,271,271,0.94657,0.98877
1987,Couple with children,West,Yes,0.02115,45,2188,0.01512,0.02718
1987,Couple with children,West,No,0.97720,2143,2188,0.97094,0.98345
1987,Multi-generational household,West,No,0.83475,104,104,0.76302,0.90648
1987,Other Combinations,West,No,0.76436,92,92,0.67717,0.85156
1988,Single-person household,West,No,0.95890,1002,1002,0.94660,0.97120
1988,Couple without children,West,Yes,0.05539,51,1164,0.04224,0.06854
1988,Couple without children,West,No,0.94189,1113,1164,0.92844,0.95533
1988,Single parent,West,No,0.98322,270,270,0.96786,0.99857
1988,Couple with children,West,Yes,0.02236,44,2082,0.01600,0.02871
1988,Couple with children,West,No,0.97298,2038,2082,0.96601,0.97995
1988,Multi-generational household,West,No,0.86889,92,92,0.79955,0.93824
1988,Other Combinations,West,No,0.79851,82,82,0.71116,0.88587
1989,Single-person household,West,No,0.96704,1013,1013,0.95604,0.97804
1989,Couple without children,West,Yes,0.03521,34,1155,0.02457,0.04584
1989,Couple without children,West,No,0.96208,1121,1155,0.95106,0.97310
1989,Single parent,West,No,0.97743,252,252,0.95906,0.99581
1989,Couple with children,West,Yes,0.02237,41,1992,0.01587,0.02887
1989,Couple with children,West,No,0.97566,1951,1992,0.96889,0.98243
1989,Multi-generational household,West,No,0.88648,97,97,0.82302,0.94994
1989,Other Combinations,West,No,0.79696,73,73,0.70405,0.88988
1990,Single-person household,West,No,0.96707,972,972,0.95585,0.97830
1990,Couple without children,West,Yes,0.04254,38,1180,0.03102,0.05407
1990,Couple without children,West,No,0.95248,1142,1180,0.94033,0.96462
1990,Single parent,West,No,0.98200,253,253,0.96559,0.99842
1990,Couple with children,West,Yes,0.02250,40,1947,0.01591,0.02909
1990,Couple with children,West,No,0.97667,1907,1947,0.96996,0.98338
1990,Multi-generational household,West,No,0.80841,94,94,0.72842,0.88840
1990,Other Combinations,West,No,0.77113,69,69,0.67127,0.87098
1991,Single-person household,West,No,0.95883,973,973,0.94634,0.97132
1991,Single-person household,East,No,0.93632,269,269,0.90708,0.96555
1991,Couple without children,West,Yes,0.05281,51,1198,0.04014,0.06548
1991,Couple without children,West,No,0.93859,1147,1198,0.92499,0.95219
1991,Couple without children,East,No,0.93927,422,422,0.91646,0.96209
1991,Single parent,West,No,0.96607,262,262,0.94411,0.98804
1991,Single parent,East,No,0.94843,107,107,0.90632,0.99053
1991,Couple with children,West,Yes,0.02306,46,1949,0.01640,0.02973
1991,Couple with children,West,No,0.97460,1903,1949,0.96762,0.98159
1991,Couple with children,East,No,0.97757,1022,1022,0.96848,0.98665
1991,Multi-generational household,West,No,0.79047,93,93,0.70730,0.87363
1991,Multi-generational household,East,No,0.81461,35,35,0.68398,0.94523
1991,Other Combinations,West,No,0.81171,79,79,0.72495,0.89847
1991,Other Combinations,East,No,0.69053,42,42,0.54903,0.83204
1992,Single-person household,West,Yes,0.04270,34,995,0.03013,0.05527
1992,Single-person household,West,No,0.94352,961,995,0.92917,0.95787
1992,Single-person household,East,No,0.95309,281,281,0.92833,0.97786
1992,Couple without children,West,Yes,0.05286,48,1221,0.04031,0.06542
1992,Couple without children,West,No,0.94034,1173,1221,0.92705,0.95363
1992,Couple without children,East,No,0.91684,434,434,0.89083,0.94285
1992,Single parent,West,No,0.94153,257,257,0.91279,0.97028
1992,Single parent,East,No,0.96375,118,118,0.92988,0.99762
1992,Couple with children,West,Yes,0.02544,42,1935,0.01843,0.03246
1992,Couple with children,West,No,0.97014,1893,1935,0.96256,0.97773
1992,Couple with children,East,No,0.97558,939,939,0.96571,0.98546
1992,Multi-generational household,West,No,0.77227,87,87,0.68364,0.86091
1992,Multi-generational household,East,No,0.90637,36,36,0.80986,1.00288
1992,Other Combinations,West,No,0.70257,81,81,0.60240,0.80275
1992,Other Combinations,East,No,0.72205,50,50,0.59661,0.84749
