year,regtyp,hlf0291,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Yes,0.03724,133,4194,0.03151,0.04297
1985,Urban regions,No,0.95953,4061,4194,0.95356,0.96549
1985,Rural regions,Yes,0.04846,48,1065,0.03555,0.06136
1985,Rural regions,No,0.95007,1017,1065,0.93698,0.96316
1986,Urban regions,Yes,0.03640,125,4016,0.03061,0.04219
1986,Urban regions,No,0.95968,3891,4016,0.95360,0.96576
1986,Rural regions,Yes,0.05331,47,1011,0.03945,0.06716
1986,Rural regions,No,0.94418,964,1011,0.93003,0.95834
1987,Urban regions,Yes,0.03718,120,3961,0.03129,0.04307
1987,Urban regions,No,0.95908,3841,3961,0.95291,0.96525
1987,Rural regions,Yes,0.05070,41,998,0.03708,0.06432
1987,Rural regions,No,0.94404,957,998,0.92978,0.95831
1988,Urban regions,Yes,0.03450,111,3803,0.02869,0.04030
1988,Urban regions,No,0.95797,3692,3803,0.95159,0.96435
1988,Rural regions,Yes,0.04712,38,943,0.03359,0.06066
1988,Rural regions,No,0.94969,905,943,0.93573,0.96365
1989,Urban regions,Yes,0.02989,97,3731,0.02442,0.03535
1989,Urban regions,No,0.96639,3634,3731,0.96061,0.97217
1989,Rural regions,Yes,0.04014,32,905,0.02735,0.05294
1989,Rural regions,No,0.95873,873,905,0.94576,0.97169
1990,Urban regions,Yes,0.02872,104,3657,0.02331,0.03414
1990,Urban regions,No,0.86706,3553,3657,0.85605,0.87807
1990,Rural regions,Yes,0.02503,37,921,0.01494,0.03512
1990,Rural regions,No,0.57148,884,921,0.53950,0.60346
1991,Urban regions,Yes,0.03618,140,4350,0.03063,0.04173
1991,Urban regions,No,0.95936,4210,4350,0.95349,0.96523
1991,Rural regions,Yes,0.05964,108,2211,0.04977,0.06952
1991,Rural regions,No,0.93622,2103,2211,0.92603,0.94641
1992,Urban regions,Yes,0.04348,151,4362,0.03743,0.04954
1992,Urban regions,No,0.94816,4211,4362,0.94158,0.95474
1992,Rural regions,Yes,0.06175,105,2146,0.05157,0.07194
1992,Rural regions,No,0.93203,2041,2146,0.92138,0.94268
1993,Urban regions,Yes,0.04001,140,4357,0.03419,0.04583
1993,Urban regions,No,0.95329,4217,4357,0.94702,0.95956
1993,Rural regions,Yes,0.06604,111,2167,0.05558,0.07650
1993,Rural regions,No,0.91842,2056,2167,0.90689,0.92995
1994,Urban regions,Yes,0.04046,149,4315,0.03458,0.04634
1994,Urban regions,No,0.95444,4166,4315,0.94822,0.96066
1994,Rural regions,Yes,0.06213,105,2159,0.05194,0.07231
1994,Rural regions,No,0.93016,2054,2159,0.91941,0.94091
1995,Urban regions,Yes,0.04696,163,4441,0.04074,0.05318
1995,Urban regions,No,0.94668,4278,4441,0.94007,0.95329
1995,Rural regions,Yes,0.05483,101,2221,0.04536,0.06430
1995,Rural regions,No,0.94007,2120,2221,0.93020,0.94995
1996,Urban regions,Yes,0.04173,157,4389,0.03582,0.04765
1996,Urban regions,No,0.95299,4232,4389,0.94673,0.95926
1996,Rural regions,Yes,0.04759,90,2212,0.03872,0.05647
1996,Rural regions,No,0.94520,2122,2212,0.93571,0.95468
1997,Urban regions,Yes,0.03789,143,4333,0.03220,0.04357
1997,Urban regions,No,0.95986,4190,4333,0.95402,0.96571
1997,Rural regions,Yes,0.05454,94,2196,0.04504,0.06404
1997,Rural regions,No,0.94181,2102,2196,0.93201,0.95160
1998,Urban regions,Yes,0.03799,168,4920,0.03265,0.04334
1998,Urban regions,No,0.96121,4752,4920,0.95581,0.96660
1998,Rural regions,Yes,0.04906,97,2493,0.04058,0.05754
1998,Rural regions,No,0.94950,2396,2493,0.94090,0.95810
