year,bula_h,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,North Rhine-Westphalia,Yes,0.03658,100,2353,0.02900,0.04417
2011,North Rhine-Westphalia,No,0.88692,2253,2353,0.87412,0.89972
2011,Hesse,No,0.89078,805,805,0.86922,0.91234
2011,"Rhineland-Palatinate, Saarland",No,0.89937,683,683,0.87679,0.92195
2011,Baden-Wuerttemberg,Yes,0.02990,49,1401,0.02098,0.03882
2011,Baden-Wuerttemberg,No,0.88912,1352,1401,0.87268,0.90557
2011,Bavaria,Yes,0.02314,56,1839,0.01626,0.03001
2011,Bavaria,No,0.89904,1783,1839,0.88526,0.91281
2011,Berlin,No,0.89752,496,496,0.87080,0.92424
2011,Brandenburg,No,0.88470,494,494,0.85651,0.91289
2011,Mecklenburg-Western Pomerania,No,0.87973,297,297,0.84267,0.91679
2011,Saxony,Yes,0.04973,46,808,0.03473,0.06472
2011,Saxony,No,0.88616,762,808,0.86425,0.90807
2011,Saxony-Anhalt,Yes,0.06613,33,509,0.04452,0.08774
2011,Saxony-Anhalt,No,0.86266,476,509,0.83272,0.89259
2011,Thuringa,No,0.88319,490,490,0.85472,0.91166
2016,Schleswig-Holstein,No,0.97553,488,488,0.96181,0.98925
2016,Hamburg,No,0.96681,256,256,0.94483,0.98880
2016,Lower Saxony,Yes,0.03163,46,1348,0.02228,0.04097
2016,Lower Saxony,No,0.96210,1302,1348,0.95190,0.97230
2016,Bremen,No,0.96054,102,102,0.92257,0.99851
2016,North Rhine-Westphalia,Yes,0.02878,85,2907,0.02270,0.03486
2016,North Rhine-Westphalia,No,0.96499,2822,2907,0.95831,0.97167
2016,Hesse,No,0.96701,952,952,0.95566,0.97836
2016,"Rhineland-Palatinate, Saarland",Yes,0.03751,39,848,0.02471,0.05030
2016,"Rhineland-Palatinate, Saarland",No,0.95466,809,848,0.94065,0.96867
2016,Baden-Wuerttemberg,Yes,0.01505,33,1627,0.00913,0.02096
2016,Baden-Wuerttemberg,No,0.98051,1594,1627,0.97379,0.98723
2016,Bavaria,Yes,0.01326,45,2300,0.00858,0.01794
2016,Bavaria,No,0.98355,2255,2300,0.97835,0.98875
2016,Berlin,No,0.97766,600,600,0.96583,0.98950
2016,Brandenburg,No,0.96372,539,539,0.94792,0.97952
2016,Mecklenburg-Western Pomerania,No,0.94632,313,313,0.92131,0.97133
2016,Saxony,Yes,0.04326,36,865,0.02969,0.05682
2016,Saxony,No,0.95222,829,865,0.93800,0.96644
2016,Saxony-Anhalt,No,0.93775,486,486,0.91625,0.95926
2016,Thuringa,Yes,0.05727,35,544,0.03772,0.07681
2016,Thuringa,No,0.93534,509,544,0.91466,0.95603
2021,Schleswig-Holstein,No,0.96149,412,412,0.94289,0.98010
2021,Hamburg,No,0.96968,265,265,0.94900,0.99036
2021,Lower Saxony,No,0.96621,1035,1035,0.95520,0.97722
2021,Bremen,No,0.98587,79,79,0.95968,1.01206
2021,North Rhine-Westphalia,Yes,0.01866,54,2283,0.01311,0.02422
2021,North Rhine-Westphalia,No,0.96870,2229,2283,0.96155,0.97584
2021,Hesse,No,0.96915,685,685,0.95619,0.98211
2021,"Rhineland-Palatinate, Saarland",No,0.95996,522,522,0.94313,0.97680
2021,Baden-Wuerttemberg,No,0.97396,1192,1192,0.96492,0.98301
2021,Bavaria,Yes,0.01603,34,1747,0.01014,0.02193
2021,Bavaria,No,0.97714,1713,1747,0.97012,0.98415
2021,Berlin,No,0.95997,543,543,0.94346,0.97647
2021,Brandenburg,No,0.97166,431,431,0.95597,0.98734
2021,Mecklenburg-Western Pomerania,No,0.96025,248,248,0.93589,0.98462
2021,Saxony,No,0.97109,717,717,0.95882,0.98336
2021,Saxony-Anhalt,No,0.95281,357,357,0.93078,0.97484
2021,Thuringa,No,0.94624,367,367,0.92313,0.96935
