year,regtyp,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Urban regions,Yes,0.08542,435,4408,0.07717,0.09367
1996,Urban regions,No,0.91458,3973,4408,0.90633,0.92283
1996,Rural regions,Yes,0.10351,265,2223,0.09085,0.11618
1996,Rural regions,No,0.89649,1958,2223,0.88382,0.90915
2001,Urban regions,Yes,0.06451,541,7783,0.05905,0.06996
2001,Urban regions,No,0.93549,7242,7783,0.93004,0.94095
2001,Rural regions,Yes,0.08064,360,3897,0.07209,0.08919
2001,Rural regions,No,0.91936,3537,3897,0.91081,0.92791
2006,Urban regions,Yes,0.04499,391,8168,0.04050,0.04949
2006,Urban regions,No,0.95501,7777,8168,0.95051,0.95950
2006,Rural regions,Yes,0.06498,281,4097,0.05743,0.07253
2006,Rural regions,No,0.93502,3816,4097,0.92747,0.94257
2011,Urban regions,Yes,0.03200,289,7873,0.02811,0.03589
2011,Urban regions,No,0.89273,7584,7873,0.88590,0.89957
2011,Rural regions,Yes,0.04116,200,4211,0.03516,0.04716
2011,Rural regions,No,0.87947,4011,4211,0.86964,0.88931
2016,Urban regions,Yes,0.02522,262,9377,0.02204,0.02839
2016,Urban regions,No,0.96930,9115,9377,0.96581,0.97279
2016,Rural regions,Yes,0.03184,184,4925,0.02694,0.03675
2016,Rural regions,No,0.96324,4741,4925,0.95799,0.96850
2021,Urban regions,Yes,0.01598,135,7409,0.01312,0.01883
2021,Urban regions,No,0.97127,7274,7409,0.96746,0.97507
2021,Rural regions,Yes,0.02937,125,3646,0.02389,0.03485
2021,Rural regions,No,0.96253,3521,3646,0.95636,0.96870
