year,migback,ple0012,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,Yes,0.0754471734105486,1171,18011,0.07537840532685676,0.07551594149424044
2009,No migration background,No,0.9245528265894514,14482,18011,0.9244840585057595,0.9246215946731432
2009,Direct migration background,Yes,0.06881612893974332,120,18011,0.06864424209571951,0.06898801578376712
2009,Direct migration background,No,0.9311838710602567,1539,18011,0.9310119842162329,0.9313557579042805
2009,Indirect migration background,No,1.0,699,18011,1.0,1.0
2011,No migration background,Yes,0.08421863504086974,1484,20733,0.0841424379409676,0.08429483214077188
2011,No migration background,No,0.9157813649591302,16456,20733,0.9157051678592281,0.9158575620590323
2011,Direct migration background,Yes,0.08700404575878934,160,20733,0.08680185220124756,0.08720623931633112
2011,Direct migration background,No,0.9129959542412107,1855,20733,0.9127937606836689,0.9131981477987525
2011,Indirect migration background,No,1.0,778,20733,1.0,1.0
2013,No migration background,Yes,0.09119135980789793,1517,18849,0.09111169580696682,0.09127102380882904
2013,No migration background,No,0.9088086401921021,14919,18849,0.908728976191171,0.9088883041930331
2013,Direct migration background,Yes,0.10654400201124875,153,18849,0.10627236463874044,0.10681563938375706
2013,Direct migration background,No,0.8934559979887514,1577,18849,0.8931843606162431,0.8937276353612598
2013,Indirect migration background,No,1.0,683,18849,1.0,1.0
2015,No migration background,Yes,0.08880062853028081,1527,25040,0.08872503951423893,0.08887621754632269
2015,No migration background,No,0.9111993714697191,17536,25040,0.9111237824536772,0.911274960485761
2015,Direct migration background,Yes,0.07273765654180611,260,25040,0.07256608271488706,0.07290923036872517
2015,Direct migration background,No,0.9272623434581939,4155,25040,0.9270907696312749,0.9274339172851129
2015,Indirect migration background,Yes,0.02565791382909244,42,25040,0.02548668616871756,0.025829141489467324
2015,Indirect migration background,No,0.9743420861709076,1520,25040,0.9741708585105326,0.9745133138312825
2017,No migration background,Yes,0.0894795461533982,1600,26549,0.08940355531837646,0.08955553698841995
2017,No migration background,No,0.9105204538466019,18558,26549,0.9104444630115801,0.9105964446816236
2017,Direct migration background,Yes,0.07935360069796997,296,26549,0.07918761343421048,0.07951958796172946
2017,Direct migration background,No,0.9206463993020301,4458,26549,0.9204804120382706,0.9208123865657896
2017,Indirect migration background,Yes,0.02152389598856325,44,26549,0.021377685256343766,0.021670106720782734
2017,Indirect migration background,No,0.9784761040114368,1593,26549,0.9783298932792174,0.9786223147436562
2019,No migration background,Yes,0.08765303777828852,1599,25725,0.08757732861042546,0.08772874694615158
2019,No migration background,No,0.9123469622217114,18584,25725,0.9122712530538484,0.9124226713895744
2019,Direct migration background,Yes,0.09154684656959518,275,25725,0.09137154250427892,0.09172215063491143
2019,Direct migration background,No,0.9084531534304048,3688,25725,0.9082778493650885,0.9086284574957211
2019,Indirect migration background,Yes,0.03676799161056234,59,25725,0.03658458667977573,0.03695139654134894
2019,Indirect migration background,No,0.9632320083894377,1520,25725,0.9630486034586511,0.9634154133202243
2021,No migration background,Yes,0.0849788126233197,1105,19163,0.08490467223891923,0.08505295300772017
2021,No migration background,No,0.9150211873766804,12003,19163,0.9149470469922799,0.9150953277610808
2021,Direct migration background,Yes,0.07696001297089526,320,19163,0.07679905679000465,0.07712096915178587
2021,Direct migration background,No,0.9230399870291046,4800,19163,0.922879030848214,0.9232009432099952
2021,Indirect migration background,Yes,0.05981995523689297,43,19163,0.05957959185281507,0.06006031862097087
2021,Indirect migration background,No,0.940180044763107,892,19163,0.9399396813790291,0.940420408147185
