"ple0012","year","age_gr","sex","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Ja","2009","17-34","maennlich","9","","",""
"Ja","2009","17-34","weiblich","14","","",""
"Ja","2009","35-65","maennlich","305","0.0636671312218915","0.0566964993713508","0.0706377630724322"
"Ja","2009","35-65","weiblich","218","0.0424281079065335","0.0369343015275485","0.0479219142855184"
"Ja","2009","66 +","maennlich","391","0.192057242983029","0.174706377733712","0.209408108232346"
"Ja","2009","66 +","weiblich","361","0.168342087276945","0.152646052980828","0.184038121573061"
"Nein","2009","17-34","maennlich","1896","0.993710696251663","0.990160667517609","0.997260724985718"
"Nein","2009","17-34","weiblich","2052","0.993124238023879","0.989560997489937","0.996687478557821"
"Nein","2009","35-65","maennlich","4408","0.936332868778108","0.929362236927568","0.943303500628649"
"Nein","2009","35-65","weiblich","4953","0.957571892093467","0.952078085714482","0.963065698472451"
"Nein","2009","66 +","maennlich","1589","0.807942757016971","0.790591891767654","0.825293622266288"
"Nein","2009","66 +","weiblich","1822","0.831657912723055","0.815961878426939","0.847353947019172"
"Ja","2010","17-34","maennlich","","","",""
"Ja","2010","17-34","weiblich","","","",""
"Ja","2010","35-65","maennlich","","","",""
"Ja","2010","35-65","weiblich","","","",""
"Ja","2010","66 +","maennlich","","","",""
"Ja","2010","66 +","weiblich","","","",""
"Nein","2010","17-34","maennlich","","","",""
"Nein","2010","17-34","weiblich","","","",""
"Nein","2010","35-65","maennlich","","","",""
"Nein","2010","35-65","weiblich","","","",""
"Nein","2010","66 +","maennlich","","","",""
"Nein","2010","66 +","weiblich","","","",""
"Ja","2011","17-34","maennlich","17","","",""
"Ja","2011","17-34","weiblich","19","","",""
"Ja","2011","35-65","maennlich","408","0.0755420277123618","0.0684335004491393","0.0826505549755844"
"Ja","2011","35-65","weiblich","288","0.0527904757150328","0.0471520411272144","0.0584289103028511"
"Ja","2011","66 +","maennlich","483","0.193447577548966","0.177832106139214","0.209063048958718"
"Ja","2011","66 +","weiblich","441","0.167863436715815","0.153668356030659","0.182058517400971"
"Nein","2011","17-34","maennlich","2005","0.989658271303135","0.985248696493275","0.994067846112995"
"Nein","2011","17-34","weiblich","2232","0.992290865696059","0.98867774352913","0.995903987862988"
"Nein","2011","35-65","maennlich","4901","0.924457972287638","0.917349445024416","0.931566499550861"
"Nein","2011","35-65","weiblich","5754","0.947209524284967","0.941571089697149","0.952847958872786"
"Nein","2011","66 +","maennlich","1975","0.806552422451034","0.790936951041282","0.822167893860786"
"Nein","2011","66 +","weiblich","2222","0.832136563284185","0.81794148259903","0.846331643969341"
"Ja","2012","17-34","maennlich","","","",""
"Ja","2012","17-34","weiblich","","","",""
"Ja","2012","35-65","maennlich","","","",""
"Ja","2012","35-65","weiblich","","","",""
"Ja","2012","66 +","maennlich","","","",""
"Ja","2012","66 +","weiblich","","","",""
"Nein","2012","17-34","maennlich","","","",""
"Nein","2012","17-34","weiblich","","","",""
"Nein","2012","35-65","maennlich","","","",""
"Nein","2012","35-65","weiblich","","","",""
"Nein","2012","66 +","maennlich","","","",""
"Nein","2012","66 +","weiblich","","","",""
"Ja","2013","17-34","maennlich","14","","",""
"Ja","2013","17-34","weiblich","10","","",""
"Ja","2013","35-65","maennlich","394","0.0807335962130626","0.0729592657686698","0.0885079266574553"
"Ja","2013","35-65","weiblich","311","0.0600617428249818","0.053800004855005","0.0663234807949586"
"Ja","2013","66 +","maennlich","527","0.215132601497886","0.198651653493402","0.231613549502369"
"Ja","2013","66 +","weiblich","431","0.167755049700589","0.153252599388584","0.182257500012595"
"Nein","2013","17-34","maennlich","1715","0.993372430406205","0.989547850014661","0.99719701079775"
"Nein","2013","17-34","weiblich","1941","0.997441145747566","0.995199402496024","0.999682888999108"
"Nein","2013","35-65","maennlich","4323","0.919266403786937","0.911492073342545","0.92704073423133"
"Nein","2013","35-65","weiblich","5220","0.939938257175018","0.933676519205041","0.946199995144995"
"Nein","2013","66 +","maennlich","1861","0.784867398502114","0.768386450497631","0.801348346506598"
"Nein","2013","66 +","weiblich","2119","0.832244950299411","0.817742499987405","0.846747400611417"
"Ja","2014","17-34","maennlich","","","",""
"Ja","2014","17-34","weiblich","","","",""
"Ja","2014","35-65","maennlich","","","",""
"Ja","2014","35-65","weiblich","","","",""
"Ja","2014","66 +","maennlich","","","",""
"Ja","2014","66 +","weiblich","","","",""
"Nein","2014","17-34","maennlich","","","",""
"Nein","2014","17-34","weiblich","","","",""
"Nein","2014","35-65","maennlich","","","",""
"Nein","2014","35-65","weiblich","","","",""
"Nein","2014","66 +","maennlich","","","",""
"Nein","2014","66 +","weiblich","","","",""
"Ja","2015","17-34","maennlich","22","","",""
"Ja","2015","17-34","weiblich","36","0.00774286716655221","0.00466180295701948","0.0108239313760849"
"Ja","2015","35-65","maennlich","448","0.0814571926851523","0.074782745031103","0.0881316403392016"
"Ja","2015","35-65","weiblich","385","0.0561852628504773","0.0511306046384374","0.0612399210625173"
"Ja","2015","66 +","maennlich","516","0.215858032492391","0.199343114494237","0.232372950490544"
"Ja","2015","66 +","weiblich","422","0.15858307985653","0.144264098249069","0.172902061463992"
"Nein","2015","17-34","maennlich","2600","0.994795742960427","0.992041653294935","0.99754983262592"
"Nein","2015","17-34","weiblich","3073","0.992257132833448","0.989176068623915","0.99533819704298"
"Nein","2015","35-65","maennlich","6004","0.918542807314848","0.911868359660799","0.925217254968897"
"Nein","2015","35-65","weiblich","7588","0.943814737149523","0.938760078937483","0.948869395361563"
"Nein","2015","66 +","maennlich","1868","0.784141967507609","0.767627049509456","0.800656885505763"
"Nein","2015","66 +","weiblich","2078","0.84141692014347","0.827097938536008","0.855735901750931"
"Ja","2016","17-34","maennlich","","","",""
"Ja","2016","17-34","weiblich","","","",""
"Ja","2016","35-65","maennlich","","","",""
"Ja","2016","35-65","weiblich","","","",""
"Ja","2016","66 +","maennlich","","","",""
"Ja","2016","66 +","weiblich","","","",""
"Nein","2016","17-34","maennlich","","","",""
"Nein","2016","17-34","weiblich","","","",""
"Nein","2016","35-65","maennlich","","","",""
"Nein","2016","35-65","weiblich","","","",""
"Nein","2016","66 +","maennlich","","","",""
"Nein","2016","66 +","weiblich","","","",""
"Ja","2017","17-34","maennlich","27","","",""
"Ja","2017","17-34","weiblich","34","0.00915962118374384","0.00589737486867428","0.0124218674988134"
"Ja","2017","35-65","maennlich","511","0.0863467127116915","0.0797213247482617","0.0929721006751214"
"Ja","2017","35-65","weiblich","428","0.0565480172505304","0.0516388813272869","0.0614571531737739"
"Ja","2017","66 +","maennlich","520","0.21486026687848","0.198603304843592","0.231117228913368"
"Ja","2017","66 +","weiblich","420","0.161315527512739","0.146920194616379","0.175710860409099"
"Nein","2017","17-34","maennlich","2878","0.993540191067045","0.990626942248285","0.996453439885804"
"Nein","2017","17-34","weiblich","3242","0.990840378816256","0.987578132501187","0.994102625131326"
"Nein","2017","35-65","maennlich","6393","0.913653287288309","0.907027899324879","0.920278675251738"
"Nein","2017","35-65","weiblich","8076","0.94345198274947","0.938542846826226","0.948361118672713"
"Nein","2017","66 +","maennlich","1932","0.78513973312152","0.768882771086632","0.801396695156408"
"Nein","2017","66 +","weiblich","2088","0.838684472487261","0.824289139590901","0.853079805383621"
"Ja","2018","17-34","maennlich","","","",""
"Ja","2018","17-34","weiblich","","","",""
"Ja","2018","35-65","maennlich","","","",""
"Ja","2018","35-65","weiblich","","","",""
"Ja","2018","66 +","maennlich","","","",""
"Ja","2018","66 +","weiblich","","","",""
"Nein","2018","17-34","maennlich","","","",""
"Nein","2018","17-34","weiblich","","","",""
"Nein","2018","35-65","maennlich","","","",""
"Nein","2018","35-65","weiblich","","","",""
"Nein","2018","66 +","maennlich","","","",""
"Nein","2018","66 +","weiblich","","","",""
"Ja","2019","17-34","maennlich","26","","",""
"Ja","2019","17-34","weiblich","37","0.013679072659227","0.00941387346439587","0.0179442718540581"
"Ja","2019","35-65","maennlich","491","0.0796885056172076","0.0733919831999247","0.0859850280344904"
"Ja","2019","35-65","weiblich","423","0.0632581442046077","0.0579428220014322","0.0685734664077831"
"Ja","2019","66 +","maennlich","563","0.213559995075091","0.197935994036116","0.229183996114067"
"Ja","2019","66 +","weiblich","409","0.160354049590636","0.146219885442462","0.17448821373881"
"Nein","2019","17-34","maennlich","2552","0.992765820909311","0.989494488540144","0.996037153278477"
"Nein","2019","17-34","weiblich","2812","0.986320927340773","0.982055728145942","0.990586126535604"
"Nein","2019","35-65","maennlich","6615","0.920311494382792","0.91401497196551","0.926608016800075"
"Nein","2019","35-65","weiblich","7634","0.936741855795392","0.931426533592217","0.942057177998568"
"Nein","2019","66 +","maennlich","2080","0.786440004924909","0.770816003885934","0.802064005963884"
"Nein","2019","66 +","weiblich","2180","0.839645950409364","0.82551178626119","0.853780114557538"
