year,sampreg,ple0012,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,West,Yes,0.06689,872,13477,0.06267,0.07111
2009,West,No,0.93311,12605,13477,0.92889,0.93733
2009,East,Yes,0.09236,426,4541,0.08394,0.10078
2009,East,No,0.90764,4115,4541,0.89922,0.91606
2011,West,Yes,0.07618,1129,15840,0.07205,0.08031
2011,West,No,0.92382,14711,15840,0.91969,0.92795
2011,East,Yes,0.10932,527,4905,0.10059,0.11806
2011,East,No,0.89068,4378,4905,0.88194,0.89941
2013,West,Yes,0.08341,1140,14414,0.07889,0.08792
2013,West,No,0.91659,13274,14414,0.91208,0.92111
2013,East,Yes,0.12099,547,4452,0.11141,0.13057
2013,East,No,0.87901,3905,4452,0.86943,0.88859
2015,West,Yes,0.07677,1277,19787,0.07306,0.08048
2015,West,No,0.92323,18510,19787,0.91952,0.92694
2015,East,Yes,0.11435,552,5253,0.10575,0.12296
2015,East,No,0.88565,4701,5253,0.87704,0.89425
2017,West,Yes,0.07880,1357,20959,0.07515,0.08245
2017,West,No,0.92120,19602,20959,0.91755,0.92485
2017,East,Yes,0.10978,583,5590,0.10158,0.11798
2017,East,No,0.89022,5007,5590,0.88202,0.89842
2019,Does not apply,No,0.97248,74,74,0.93495,1.01001
2019,West,Yes,0.08059,1383,20104,0.07683,0.08436
2019,West,No,0.91941,18721,20104,0.91564,0.92317
2019,East,Yes,0.10598,548,5546,0.09788,0.11409
2019,East,No,0.89402,4998,5546,0.88591,0.90212
2021,West,Yes,0.07887,1097,15316,0.07460,0.08314
2021,West,No,0.92113,14219,15316,0.91686,0.92540
2021,East,Yes,0.09937,371,3847,0.08991,0.10882
2021,East,No,0.90063,3476,3847,0.89118,0.91009
