"ple0012","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2009","(noch) kein Abschluss","kein Migrationshintergrund","3","","",""
"Ja","2009","(noch) kein Abschluss","direkter Migrationshintergrund","13","","",""
"Ja","2009","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Ja","2009","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2009","Hauptschule","kein Migrationshintergrund","666","0.120633412890676","0.111799594946967","0.129467230834386"
"Ja","2009","Hauptschule","direkter Migrationshintergrund","74","0.0971621445597021","0.0763502451209553","0.117974043998449"
"Ja","2009","Hauptschule","indirekter Migrationshintergrund","2","","",""
"Ja","2009","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2009","Realschule","kein Migrationshintergrund","225","","",""
"Ja","2009","Realschule","direkter Migrationshintergrund","5","0.0459724230259256","0.0115268764659091","0.0804179695859422"
"Ja","2009","Realschule","indirekter Migrationshintergrund","3","","",""
"Ja","2009","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2009","(Fach-)Abitur","kein Migrationshintergrund","46","0.0318656869069441","0.0232701035197988","0.0404612702940894"
"Ja","2009","(Fach-)Abitur","direkter Migrationshintergrund","15","","",""
"Ja","2009","(Fach-)Abitur","indirekter Migrationshintergrund","1","","",""
"Ja","2009","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2009","AkademikerIn","kein Migrationshintergrund","224","","",""
"Ja","2009","AkademikerIn","direkter Migrationshintergrund","13","","",""
"Ja","2009","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"Ja","2009","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2009","(noch) kein Abschluss","kein Migrationshintergrund","313","0.992432338607413","0.982877225126732","1.00198745208809"
"Nein","2009","(noch) kein Abschluss","direkter Migrationshintergrund","99","0.938091991644947","0.893461136293346","0.982722846996549"
"Nein","2009","(noch) kein Abschluss","indirekter Migrationshintergrund","56","1","1","1"
"Nein","2009","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2009","Hauptschule","kein Migrationshintergrund","4556","0.879366587109324","0.870532769165614","0.888200405053034"
