year,regtyp,ple0012,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,Yes,0.07020,792,11719,0.06558,0.07483
2009,Urban regions,No,0.92980,10927,11719,0.92517,0.93442
2009,Rural regions,Yes,0.07476,506,6299,0.06826,0.08126
2009,Rural regions,No,0.92524,5793,6299,0.91874,0.93174
2011,Urban regions,Yes,0.08064,1010,13392,0.07603,0.08525
2011,Urban regions,No,0.91936,12382,13392,0.91475,0.92397
2011,Rural regions,Yes,0.08565,646,7353,0.07925,0.09204
2011,Rural regions,No,0.91435,6707,7353,0.90796,0.92075
2013,Urban regions,Yes,0.08810,1010,12074,0.08304,0.09315
2013,Urban regions,No,0.91190,11064,12074,0.90685,0.91696
2013,Rural regions,Yes,0.09558,677,6792,0.08859,0.10257
2013,Rural regions,No,0.90442,6115,6792,0.89743,0.91141
2015,Urban regions,Yes,0.08201,1109,16200,0.07778,0.08623
2015,Urban regions,No,0.91799,15091,16200,0.91377,0.92222
2015,Rural regions,Yes,0.08658,720,8840,0.08072,0.09244
2015,Rural regions,No,0.91342,8120,8840,0.90756,0.91928
2017,Urban regions,Yes,0.08175,1166,17180,0.07765,0.08585
2017,Urban regions,No,0.91825,16014,17180,0.91415,0.92235
2017,Rural regions,Yes,0.08943,774,9369,0.08365,0.09520
2017,Rural regions,No,0.91057,8595,9369,0.90480,0.91635
2019,No answer / don't know,Yes,0.04989,33,554,0.03174,0.06804
2019,No answer / don't know,No,0.95011,521,554,0.93196,0.96826
2019,Urban regions,Yes,0.08090,1153,16391,0.07673,0.08508
2019,Urban regions,No,0.91910,15238,16391,0.91492,0.92327
2019,Rural regions,Yes,0.09550,747,8781,0.08935,0.10165
2019,Rural regions,No,0.90450,8034,8781,0.89835,0.91065
2021,Urban regions,Yes,0.07995,941,13012,0.07529,0.08461
2021,Urban regions,No,0.92005,12071,13012,0.91539,0.92471
2021,Rural regions,Yes,0.08756,527,6150,0.08049,0.09462
2021,Rural regions,No,0.91244,5623,6150,0.90538,0.91951
