,Unnamed: 0,year,bula_h,pgisced97,ple0012,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,Schleswig-Holstein,Lower Secondary Level,No,1.0,48,16737,0.81937,1.17682
1,1,2009,Schleswig-Holstein,Upper Secondary Level,No,1.0,260,16737,0.90006,1.0931
2,2,2009,Schleswig-Holstein,Post-secondary Non-tertiary Level,No,1.0,31,16737,0.76388,1.25284
3,3,2009,Schleswig-Holstein,First Stage of Tertiary Education,No,1.0,38,16737,0.73996,1.27161
4,4,2009,Schleswig-Holstein,Second Stage of Tertiary Education,No,1.0,80,16737,0.81043,1.257
5,5,2009,Hamburg,Upper Secondary Level,No,1.0,104,16737,0.85496,1.14484
6,6,2009,Hamburg,Second Stage of Tertiary Education,No,1.0,80,16737,0.75091,1.21865
7,7,2009,Lower Saxony,Lower Secondary Level,No,1.0,167,16737,0.87531,1.11931
8,8,2009,Lower Saxony,Upper Secondary Level,Yes,0.0803,77,16737,0.06631,0.09626
9,9,2009,Lower Saxony,Upper Secondary Level,No,0.9197,789,16737,0.87059,0.97217
10,10,2009,Lower Saxony,Post-secondary Non-tertiary Level,No,1.0,94,16737,0.81501,1.20294
11,11,2009,Lower Saxony,First Stage of Tertiary Education,No,1.0,103,16737,0.85352,1.1982
12,12,2009,Lower Saxony,Second Stage of Tertiary Education,No,1.0,287,16737,0.86913,1.13894
13,13,2009,Bremen,Upper Secondary Level,No,1.0,55,16737,0.77332,1.22997
14,14,2009,North Rhine-Westphalia,Pre-primary Level,No,1.0,75,16737,0.77582,1.19586
15,15,2009,North Rhine-Westphalia,Primary Level,No,1.0,46,16737,0.72754,1.1949
16,16,2009,North Rhine-Westphalia,Lower Secondary Level,Yes,0.10658,41,16737,0.08548,0.12978
17,17,2009,North Rhine-Westphalia,Lower Secondary Level,No,0.89342,370,16737,0.83122,0.97754
18,18,2009,North Rhine-Westphalia,Upper Secondary Level,Yes,0.08581,154,16737,0.07536,0.09704
19,19,2009,North Rhine-Westphalia,Upper Secondary Level,No,0.91419,1599,16737,0.87441,0.95181
20,20,2009,North Rhine-Westphalia,Post-secondary Non-tertiary Level,No,1.0,261,16737,0.88689,1.10088
21,21,2009,North Rhine-Westphalia,First Stage of Tertiary Education,No,1.0,234,16737,0.87327,1.15833
22,22,2009,North Rhine-Westphalia,Second Stage of Tertiary Education,Yes,0.04279,32,16737,0.03001,0.05659
23,23,2009,North Rhine-Westphalia,Second Stage of Tertiary Education,No,0.95721,709,16737,0.88182,1.02833
24,24,2009,Hesse,Lower Secondary Level,No,1.0,99,16737,0.86882,1.15348
25,25,2009,Hesse,Upper Secondary Level,Yes,0.08125,38,16737,0.05973,0.10049
26,26,2009,Hesse,Upper Secondary Level,No,0.91875,535,16737,0.84013,0.9888
27,27,2009,Hesse,Post-secondary Non-tertiary Level,No,1.0,86,16737,0.81277,1.20176
28,28,2009,Hesse,First Stage of Tertiary Education,No,1.0,64,16737,0.79005,1.20404
29,29,2009,Hesse,Second Stage of Tertiary Education,No,1.0,306,16737,0.90332,1.11678
30,30,2009,"Rhineland-Palatinate, Saarland",Lower Secondary Level,No,1.0,145,16737,0.87885,1.11364
31,31,2009,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Yes,0.07396,39,16737,0.06082,0.08918
32,32,2009,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No,0.92604,479,16737,0.85749,1.00412
33,33,2009,"Rhineland-Palatinate, Saarland",Post-secondary Non-tertiary Level,No,1.0,48,16737,0.80412,1.26854
34,34,2009,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,No,1.0,75,16737,0.81099,1.21657
35,35,2009,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,No,1.0,156,16737,0.82766,1.18722
36,36,2009,Baden-Wuerttemberg,Pre-primary Level,No,1.0,39,16737,0.73037,1.38056
37,37,2009,Baden-Wuerttemberg,Primary Level,No,1.0,31,16737,0.70525,1.35094
38,38,2009,Baden-Wuerttemberg,Lower Secondary Level,No,1.0,255,16737,0.88931,1.11207
39,39,2009,Baden-Wuerttemberg,Upper Secondary Level,Yes,0.06339,65,16737,0.05204,0.07529
40,40,2009,Baden-Wuerttemberg,Upper Secondary Level,No,0.93661,939,16737,0.87503,0.98994
41,41,2009,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,No,1.0,115,16737,0.8107,1.18267
42,42,2009,Baden-Wuerttemberg,First Stage of Tertiary Education,No,1.0,145,16737,0.85062,1.16936
43,43,2009,Baden-Wuerttemberg,Second Stage of Tertiary Education,No,1.0,430,16737,0.89844,1.11225
44,44,2009,Bavaria,Pre-primary Level,No,1.0,49,16737,0.64902,1.33201
45,45,2009,Bavaria,Lower Secondary Level,No,1.0,246,16737,0.91401,1.1116
46,46,2009,Bavaria,Upper Secondary Level,Yes,0.05125,72,16737,0.04176,0.06068
47,47,2009,Bavaria,Upper Secondary Level,No,0.94875,1293,16737,0.89973,0.99431
48,48,2009,Bavaria,Post-secondary Non-tertiary Level,No,1.0,125,16737,0.84221,1.15617
49,49,2009,Bavaria,First Stage of Tertiary Education,No,1.0,190,16737,0.87055,1.14643
50,50,2009,Bavaria,Second Stage of Tertiary Education,No,1.0,501,16737,0.89564,1.10267
