,Unnamed: 0,year,quintil_oecd,regtyp,ple0012,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,1st Quintile,Urban regions,Yes,0.09097,169,18013,0.08275,0.1009
1,1,2009,1st Quintile,Urban regions,No,0.90903,1645,18013,0.87295,0.94858
2,2,2009,1st Quintile,Rural regions,Yes,0.08386,107,18013,0.07331,0.09344
3,3,2009,1st Quintile,Rural regions,No,0.91614,958,18013,0.87261,0.97017
4,4,2009,2nd Quintile,Urban regions,Yes,0.09695,172,18013,0.08524,0.10974
5,5,2009,2nd Quintile,Urban regions,No,0.90305,1694,18013,0.86956,0.93799
6,6,2009,2nd Quintile,Rural regions,Yes,0.11052,154,18013,0.09855,0.12513
7,7,2009,2nd Quintile,Rural regions,No,0.88948,1146,18013,0.84514,0.94369
8,8,2009,3rd Quintile,Urban regions,Yes,0.0619,127,18013,0.05308,0.07018
9,9,2009,3rd Quintile,Urban regions,No,0.9381,1896,18013,0.89817,0.97557
10,10,2009,3rd Quintile,Rural regions,Yes,0.06483,108,18013,0.05604,0.07522
11,11,2009,3rd Quintile,Rural regions,No,0.93517,1303,18013,0.88003,0.99065
12,12,2009,4th Quintile,Urban regions,Yes,0.05836,149,18013,0.05137,0.06694
13,13,2009,4th Quintile,Urban regions,No,0.94164,2304,18013,0.90621,0.97705
14,14,2009,4th Quintile,Rural regions,Yes,0.06864,81,18013,0.05423,0.08437
15,15,2009,4th Quintile,Rural regions,No,0.93136,1198,18013,0.8847,0.9851
16,16,2009,5th Quintile,Urban regions,Yes,0.04912,173,18013,0.0423,0.05663
17,17,2009,5th Quintile,Urban regions,No,0.95088,3351,18013,0.91398,0.99081
18,18,2009,5th Quintile,Rural regions,Yes,0.04177,58,18013,0.03048,0.05774
19,19,2009,5th Quintile,Rural regions,No,0.95823,1220,18013,0.90146,1.01901
20,20,2011,1st Quintile,Urban regions,Yes,0.13188,152,15662,0.11606,0.14598
21,21,2011,1st Quintile,Urban regions,No,0.86812,1346,15662,0.82497,0.91674
22,22,2011,1st Quintile,Rural regions,Yes,0.12609,113,15662,0.1056,0.14588
23,23,2011,1st Quintile,Rural regions,No,0.87391,851,15662,0.8049,0.94504
24,24,2011,2nd Quintile,Urban regions,Yes,0.11083,171,15662,0.0999,0.12373
25,25,2011,2nd Quintile,Urban regions,No,0.88917,1480,15662,0.84313,0.9347
26,26,2011,2nd Quintile,Rural regions,Yes,0.13292,139,15662,0.11527,0.15198
27,27,2011,2nd Quintile,Rural regions,No,0.86708,972,15662,0.81098,0.9197
28,28,2011,3rd Quintile,Urban regions,Yes,0.07596,136,15662,0.06742,0.08578
29,29,2011,3rd Quintile,Urban regions,No,0.92404,1703,15662,0.88144,0.9671
30,30,2011,3rd Quintile,Rural regions,Yes,0.08087,106,15662,0.06441,0.09487
31,31,2011,3rd Quintile,Rural regions,No,0.91913,1125,15662,0.8637,0.97577
32,32,2011,4th Quintile,Urban regions,Yes,0.06381,133,15662,0.05323,0.07306
33,33,2011,4th Quintile,Urban regions,No,0.93619,2044,15662,0.89095,0.97666
34,34,2011,4th Quintile,Rural regions,Yes,0.05731,64,15662,0.04311,0.07531
35,35,2011,4th Quintile,Rural regions,No,0.94269,977,15662,0.87511,1.00982
36,36,2011,5th Quintile,Urban regions,Yes,0.0614,175,15662,0.05074,0.07281
37,37,2011,5th Quintile,Urban regions,No,0.9386,2897,15662,0.90418,0.98297
38,38,2011,5th Quintile,Rural regions,Yes,0.04717,56,15662,0.03486,0.06266
39,39,2011,5th Quintile,Rural regions,No,0.95283,1022,15662,0.88792,1.01511
40,40,2013,1st Quintile,Urban regions,Yes,0.1297,197,18862,0.11639,0.14287
41,41,2013,1st Quintile,Urban regions,No,0.8703,1640,18862,0.83784,0.90642
42,42,2013,1st Quintile,Rural regions,Yes,0.11747,163,18862,0.10441,0.13322
43,43,2013,1st Quintile,Rural regions,No,0.88253,1103,18862,0.82566,0.93289
44,44,2013,2nd Quintile,Urban regions,Yes,0.1189,230,18862,0.10808,0.12858
45,45,2013,2nd Quintile,Urban regions,No,0.8811,1770,18862,0.84404,0.92232
46,46,2013,2nd Quintile,Rural regions,Yes,0.13037,186,18862,0.115,0.14579
47,47,2013,2nd Quintile,Rural regions,No,0.86963,1250,18862,0.82772,0.91537
48,48,2013,3rd Quintile,Urban regions,Yes,0.09852,200,18862,0.08873,0.10745
49,49,2013,3rd Quintile,Urban regions,No,0.90148,1930,18862,0.86019,0.93389
50,50,2013,3rd Quintile,Rural regions,Yes,0.09569,146,18862,0.08332,0.11039
51,51,2013,3rd Quintile,Rural regions,No,0.90431,1316,18862,0.85486,0.96007
52,52,2013,4th Quintile,Urban regions,Yes,0.06894,179,18862,0.06112,0.07713
53,53,2013,4th Quintile,Urban regions,No,0.93106,2336,18862,0.89437,0.9716
54,54,2013,4th Quintile,Rural regions,Yes,0.07221,106,18862,0.06059,0.08599
55,55,2013,4th Quintile,Rural regions,No,0.92779,1317,18862,0.88125,0.97095
56,56,2013,5th Quintile,Urban regions,Yes,0.05343,202,18862,0.04768,0.06146
57,57,2013,5th Quintile,Urban regions,No,0.94657,3359,18862,0.91149,0.97498
58,58,2013,5th Quintile,Rural regions,Yes,0.0574,77,18862,0.04349,0.07297
59,59,2013,5th Quintile,Rural regions,No,0.9426,1155,18862,0.88382,1.01038
60,60,2015,1st Quintile,Urban regions,Yes,0.11869,273,25036,0.10418,0.13084
61,61,2015,1st Quintile,Urban regions,No,0.88131,2897,25036,0.84386,0.91898
62,62,2015,1st Quintile,Rural regions,Yes,0.09868,167,25036,0.08586,0.1162
63,63,2015,1st Quintile,Rural regions,No,0.90132,1670,25036,0.84978,0.96617
64,64,2015,2nd Quintile,Urban regions,Yes,0.0999,257,25036,0.08942,0.1107
65,65,2015,2nd Quintile,Urban regions,No,0.9001,2874,25036,0.86542,0.94023
66,66,2015,2nd Quintile,Rural regions,Yes,0.12281,242,25036,0.1112,0.13536
67,67,2015,2nd Quintile,Rural regions,No,0.87719,1908,25036,0.82739,0.92632
68,68,2015,3rd Quintile,Urban regions,Yes,0.08022,213,25036,0.07008,0.09057
