"ple0012","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Ja","2009","Staedtischer Raum","maennlich","417","0.0728885757941479","0.0660303213668772","0.0797468302214187"
"Ja","2009","Staedtischer Raum","weiblich","372","0.0677267184171413","0.0614390092880458","0.0740144275462369"
"Ja","2009","Laendlicher Raum","maennlich","288","0.0838549062671961","0.0740647501885972","0.0936450623457951"
"Ja","2009","Laendlicher Raum","weiblich","221","0.0657914884103809","0.0573136102700578","0.0742693665507041"
"Nein","2009","Staedtischer Raum","maennlich","5102","0.927111424205852","0.920253169778581","0.933969678633123"
"Nein","2009","Staedtischer Raum","weiblich","5763","0.932273281582859","0.925985572453763","0.938560990711954"
"Nein","2009","Laendlicher Raum","maennlich","2791","0.916145093732804","0.906354937654205","0.925935249811403"
"Nein","2009","Laendlicher Raum","weiblich","3064","0.934208511589619","0.925730633449296","0.942686389729942"
"Ja","2010","Staedtischer Raum","maennlich","","","",""
"Ja","2010","Staedtischer Raum","weiblich","","","",""
"Ja","2010","Laendlicher Raum","maennlich","","","",""
"Ja","2010","Laendlicher Raum","weiblich","","","",""
"Nein","2010","Staedtischer Raum","maennlich","","","",""
"Nein","2010","Staedtischer Raum","weiblich","","","",""
"Nein","2010","Laendlicher Raum","maennlich","","","",""
"Nein","2010","Laendlicher Raum","weiblich","","","",""
"Ja","2011","Staedtischer Raum","maennlich","549","0.0848881225278921","0.0779749530454779","0.0918012920103062"
"Ja","2011","Staedtischer Raum","weiblich","458","0.0764953771590915","0.0703081973874752","0.0826825569307077"
"Ja","2011","Laendlicher Raum","maennlich","359","0.0928518462331227","0.0832980856532207","0.102405606813025"
"Ja","2011","Laendlicher Raum","weiblich","290","0.0787198436979918","0.0702319687010073","0.0872077186949762"
"Nein","2011","Staedtischer Raum","maennlich","5695","0.915111877472108","0.908198707989694","0.922025046954522"
"Nein","2011","Staedtischer Raum","weiblich","6631","0.923504622840909","0.917317443069292","0.929691802612525"
"Nein","2011","Laendlicher Raum","maennlich","3186","0.907148153766877","0.897594393186975","0.916701914346779"
"Nein","2011","Laendlicher Raum","weiblich","3577","0.921280156302008","0.912792281305024","0.929768031298993"
"Ja","2012","Staedtischer Raum","maennlich","","","",""
"Ja","2012","Staedtischer Raum","weiblich","","","",""
"Ja","2012","Laendlicher Raum","maennlich","","","",""
"Ja","2012","Laendlicher Raum","weiblich","","","",""
"Nein","2012","Staedtischer Raum","maennlich","","","",""
"Nein","2012","Staedtischer Raum","weiblich","","","",""
"Nein","2012","Laendlicher Raum","maennlich","","","",""
"Nein","2012","Laendlicher Raum","weiblich","","","",""
"Ja","2013","Staedtischer Raum","maennlich","560","0.0976329224728484","0.0898575462965316","0.105408298649165"
"Ja","2013","Staedtischer Raum","weiblich","448","0.0790229754014456","0.072429567819052","0.0856163829838391"
"Ja","2013","Laendlicher Raum","maennlich","375","0.101918405136344","0.0914945578029614","0.112342252469726"
"Ja","2013","Laendlicher Raum","weiblich","304","0.0896054411926512","0.0802767965813495","0.0989340858039528"
"Nein","2013","Staedtischer Raum","maennlich","5038","0.902367077527152","0.894591701350835","0.910142453703468"
"Nein","2013","Staedtischer Raum","weiblich","5983","0.920977024598554","0.914383617016161","0.927570432180948"
"Nein","2013","Laendlicher Raum","maennlich","2861","0.898081594863656","0.887657747530273","0.908505442197039"
"Nein","2013","Laendlicher Raum","weiblich","3297","0.910394558807349","0.901065914196047","0.91972320341865"
"Ja","2014","Staedtischer Raum","maennlich","","","",""
"Ja","2014","Staedtischer Raum","weiblich","","","",""
"Ja","2014","Laendlicher Raum","maennlich","","","",""
"Ja","2014","Laendlicher Raum","weiblich","","","",""
"Nein","2014","Staedtischer Raum","maennlich","","","",""
"Nein","2014","Staedtischer Raum","weiblich","","","",""
"Nein","2014","Laendlicher Raum","maennlich","","","",""
"Nein","2014","Laendlicher Raum","weiblich","","","",""
"Ja","2015","Staedtischer Raum","maennlich","613","0.0962539359351293","0.0895148552297371","0.102993016640522"
"Ja","2015","Staedtischer Raum","weiblich","494","0.0690705009359512","0.0637688910680067","0.0743721108038957"
"Ja","2015","Laendlicher Raum","maennlich","373","0.0894161003219832","0.0806818826957176","0.0981503179482488"
"Ja","2015","Laendlicher Raum","weiblich","349","0.0842938044884133","0.0764292345257227","0.092158374451104"
"Nein","2015","Staedtischer Raum","maennlich","6745","0.903746064064871","0.897006983359478","0.910485144770263"
"Nein","2015","Staedtischer Raum","weiblich","8294","0.930929499064049","0.925627889196104","0.936231108931993"
"Nein","2015","Laendlicher Raum","maennlich","3727","0.910583899678017","0.901849682051751","0.919318117304282"
"Nein","2015","Laendlicher Raum","weiblich","4445","0.915706195511587","0.907841625548896","0.923570765474277"
"Ja","2016","Staedtischer Raum","maennlich","","","",""
"Ja","2016","Staedtischer Raum","weiblich","","","",""
"Ja","2016","Laendlicher Raum","maennlich","","","",""
"Ja","2016","Laendlicher Raum","weiblich","","","",""
"Nein","2016","Staedtischer Raum","maennlich","","","",""
"Nein","2016","Staedtischer Raum","weiblich","","","",""
"Nein","2016","Laendlicher Raum","maennlich","","","",""
"Nein","2016","Laendlicher Raum","weiblich","","","",""
"Ja","2017","Staedtischer Raum","maennlich","641","0.0966104578997627","0.0900776941414646","0.103143221658061"
"Ja","2017","Staedtischer Raum","weiblich","523","0.0679476941893307","0.0628231372594042","0.0730722511192571"
"Ja","2017","Laendlicher Raum","maennlich","417","0.0918126893097505","0.0832853370509547","0.100340041568546"
