year,sampreg,sex,ple0012,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,West,male,Yes,0.07264,484,6411,0.06628,0.07899
2009,West,male,No,0.92736,5927,6411,0.92101,0.93372
2009,West,female,Yes,0.06147,388,7066,0.05587,0.06707
2009,West,female,No,0.93853,6678,7066,0.93293,0.94413
2009,East,male,Yes,0.09278,221,2187,0.08062,0.10494
2009,East,male,No,0.90722,1966,2187,0.89506,0.91938
2009,East,female,Yes,0.09195,205,2354,0.08028,0.10363
2009,East,female,No,0.90805,2149,2354,0.89637,0.91972
2011,West,male,Yes,0.08280,635,7459,0.07655,0.08906
2011,West,male,No,0.91720,6824,7459,0.91094,0.92345
2011,West,female,Yes,0.06991,494,8381,0.06445,0.07537
2011,West,female,No,0.93009,7887,8381,0.92463,0.93555
2011,East,male,Yes,0.10824,273,2330,0.09563,0.12086
2011,East,male,No,0.89176,2057,2330,0.87914,0.90437
2011,East,female,Yes,0.11041,254,2575,0.09830,0.12252
2011,East,female,No,0.88959,2321,2575,0.87748,0.90170
2013,West,male,Yes,0.09493,655,6731,0.08793,0.10193
2013,West,male,No,0.90507,6076,6731,0.89807,0.91207
2013,West,female,Yes,0.07257,485,7683,0.06677,0.07837
2013,West,female,No,0.92743,7198,7683,0.92163,0.93323
2013,East,male,Yes,0.11785,280,2103,0.10407,0.13164
2013,East,male,No,0.88215,1823,2103,0.86836,0.89593
2013,East,female,Yes,0.12412,267,2349,0.11078,0.13746
2013,East,female,No,0.87588,2082,2349,0.86254,0.88922
2015,West,male,Yes,0.09026,708,9061,0.08436,0.09616
2015,West,male,No,0.90974,8353,9061,0.90384,0.91564
2015,West,female,Yes,0.06398,569,10726,0.05935,0.06861
2015,West,female,No,0.93602,10157,10726,0.93139,0.94065
2015,East,male,Yes,0.11035,278,2398,0.09781,0.12290
2015,East,male,No,0.88965,2120,2398,0.87710,0.90219
2015,East,female,Yes,0.11821,274,2855,0.10636,0.13005
2015,East,female,No,0.88179,2581,2855,0.86995,0.89364
2017,West,male,Yes,0.09184,750,9685,0.08609,0.09759
2017,West,male,No,0.90816,8935,9685,0.90241,0.91391
2017,West,female,Yes,0.06631,607,11274,0.06171,0.07090
2017,West,female,No,0.93369,10667,11274,0.92910,0.93829
2017,East,male,Yes,0.11249,308,2576,0.10028,0.12469
2017,East,male,No,0.88751,2268,2576,0.87531,0.89972
2017,East,female,Yes,0.10713,275,3014,0.09609,0.11818
2017,East,female,No,0.89287,2739,3014,0.88182,0.90391
2019,Does not apply,male,No,0.97104,35,35,0.91468,1.02741
2019,Does not apply,female,No,0.97222,36,36,0.91777,1.02667
2019,West,male,Yes,0.08902,773,9601,0.08332,0.09471
2019,West,male,No,0.91098,8828,9601,0.90529,0.91668
2019,West,female,Yes,0.07249,610,10501,0.06753,0.07745
2019,West,female,No,0.92751,9891,10501,0.92255,0.93247
2019,East,male,Yes,0.10942,298,2642,0.09751,0.12132
2019,East,male,No,0.89058,2344,2642,0.87868,0.90249
2019,East,female,Yes,0.10289,250,2903,0.09184,0.11394
2019,East,female,No,0.89711,2653,2903,0.88606,0.90816
2021,West,male,Yes,0.08638,611,7448,0.08000,0.09276
2021,West,male,No,0.91362,6837,7448,0.90724,0.92000
2021,West,female,Yes,0.07162,486,7863,0.06592,0.07732
2021,West,female,No,0.92838,7377,7863,0.92268,0.93408
2021,East,male,Yes,0.09593,196,1841,0.08248,0.10939
2021,East,male,No,0.90407,1645,1841,0.89061,0.91752
2021,East,female,Yes,0.10283,175,2004,0.08952,0.11613
2021,East,female,No,0.89717,1829,2004,0.88387,0.91048
