"year","migback","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1986","direkter Migrationshintergrund","18.84","14.5","414","17.24","20.44"
"1986","indirekter Migrationshintergrund","","","","",""
"1986","kein Migrationshintergrund","18.99","13.5","1417","18.07","19.91"
"1987","direkter Migrationshintergrund","","","","",""
"1987","indirekter Migrationshintergrund","","","","",""
"1987","kein Migrationshintergrund","","","","",""
"1988","direkter Migrationshintergrund","18.94","13.5","419","17.46","20.42"
"1988","indirekter Migrationshintergrund","","","","",""
"1988","kein Migrationshintergrund","19.12","12.5","1386","18.17","20.07"
"1989","direkter Migrationshintergrund","18.28","15.5","439","16.78","19.78"
"1989","indirekter Migrationshintergrund","25.58","19","33","17.94","33.22"
"1989","kein Migrationshintergrund","19.81","14.5","1439","18.87","20.75"
"1990","direkter Migrationshintergrund","20.49","15.5","464","18.92","22.06"
"1990","indirekter Migrationshintergrund","15.65","9.5","43","10.9","20.4"
"1990","kein Migrationshintergrund","18.84","14.5","2530","18.21","19.47"
"1991","direkter Migrationshintergrund","18.56","14.5","455","17.12","20"
"1991","indirekter Migrationshintergrund","14.93","11.5","58","11.88","17.98"
"1991","kein Migrationshintergrund","20.27","14.5","2388","19.52","21.02"
"1992","direkter Migrationshintergrund","18.24","11.5","405","16.71","19.77"
"1992","indirekter Migrationshintergrund","17.88","11","62","13.87","21.89"
"1992","kein Migrationshintergrund","19.4","14.5","2514","18.69","20.11"
"1993","direkter Migrationshintergrund","17.64","11.5","336","15.84","19.44"
"1993","indirekter Migrationshintergrund","17.66","13.5","85","13.96","21.36"
"1993","kein Migrationshintergrund","19.08","13.5","2405","18.34","19.82"
"1994","direkter Migrationshintergrund","19.03","13.5","336","17.2","20.86"
"1994","indirekter Migrationshintergrund","16.96","9","89","13.86","20.06"
"1994","kein Migrationshintergrund","18.99","11.5","2465","18.28","19.7"
"1995","direkter Migrationshintergrund","18.32","13.5","455","16.91","19.73"
"1995","indirekter Migrationshintergrund","14.8","9","106","12.25","17.35"
"1995","kein Migrationshintergrund","19.67","14.5","2624","18.97","20.37"
"1996","direkter Migrationshintergrund","18.72","11.5","433","17.21","20.23"
"1996","indirekter Migrationshintergrund","16.89","14.5","117","14.95","18.83"
"1996","kein Migrationshintergrund","18.67","12.5","2567","18.01","19.33"
"1997","direkter Migrationshintergrund","18.53","11.5","437","17.07","19.99"
"1997","indirekter Migrationshintergrund","16.04","13.5","126","13.58","18.5"
"1997","kein Migrationshintergrund","19.2","13.5","2564","18.53","19.87"
"1998","direkter Migrationshintergrund","19.3","14.5","413","17.93","20.67"
"1998","indirekter Migrationshintergrund","18.74","14.5","133","15.73","21.75"
"1998","kein Migrationshintergrund","19.71","14.5","2955","19.08","20.34"
"1999","direkter Migrationshintergrund","17.5","11.5","391","15.95","19.05"
"1999","indirekter Migrationshintergrund","17.67","11.5","142","15.17","20.17"
"1999","kein Migrationshintergrund","19.65","14.5","2960","19.03","20.27"
"2000","direkter Migrationshintergrund","17.61","11.5","548","16.3","18.92"
"2000","indirekter Migrationshintergrund","16.12","9.5","183","13.97","18.27"
"2000","kein Migrationshintergrund","19.49","14.5","4887","19","19.98"
"2001","direkter Migrationshintergrund","18.89","14.5","543","17.47","20.31"
"2001","indirekter Migrationshintergrund","19.8","14.5","174","17.35","22.25"
"2001","kein Migrationshintergrund","18.72","14.5","4574","18.24","19.2"
"2002","direkter Migrationshintergrund","17.6","11.5","454","15.97","19.23"
"2002","indirekter Migrationshintergrund","17.14","9.5","174","14.87","19.41"
"2002","kein Migrationshintergrund","19.14","14.5","4871","18.64","19.64"
"2003","direkter Migrationshintergrund","17.37","11.5","408","15.83","18.91"
"2003","indirekter Migrationshintergrund","15.07","11.5","165","13","17.14"
"2003","kein Migrationshintergrund","18.14","11.5","4644","17.65","18.63"
"2004","direkter Migrationshintergrund","15.06","11","392","13.62","16.5"
"2004","indirekter Migrationshintergrund","17.05","11.5","172","14.58","19.52"
"2004","kein Migrationshintergrund","18.43","13.5","4512","17.93","18.93"
"2005","direkter Migrationshintergrund","17.82","11.5","375","16.14","19.5"
"2005","indirekter Migrationshintergrund","16.52","11","181","14.47","18.57"
"2005","kein Migrationshintergrund","18.61","11.5","4181","18.08","19.14"
"2006","direkter Migrationshintergrund","17.92","11.5","424","16.39","19.45"
"2006","indirekter Migrationshintergrund","15.78","9.5","218","13.86","17.7"
"2006","kein Migrationshintergrund","19.01","14.5","4732","18.51","19.51"
"2007","direkter Migrationshintergrund","19.63","11.5","383","17.94","21.32"
"2007","indirekter Migrationshintergrund","17.42","11.5","214","15.03","19.81"
"2007","kein Migrationshintergrund","19.45","13.5","4497","18.93","19.97"
"2008","direkter Migrationshintergrund","17.7","11.5","376","16.08","19.32"
"2008","indirekter Migrationshintergrund","15.31","9.5","194","13.14","17.48"
"2008","kein Migrationshintergrund","18.85","13.5","4338","18.34","19.36"
"2009","direkter Migrationshintergrund","18.96","14.5","256","16.9","21.02"
"2009","indirekter Migrationshintergrund","16.14","11.5","182","13.62","18.66"
"2009","kein Migrationshintergrund","18.84","13.5","3808","18.29","19.39"
"2010","direkter Migrationshintergrund","17.35","9.5","516","15.91","18.79"
"2010","indirekter Migrationshintergrund","18.06","14.5","266","15.98","20.14"
"2010","kein Migrationshintergrund","18.6","11.5","4943","18.12","19.08"
"2011","direkter Migrationshintergrund","19.15","14.5","677","17.92","20.38"
"2011","indirekter Migrationshintergrund","18.72","14.5","371","17.01","20.43"
"2011","kein Migrationshintergrund","18.68","13.5","6399","18.26","19.1"
"2012","direkter Migrationshintergrund","18.11","13.5","646","16.79","19.43"
"2012","indirekter Migrationshintergrund","18.67","9.5","376","16.82","20.52"
