"year","migback","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1986","direkter Migrationshintergrund","Laendlicher Raum","18.65","14.5","70","14.93","22.37"
"1986","direkter Migrationshintergrund","Staedtischer Raum","18.89","14.5","344","17.11","20.67"
"1986","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"1986","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"1986","kein Migrationshintergrund","Laendlicher Raum","20.71","14.5","316","18.5","22.92"
"1986","kein Migrationshintergrund","Staedtischer Raum","18.48","13.5","1101","17.47","19.49"
"1987","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"1987","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"1987","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"1987","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"1987","kein Migrationshintergrund","Laendlicher Raum","","","","",""
"1987","kein Migrationshintergrund","Staedtischer Raum","","","","",""
"1988","direkter Migrationshintergrund","Laendlicher Raum","17.31","11","63","13.66","20.96"
"1988","direkter Migrationshintergrund","Staedtischer Raum","19.19","14.5","356","17.57","20.81"
"1988","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"1988","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"1988","kein Migrationshintergrund","Laendlicher Raum","20.99","13","304","18.62","23.36"
"1988","kein Migrationshintergrund","Staedtischer Raum","18.61","12.5","1082","17.59","19.63"
"1989","direkter Migrationshintergrund","Laendlicher Raum","20.81","17","59","16.23","25.39"
"1989","direkter Migrationshintergrund","Staedtischer Raum","17.92","15.5","380","16.34","19.5"
"1989","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"1989","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"1989","kein Migrationshintergrund","Laendlicher Raum","20.41","13.5","321","18.19","22.63"
"1989","kein Migrationshintergrund","Staedtischer Raum","19.64","14.5","1118","18.61","20.67"
"1990","direkter Migrationshintergrund","Laendlicher Raum","18.21","15.5","75","14.89","21.53"
"1990","direkter Migrationshintergrund","Staedtischer Raum","20.89","14.5","389","19.13","22.65"
"1990","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"1990","indirekter Migrationshintergrund","Staedtischer Raum","16.93","10.5","38","11.66","22.2"
"1990","kein Migrationshintergrund","Laendlicher Raum","19.6","14.5","982","18.58","20.62"
"1990","kein Migrationshintergrund","Staedtischer Raum","18.52","13.5","1521","17.71","19.33"
"1991","direkter Migrationshintergrund","Laendlicher Raum","18.81","11","76","14.96","22.66"
