"year","migback","sex","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1986","direkter Migrationshintergrund","maennlich","19.51","14.5","344","17.74","21.28"
"1986","direkter Migrationshintergrund","weiblich","16.4","11","70","12.65","20.15"
"1986","indirekter Migrationshintergrund","maennlich","","","","",""
"1986","indirekter Migrationshintergrund","weiblich","","","","",""
"1986","kein Migrationshintergrund","maennlich","20.73","14.5","980","19.59","21.87"
"1986","kein Migrationshintergrund","weiblich","15.2","9.5","437","13.7","16.7"
"1987","direkter Migrationshintergrund","maennlich","","","","",""
"1987","direkter Migrationshintergrund","weiblich","","","","",""
"1987","indirekter Migrationshintergrund","maennlich","","","","",""
"1987","indirekter Migrationshintergrund","weiblich","","","","",""
"1987","kein Migrationshintergrund","maennlich","","","","",""
"1987","kein Migrationshintergrund","weiblich","","","","",""
"1988","direkter Migrationshintergrund","maennlich","19.9","15.5","320","18.13","21.67"
"1988","direkter Migrationshintergrund","weiblich","16.37","11","99","13.85","18.89"
"1988","indirekter Migrationshintergrund","maennlich","","","","",""
"1988","indirekter Migrationshintergrund","weiblich","","","","",""
"1988","kein Migrationshintergrund","maennlich","21.21","14.5","936","19.96","22.46"
"1988","kein Migrationshintergrund","weiblich","14.89","9.5","450","13.62","16.16"
"1989","direkter Migrationshintergrund","maennlich","19.32","19","326","17.62","21.02"
"1989","direkter Migrationshintergrund","weiblich","15.23","10.5","113","12.09","18.37"
"1989","indirekter Migrationshintergrund","maennlich","","","","",""
"1989","indirekter Migrationshintergrund","weiblich","","","","",""
"1989","kein Migrationshintergrund","maennlich","22.56","17.5","956","21.37","23.75"
"1989","kein Migrationshintergrund","weiblich","14.33","9.5","483","12.88","15.78"
"1990","direkter Migrationshintergrund","maennlich","21.43","15.5","350","19.6","23.26"
"1990","direkter Migrationshintergrund","weiblich","18.07","13.5","114","15.05","21.09"
"1990","indirekter Migrationshintergrund","maennlich","","","","",""
"1990","indirekter Migrationshintergrund","weiblich","","","","",""
"1990","kein Migrationshintergrund","maennlich","21.34","15.5","1593","20.48","22.2"
"1990","kein Migrationshintergrund","weiblich","14.25","9.5","937","13.44","15.06"
"1991","direkter Migrationshintergrund","maennlich","19.8","15.5","351","18.15","21.45"
"1991","direkter Migrationshintergrund","weiblich","14.74","9.5","104","11.9","17.58"
"1991","indirekter Migrationshintergrund","maennlich","17.99","18","35","13.81","22.17"
"1991","indirekter Migrationshintergrund","weiblich","","","","",""
"1991","kein Migrationshintergrund","maennlich","22.99","15.5","1521","21.99","23.99"
"1991","kein Migrationshintergrund","weiblich","15.32","9.5","867","14.31","16.33"
"1992","direkter Migrationshintergrund","maennlich","18.42","13.5","304","16.69","20.15"
"1992","direkter Migrationshintergrund","weiblich","17.78","11.5","101","14.56","21"
"1992","indirekter Migrationshintergrund","maennlich","19.71","14.5","38","13.98","25.44"
"1992","indirekter Migrationshintergrund","weiblich","","","","",""
"1992","kein Migrationshintergrund","maennlich","21.93","15.5","1564","20.94","22.92"
"1992","kein Migrationshintergrund","weiblich","14.93","9.5","950","14.06","15.8"
"1993","direkter Migrationshintergrund","maennlich","17.55","9.5","240","15.25","19.85"
"1993","direkter Migrationshintergrund","weiblich","17.84","14.5","96","15.32","20.36"
"1993","indirekter Migrationshintergrund","maennlich","17.65","14","53","13.33","21.97"
"1993","indirekter Migrationshintergrund","weiblich","17.68","13.5","32","10.62","24.74"
"1993","kein Migrationshintergrund","maennlich","21.76","15.5","1492","20.73","22.79"
"1993","kein Migrationshintergrund","weiblich","14.32","9.5","913","13.41","15.23"
"1994","direkter Migrationshintergrund","maennlich","23.23","19.5","237","20.83","25.63"
