"year","age_gr","migback","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1986","17-34","direkter Migrationshintergrund","16.28","11.5","162","13.79","18.77"
"1986","17-34","indirekter Migrationshintergrund","","","","",""
"1986","17-34","kein Migrationshintergrund","17.11","11.5","639","15.89","18.33"
"1986","35-65","direkter Migrationshintergrund","20.29","15.5","252","18.19","22.39"
"1986","35-65","indirekter Migrationshintergrund","","","","",""
"1986","35-65","kein Migrationshintergrund","20.51","14.5","778","19.17","21.85"
"1986","66 +","direkter Migrationshintergrund","","","","",""
"1986","66 +","indirekter Migrationshintergrund","","","","",""
"1986","66 +","kein Migrationshintergrund","","","","",""
"1987","17-34","direkter Migrationshintergrund","","","","",""
"1987","17-34","indirekter Migrationshintergrund","","","","",""
"1987","17-34","kein Migrationshintergrund","","","","",""
"1987","35-65","direkter Migrationshintergrund","","","","",""
"1987","35-65","indirekter Migrationshintergrund","","","","",""
"1987","35-65","kein Migrationshintergrund","","","","",""
"1987","66 +","direkter Migrationshintergrund","","","","",""
"1987","66 +","indirekter Migrationshintergrund","","","","",""
"1987","66 +","kein Migrationshintergrund","","","","",""
"1988","17-34","direkter Migrationshintergrund","17.43","13.5","178","15.25","19.61"
"1988","17-34","indirekter Migrationshintergrund","","","","",""
"1988","17-34","kein Migrationshintergrund","17.34","10.5","631","15.99","18.69"
"1988","35-65","direkter Migrationshintergrund","19.7","11.5","240","17.69","21.71"
"1988","35-65","indirekter Migrationshintergrund","","","","",""
"1988","35-65","kein Migrationshintergrund","20.42","14.5","753","19.1","21.74"
"1988","66 +","direkter Migrationshintergrund","","","","",""
"1988","66 +","indirekter Migrationshintergrund","","","","",""
"1988","66 +","kein Migrationshintergrund","","","","",""
"1989","17-34","direkter Migrationshintergrund","17.4","14","170","15.14","19.66"
"1989","17-34","indirekter Migrationshintergrund","","","","",""
"1989","17-34","kein Migrationshintergrund","17.95","11.5","689","16.59","19.31"
"1989","35-65","direkter Migrationshintergrund","18.77","15.5","269","16.79","20.75"
"1989","35-65","indirekter Migrationshintergrund","","","","",""
"1989","35-65","kein Migrationshintergrund","21.28","14.5","749","19.99","22.57"
"1989","66 +","direkter Migrationshintergrund","","","","",""
"1989","66 +","indirekter Migrationshintergrund","","","","",""
"1989","66 +","kein Migrationshintergrund","","","","",""
"1990","17-34","direkter Migrationshintergrund","23.57","15.5","171","20.41","26.73"
"1990","17-34","indirekter Migrationshintergrund","17.8","8.5","37","12.3","23.3"
"1990","17-34","kein Migrationshintergrund","17.42","11.5","1118","16.46","18.38"
"1990","35-65","direkter Migrationshintergrund","18.83","14.5","293","17.15","20.51"
"1990","35-65","indirekter Migrationshintergrund","","","","",""
"1990","35-65","kein Migrationshintergrund","19.93","14.5","1409","19.09","20.77"
"1990","66 +","direkter Migrationshintergrund","","","","",""
"1990","66 +","indirekter Migrationshintergrund","","","","",""
"1990","66 +","kein Migrationshintergrund","","","","",""
"1991","17-34","direkter Migrationshintergrund","19.62","14.5","158","17.2","22.04"
"1991","17-34","indirekter Migrationshintergrund","10.89","9.5","48","8.32","13.46"
"1991","17-34","kein Migrationshintergrund","18.22","11.5","1072","17.19","19.25"
"1991","35-65","direkter Migrationshintergrund","18.12","14.5","297","16.32","19.92"
"1991","35-65","indirekter Migrationshintergrund","","","","",""
