"year","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1986","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Westdeutschland","19.04","13.5","1850","4","8","22","40","88","18.24","19.84","0","99","13","15"
"1987","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Westdeutschland","","","","","","","","","","","","","",""
"1988","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Westdeutschland","19.07","12.5","1833","4","8","24","40","80","18.27","19.87","1","99","12","15"
"1989","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Westdeutschland","19.71","14.5","1911","4","8","25","40","95","18.91","20.51","0","99","12","15"
"1990","Ostdeutschland","19.48","14.5","1080","5","8","25","40","80","18.54","20.42","0","99","15","15"
"1990","Westdeutschland","18.82","13.5","1957","4","8","22","40","80","18.08","19.56","0","99","12","15"
"1991","Ostdeutschland","21.79","14.5","810","5","10","30","45","99","20.46","23.12","0","99","15","17"
"1991","Westdeutschland","19.74","14.5","2091","4","8","25","40","99","18.98","20.5","0","99","12","15"
"1992","Ostdeutschland","20.87","14.5","962","5","8","25","40","99","19.64","22.1","0","99","13","15"
"1992","Westdeutschland","18.89","13.5","2019","4","8","24","40","80","18.15","19.63","0","99","12","14"
"1993","Ostdeutschland","19.38","13.5","973","4","8","24","40","99","18.19","20.57","0","99","12","15"
"1993","Westdeutschland","18.81","13.5","1853","4","8","22","40","90","17.99","19.63","0","99","12","14"
"1994","Ostdeutschland","20.16","14.5","1019","4","8","27","40","90","19.03","21.29","0","99","12","15"
"1994","Westdeutschland","18.61","11.5","1871","4","8","22","40","99","17.81","19.41","0","99","11","13"
"1995","Ostdeutschland","20.04","11.5","1009","4","8","25","42","90","18.88","21.2","0","99","12","15"
"1995","Westdeutschland","19.3","14.5","2176","4","8","25","40","80","18.58","20.02","1","99","12","15"
"1996","Ostdeutschland","20","13.5","958","4","8","25","44","80","18.86","21.14","1","99","12","15"
"1996","Westdeutschland","18.31","12.5","2159","4","8","23","40","80","17.63","18.99","1","99","12","14"
"1997","Ostdeutschland","20.2","14.5","968","5","8","25","48","80","19.06","21.34","1","99","12","15"
