"year","migback","sampreg","mean","median","n","lower_confidence","upper_confidence"
"1986","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"1986","direkter Migrationshintergrund","Westdeutschland","18.84","14.5","414","17.24","20.44"
"1986","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"1986","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"1986","kein Migrationshintergrund","Ostdeutschland","","","","",""
"1986","kein Migrationshintergrund","Westdeutschland","18.99","13.5","1417","18.07","19.91"
"1987","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"1987","direkter Migrationshintergrund","Westdeutschland","","","","",""
"1987","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"1987","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"1987","kein Migrationshintergrund","Ostdeutschland","","","","",""
"1987","kein Migrationshintergrund","Westdeutschland","","","","",""
"1988","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"1988","direkter Migrationshintergrund","Westdeutschland","18.94","13.5","419","17.46","20.42"
"1988","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"1988","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"1988","kein Migrationshintergrund","Ostdeutschland","","","","",""
"1988","kein Migrationshintergrund","Westdeutschland","19.12","12.5","1386","18.17","20.07"
"1989","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"1989","direkter Migrationshintergrund","Westdeutschland","18.28","15.5","439","16.78","19.78"
"1989","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"1989","indirekter Migrationshintergrund","Westdeutschland","25.58","19","33","17.94","33.22"
"1989","kein Migrationshintergrund","Ostdeutschland","","","","",""
"1989","kein Migrationshintergrund","Westdeutschland","19.81","14.5","1439","18.87","20.75"
"1990","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"1990","direkter Migrationshintergrund","Westdeutschland","20.68","15.5","438","19.06","22.3"
"1990","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"1990","indirekter Migrationshintergrund","Westdeutschland","15.65","9.5","43","10.9","20.4"
"1990","kein Migrationshintergrund","Ostdeutschland","19.53","14.5","1054","18.57","20.49"
"1990","kein Migrationshintergrund","Westdeutschland","18.65","13.5","1476","17.8","19.5"
"1991","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"1991","direkter Migrationshintergrund","Westdeutschland","18.4","14.5","438","16.96","19.84"
"1991","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"1991","indirekter Migrationshintergrund","Westdeutschland","14.96","10.5","57","11.86","18.06"
"1991","kein Migrationshintergrund","Ostdeutschland","21.81","14.5","792","20.47","23.15"
"1991","kein Migrationshintergrund","Westdeutschland","19.95","13.5","1596","19.05","20.85"
"1992","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"1992","direkter Migrationshintergrund","Westdeutschland","17.88","11.5","384","16.35","19.41"
"1992","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"1992","indirekter Migrationshintergrund","Westdeutschland","17.97","11","61","13.89","22.05"
"1992","kein Migrationshintergrund","Ostdeutschland","20.8","14.5","940","19.56","22.04"
"1992","kein Migrationshintergrund","Westdeutschland","19.01","13.5","1574","18.15","19.87"
"1993","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"1993","direkter Migrationshintergrund","Westdeutschland","18.1","11.5","310","16.19","20.01"
"1993","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"1993","indirekter Migrationshintergrund","Westdeutschland","17.81","13.5","82","14.01","21.61"
"1993","kein Migrationshintergrund","Ostdeutschland","19.62","14.5","944","18.4","20.84"
"1993","kein Migrationshintergrund","Westdeutschland","18.91","13.5","1461","17.97","19.85"
"1994","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"1994","direkter Migrationshintergrund","Westdeutschland","19.4","13.5","307","17.48","21.32"
