"year","quintil_oecd","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","17.92","11.5","327","4","6","20","40","80","15.95","19.89","0","99","10","15"
"1995","1 Einkommensschwächstes Quintil","Städtischer Raum","18.03","13.5","448","4","8","22","40","80","16.68","19.38","1","99","12","15"
"1995","2","Ländlicher Raum","16.89","9.5","344","3","6","20","38","90","14.92","18.86","1","99","10","12"
"1995","2","Städtischer Raum","16.96","11.5","593","4","6","20","40","80","15.66","18.26","1","99","10","14"
"1995","3","Ländlicher Raum","19.25","11.5","226","3","5","25","48","86","16.82","21.68","0","99","10","16"
"1995","3","Städtischer Raum","20.63","14.5","464","5","9","30","40","90","19.04","22.22","1","99","12","15"
"1995","4","Ländlicher Raum","21.89","14.5","146","5","6","30","50","99","18.38","25.4","2","99","12","20"
"1995","4","Städtischer Raum","20.68","14.5","399","4","8","30","45","80","18.88","22.48","1","99","15","20"
"1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","22.2","14","35","8","10","25","45","80","15.79","28.61","1","80","10","20"
"1995","5 Einkommensstärkstes Quintil","Städtischer Raum","24.18","19.5","203","6","10","30","50","84","21.4","26.96","1","99","15","20"
"1996","1 Einkommensschwächstes Quintil","Ländlicher Raum","17.67","11.5","268","4","8","20","40","80","15.55","19.79","1","99","10","16"
"1996","1 Einkommensschwächstes Quintil","Städtischer Raum","15.77","10.5","397","3","7","20","35","80","14.38","17.16","1","99","10","12"
"1996","2","Ländlicher Raum","19.27","11.5","344","4","8","25","40","80","17.37","21.17","1","99","12","15"
"1996","2","Städtischer Raum","17.23","11.5","539","4","8","20","40","78","15.96","18.5","1","99","10","14"
"1996","3","Ländlicher Raum","15.97","9.5","252","4","6","20","40","79.62","13.97","17.97","1","99","10","12"
"1996","3","Städtischer Raum","17.51","11","476","4","8","24","40","80","16.1","18.92","1","99","10","15"
"1996","4","Ländlicher Raum","20.15","14.5","142","4","8","30","41","99","17","23.3","1","99","12","20"
"1996","4","Städtischer Raum","19.07","14.5","418","5","8","24","40","80","17.48","20.66","1","99","12","15"
"1996","5 Einkommensstärkstes Quintil","Ländlicher Raum","21.61","14.5","57","5","10","30","40","85","16.75","26.47","2","85","10","20"
"1996","5 Einkommensstärkstes Quintil","Städtischer Raum","26.12","19","224","7","10","40","50","99","23.44","28.8","1","99","16","20"
"1997","1 Einkommensschwächstes Quintil","Ländlicher Raum","18.01","13.5","267","4","8","25","40","60","16.15","19.87","2","99","12","16"
"1997","1 Einkommensschwächstes Quintil","Städtischer Raum","15.86","9.5","352","5","7","20","35","72","14.49","17.23","1","80","10","12"
"1997","2","Ländlicher Raum","18.59","12.5","363","3","8","20","40","99","16.61","20.57","1","99","12","15"
"1997","2","Städtischer Raum","17.8","14.5","509","4","8","20","35","70","16.52","19.08","1","80","12","15"
"1997","3","Ländlicher Raum","19.06","11.5","242","3","8","25","45","80","16.82","21.3","2","99","10","15"
"1997","3","Städtischer Raum","18.26","11.5","527","4","8","24","40","90","16.9","19.62","1","99","11","15"
