year,pgisced97,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Pre-primary Level,,,,,,,,,,,,
1984,Primary Level,,,,,,,,,,,,
1984,Lower Secondary Level,,,,,,,,,,,,
1984,Upper Secondary Level,,,,,,,,,,,,
1984,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1984,First Stage of Tertiary Education,,,,,,,,,,,,
1984,Second Stage of Tertiary Education,,,,,,,,,,,,
1985,Pre-primary Level,,,,,,,,,,,,
1985,Primary Level,,,,,,,,,,,,
1985,Lower Secondary Level,,,,,,,,,,,,
1985,Upper Secondary Level,,,,,,,,,,,,
1985,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1985,First Stage of Tertiary Education,,,,,,,,,,,,
1985,Second Stage of Tertiary Education,,,,,,,,,,,,
1986,Pre-primary Level,,,,,,,,,,,,
1986,Primary Level,,,,,,,,,,,,
1986,Lower Secondary Level,,,,,,,,,,,,
1986,Upper Secondary Level,,,,,,,,,,,,
1986,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1986,First Stage of Tertiary Education,,,,,,,,,,,,
1986,Second Stage of Tertiary Education,,,,,,,,,,,,
1987,Pre-primary Level,,,,,,,,,,,,
1987,Primary Level,,,,,,,,,,,,
1987,Lower Secondary Level,,,,,,,,,,,,
1987,Upper Secondary Level,,,,,,,,,,,,
1987,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1987,First Stage of Tertiary Education,,,,,,,,,,,,
1987,Second Stage of Tertiary Education,,,,,,,,,,,,
1988,Pre-primary Level,,,,,,,,,,,,
1988,Primary Level,,,,,,,,,,,,
1988,Lower Secondary Level,,,,,,,,,,,,
1988,Upper Secondary Level,,,,,,,,,,,,
1988,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1988,First Stage of Tertiary Education,,,,,,,,,,,,
1988,Second Stage of Tertiary Education,,,,,,,,,,,,
1989,Pre-primary Level,,,,,,,,,,,,
1989,Primary Level,,,,,,,,,,,,
1989,Lower Secondary Level,,,,,,,,,,,,
1989,Upper Secondary Level,,,,,,,,,,,,
1989,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1989,First Stage of Tertiary Education,,,,,,,,,,,,
1989,Second Stage of Tertiary Education,,,,,,,,,,,,
1990,Pre-primary Level,,,,,,,,,,,,
1990,Primary Level,,,,,,,,,,,,
1990,Lower Secondary Level,,,,,,,,,,,,
1990,Upper Secondary Level,,,,,,,,,,,,
1990,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1990,First Stage of Tertiary Education,,,,,,,,,,,,
1990,Second Stage of Tertiary Education,,,,,,,,,,,,
1991,Pre-primary Level,,,,,,,,,,,,
1991,Primary Level,,,,,,,,,,,,
1991,Lower Secondary Level,,,,,,,,,,,,
1991,Upper Secondary Level,,,,,,,,,,,,
1991,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1991,First Stage of Tertiary Education,,,,,,,,,,,,
1991,Second Stage of Tertiary Education,,,,,,,,,,,,
1992,Pre-primary Level,,,,,,,,,,,,
1992,Primary Level,,,,,,,,,,,,
1992,Lower Secondary Level,,,,,,,,,,,,
1992,Upper Secondary Level,,,,,,,,,,,,
1992,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1992,First Stage of Tertiary Education,,,,,,,,,,,,
1992,Second Stage of Tertiary Education,,,,,,,,,,,,
1993,Pre-primary Level,,,,,,,,,,,,
1993,Primary Level,,,,,,,,,,,,
1993,Lower Secondary Level,,,,,,,,,,,,
1993,Upper Secondary Level,,,,,,,,,,,,
1993,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1993,First Stage of Tertiary Education,,,,,,,,,,,,
1993,Second Stage of Tertiary Education,,,,,,,,,,,,
1994,Pre-primary Level,,,,,,,,,,,,
1994,Primary Level,,,,,,,,,,,,
1994,Lower Secondary Level,,,,,,,,,,,,
1994,Upper Secondary Level,,,,,,,,,,,,
1994,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1994,First Stage of Tertiary Education,,,,,,,,,,,,
1994,Second Stage of Tertiary Education,,,,,,,,,,,,
1995,Pre-primary Level,,,,,,,,,,,,
1995,Primary Level,,,,,,,,,,,,
1995,Lower Secondary Level,,,,,,,,,,,,
1995,Upper Secondary Level,,,,,,,,,,,,
1995,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1995,First Stage of Tertiary Education,,,,,,,,,,,,
1995,Second Stage of Tertiary Education,,,,,,,,,,,,
1996,Pre-primary Level,,,,,,,,,,,,
1996,Primary Level,,,,,,,,,,,,
1996,Lower Secondary Level,,,,,,,,,,,,
1996,Upper Secondary Level,,,,,,,,,,,,
1996,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1996,First Stage of Tertiary Education,,,,,,,,,,,,
1996,Second Stage of Tertiary Education,,,,,,,,,,,,
1997,Pre-primary Level,,,,,,,,,,,,
1997,Primary Level,,,,,,,,,,,,
1997,Lower Secondary Level,,,,,,,,,,,,
1997,Upper Secondary Level,,,,,,,,,,,,
1997,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1997,First Stage of Tertiary Education,,,,,,,,,,,,
1997,Second Stage of Tertiary Education,,,,,,,,,,,,
1998,Pre-primary Level,,,,,,,,,,,,
1998,Primary Level,,,,,,,,,,,,
1998,Lower Secondary Level,,,,,,,,,,,,
1998,Upper Secondary Level,,,,,,,,,,,,
1998,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1998,First Stage of Tertiary Education,,,,,,,,,,,,
1998,Second Stage of Tertiary Education,,,,,,,,,,,,
1999,Pre-primary Level,,,,,,,,,,,,
1999,Primary Level,,,,,,,,,,,,
1999,Lower Secondary Level,,,,,,,,,,,,
1999,Upper Secondary Level,,,,,,,,,,,,
1999,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1999,First Stage of Tertiary Education,,,,,,,,,,,,
1999,Second Stage of Tertiary Education,,,,,,,,,,,,
2000,Pre-primary Level,,,,,,,,,,,,
2000,Primary Level,,,,,,,,,,,,
2000,Lower Secondary Level,,,,,,,,,,,,
2000,Upper Secondary Level,,,,,,,,,,,,
2000,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2000,First Stage of Tertiary Education,,,,,,,,,,,,
2000,Second Stage of Tertiary Education,,,,,,,,,,,,
2001,Pre-primary Level,,,,,,,,,,,,
2001,Primary Level,,,,,,,,,,,,
2001,Lower Secondary Level,,,,,,,,,,,,
2001,Upper Secondary Level,,,,,,,,,,,,
2001,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2001,First Stage of Tertiary Education,,,,,,,,,,,,
2001,Second Stage of Tertiary Education,,,,,,,,,,,,
2002,Pre-primary Level,327,67.54588609954908,66.88426110711644,68.20751109198171,60.0,65.0,75.0,37.5,97.5,65.0,60.974999999999994,66.0
2002,Primary Level,285,73.4904341201355,72.7353006689324,74.24556757133861,65.0,74.0,80.0,43.0,102.5,74.0,73.0,78.0
2002,Lower Secondary Level,2771,72.16874815059381,71.91537633640678,72.42211996478085,62.0,70.0,80.0,35.0,107.0,70.0,69.0,70.0
2002,Upper Secondary Level,11484,75.14508582954481,75.0131313962701,75.27704026281953,65.0,75.0,84.0,36.5,112.5,75.0,75.0,76.0
2002,Post-secondary Non-tertiary Level,1158,72.90449984762401,72.47777980145287,73.33121989379515,61.0,72.0,82.0,44.0,113.5,72.0,71.0,74.0
2002,First Stage of Tertiary Education,1729,77.55442041054785,77.20784931855184,77.90099150254386,66.0,77.0,87.0,36.0,118.5,77.0,75.0,79.0
2002,Second Stage of Tertiary Education,4535,75.80502948512347,75.6023655315436,76.00769343870334,65.0,75.0,85.0,40.0,115.0,75.0,74.0,75.0
2003,Pre-primary Level,,,,,,,,,,,,
2003,Primary Level,,,,,,,,,,,,
2003,Lower Secondary Level,,,,,,,,,,,,
2003,Upper Secondary Level,,,,,,,,,,,,
2003,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2003,First Stage of Tertiary Education,,,,,,,,,,,,
2003,Second Stage of Tertiary Education,,,,,,,,,,,,
2004,Pre-primary Level,346,67.06863927415085,66.42184428737379,67.71543426092792,58.0,65.0,75.0,42.0,100.5,65.0,62.974999999999994,66.0
2004,Primary Level,251,73.95718598694081,73.20486759215913,74.7095043817225,65.0,74.61363298669694,80.0,42.5,102.5,75.0,74.0,78.0
2004,Lower Secondary Level,2465,73.17700606692699,72.88578583783743,73.46822629601655,63.0,72.0,80.0,37.5,105.5,72.0,71.0,74.0
2004,Upper Secondary Level,10665,75.89390597614073,75.75353791230498,76.03427403997648,65.0,75.0,85.0,38.0,115.0,75.0,75.0,75.0
2004,Post-secondary Non-tertiary Level,1141,73.18816400986468,72.7779799209287,73.59834809880066,62.0,72.0,83.0,43.0,114.5,72.0,70.0,74.0
2004,First Stage of Tertiary Education,1625,78.27287493219022,77.90598271663858,78.63976714774186,66.0,78.0,88.0,36.0,121.0,78.0,76.975,79.0
2004,Second Stage of Tertiary Education,4267,76.11375732483212,75.90104569782277,76.32646895184148,65.0,75.0,85.0,38.0,115.0,75.0,74.0,75.0
2005,Pre-primary Level,,,,,,,,,,,,
2005,Primary Level,,,,,,,,,,,,
2005,Lower Secondary Level,,,,,,,,,,,,
2005,Upper Secondary Level,,,,,,,,,,,,
2005,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2005,First Stage of Tertiary Education,,,,,,,,,,,,
2005,Second Stage of Tertiary Education,,,,,,,,,,,,
2006,Pre-primary Level,371,67.11094989618518,66.49055624957202,67.73134354279833,60.0,65.0,75.0,45.0,97.5,65.0,62.0,67.0
2006,Primary Level,240,75.1148607754271,74.24364983357619,75.98607171727802,65.0,75.0,84.0,46.0,112.5,75.0,73.0,78.025
2006,Lower Secondary Level,2442,73.80997778801145,73.50355186550824,74.11640371051466,63.0,72.0,82.0,34.5,110.5,72.0,72.0,74.0
2006,Upper Secondary Level,10959,76.72362125539476,76.58135961600556,76.86588289478397,65.0,75.0,85.0,35.0,115.0,75.0,74.0,75.0
2006,Post-secondary Non-tertiary Level,1205,74.0237420746108,73.6066260211365,74.44085812808508,62.0,73.0,83.0,42.0,114.5,73.0,71.0,74.0
2006,First Stage of Tertiary Education,1635,78.86753344175904,78.48178100694598,79.2532858765721,67.0,78.0,89.0,37.0,122.0,78.0,77.0,79.0
2006,Second Stage of Tertiary Education,4554,76.4150411657005,76.20275885361639,76.62732347778461,65.0,75.0,85.0,38.0,115.0,75.0,74.0,75.0
2007,Pre-primary Level,,,,,,,,,,,,
2007,Primary Level,,,,,,,,,,,,
2007,Lower Secondary Level,,,,,,,,,,,,
2007,Upper Secondary Level,,,,,,,,,,,,
2007,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2007,First Stage of Tertiary Education,,,,,,,,,,,,
2007,Second Stage of Tertiary Education,,,,,,,,,,,,
2008,Pre-primary Level,351,68.68879684168468,68.02478098838299,69.35281269498637,60.0,68.0,78.0,43.0,105.0,68.0,66.0,71.0
2008,Primary Level,182,75.45670868669708,74.45928460232491,76.45413277106925,65.0,74.0,85.0,45.0,115.0,74.0,70.0,78.0
2008,Lower Secondary Level,1975,74.46101837918859,74.11942343168295,74.80261332669423,64.0,72.0,82.0,38.0,109.0,72.0,70.975,74.0
2008,Upper Secondary Level,9621,77.34674771018803,77.18866269699129,77.50483272338477,65.0,76.0,86.0,35.0,117.5,76.0,75.975,77.0
2008,Post-secondary Non-tertiary Level,1076,75.01472249741764,74.55376575824431,75.47567923659096,63.0,74.0,84.0,44.0,115.5,74.0,73.0,76.0
2008,First Stage of Tertiary Education,1405,80.35654715883823,79.91435399941707,80.79874031825938,68.0,80.0,90.0,36.0,123.0,80.0,80.0,81.0
2008,Second Stage of Tertiary Education,4168,76.97283316573778,76.74709732486873,77.19856900660683,65.0,76.0,86.0,38.0,117.5,76.0,75.0,77.0
2009,Pre-primary Level,,,,,,,,,,,,
2009,Primary Level,,,,,,,,,,,,
2009,Lower Secondary Level,,,,,,,,,,,,
2009,Upper Secondary Level,,,,,,,,,,,,
2009,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2009,First Stage of Tertiary Education,,,,,,,,,,,,
2009,Second Stage of Tertiary Education,,,,,,,,,,,,
2010,Pre-primary Level,271,70.27771603509319,69.36707116420051,71.18836090598587,59.0,68.0,79.0,40.0,109.0,68.0,62.0,72.0
2010,Primary Level,136,77.40302541729451,75.9649177460411,78.84113308854793,65.0,75.0,87.0,47.0,120.0,75.0,70.0,80.0
2010,Lower Secondary Level,1581,74.78604321724625,74.39296699896185,75.17911943553064,64.0,72.0,83.0,36.0,111.5,72.0,70.0,73.025
2010,Upper Secondary Level,8208,78.12089577143337,77.93899930793687,78.30279223492987,66.0,76.0,87.0,35.0,118.5,76.0,75.0,77.0
2010,Post-secondary Non-tertiary Level,932,76.04000963653706,75.519589701896,76.56042957117813,63.0,74.0,86.0,44.0,120.5,74.0,73.0,77.0
2010,First Stage of Tertiary Education,1243,80.87130171863012,80.39647657486177,81.34612686239848,68.0,80.0,90.0,37.0,123.0,80.0,79.0,81.0
2010,Second Stage of Tertiary Education,3814,77.18459617708945,76.9449216199244,77.42427073425449,65.0,75.0,86.0,40.0,117.5,75.0,73.0,75.0
2011,Pre-primary Level,,,,,,,,,,,,
2011,Primary Level,,,,,,,,,,,,
2011,Lower Secondary Level,,,,,,,,,,,,
2011,Upper Secondary Level,,,,,,,,,,,,
2011,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2011,First Stage of Tertiary Education,,,,,,,,,,,,
2011,Second Stage of Tertiary Education,,,,,,,,,,,,
2012,Pre-primary Level,280,66.59080762683756,65.83822751365949,67.34338774001563,58.0,64.0,74.0,34.0,98.0,64.0,62.974999999999994,66.0
2012,Primary Level,226,77.54613283104167,76.35070672777185,78.7415589343115,65.0,72.75164840529841,87.74381323270501,45.0,121.85953308176252,73.0,66.0,76.0
2012,Lower Secondary Level,2067,75.72677367373363,75.38887042559921,76.06467692186806,65.0,73.0,85.0,39.0,115.0,73.0,71.0,74.0
2012,Upper Secondary Level,10154,78.25895635466351,78.09841245493435,78.41950025439267,65.6840967208169,77.0,88.0,32.21024180204224,121.47385491877466,77.0,76.0,78.0
2012,Post-secondary Non-tertiary Level,1186,76.55458996491507,76.07792646556896,77.03125346426117,64.0,75.0,85.0,39.0,116.5,75.0,74.0,77.0
