year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,n
1984,,,,,,,,,
1985,,,,,,,,,
1986,,,,,,,,,
1987,,,,,,,,,
1988,,,,,,,,,
1989,,,,,,,,,
1990,,,,,,,,,
1991,,,,,,,,,
1992,,,,,,,,,
1993,,,,,,,,,
1994,,,,,,,,,
1995,,,,,,,,,
1996,,,,,,,,,
1997,,,,,,,,,
1998,,,,,,,,,
1999,,,,,,,,,
2000,,,,,,,,,
2001,,,,,,,,,
2002,74.61180,74.42000,74.80360,64.00000,74.00000,84.00000,34.00000,114.00000,22831.00000
2003,,,,,,,,,
2004,75.24493,75.04121,75.44866,65.00000,75.00000,85.00000,35.00000,115.00000,21377.00000
2005,,,,,,,,,
2006,75.91761,75.71085,76.12437,65.00000,75.00000,85.00000,35.00000,115.00000,22057.00000
2007,,,,,,,,,
2008,76.58783,76.35911,76.81654,65.00000,75.00000,85.00000,35.00000,115.00000,19362.00000
2009,,,,,,,,,
2010,77.25877,77.00244,77.51510,65.00000,75.00000,86.00000,33.50000,117.50000,16830.00000
2011,,,,,,,,,
2012,77.36520,77.13664,77.59376,65.00000,75.00000,87.00000,32.00000,120.00000,20744.00000
2013,,,,,,,,,
2014,77.69989,77.49592,77.90387,65.00000,76.00000,88.00000,30.50000,122.50000,27271.00000
2015,,,,,,,,,
2016,78.26486,78.04382,78.48590,65.00000,76.00000,88.00000,30.50000,122.50000,24279.00000
2017,,,,,,,,,
2018,78.70089,78.49382,78.90795,65.00000,77.00000,89.00000,30.00000,125.00000,28754.00000
2019,,,,,,,,,
2020,79.36407,79.14022,79.58791,66.00000,78.00000,90.00000,36.00000,126.00000,25740.00000
2021,,,,,,,,,
2022,78.80274,78.58487,79.02061,65.00000,77.00000,89.00000,29.00000,125.00000,27515.00000
