year,quintil_oecd_hh,regtyp,hlf0613,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2016,1st Quintile,Urban regions,Yes,0.44245,1297,16356,0,0.40926,0,0.48344
2016,1st Quintile,Urban regions,No,0.55755,2099,16356,0,0.51979,0,0.59923
2016,1st Quintile,Rural regions,Yes,0.38760,646,16356,0,0.33925,0,0.43057
2016,1st Quintile,Rural regions,No,0.61240,1113,16356,0,0.55985,0,0.66486
2016,2nd Quintile,Urban regions,Yes,0.51988,1095,16356,0,0.48921,0,0.54685
2016,2nd Quintile,Urban regions,No,0.48012,808,16356,0,0.44844,0,0.51767
2016,2nd Quintile,Rural regions,Yes,0.45328,614,16356,0,0.41792,0,0.49270
2016,2nd Quintile,Rural regions,No,0.54672,575,16356,0,0.50319,0,0.59487
2016,3rd Quintile,Urban regions,Yes,0.61248,1111,16356,0,0.57143,0,0.65555
2016,3rd Quintile,Urban regions,No,0.38752,594,16356,0,0.35900,0,0.41838
2016,3rd Quintile,Rural regions,Yes,0.57767,632,16356,0,0.52978,0,0.63551
2016,3rd Quintile,Rural regions,No,0.42233,403,16356,0,0.37562,0,0.46137
2016,4th Quintile,Urban regions,Yes,0.68607,1320,16356,0,0.64506,0,0.71758
2016,4th Quintile,Urban regions,No,0.31393,447,16356,0,0.28664,0,0.33919
2016,4th Quintile,Rural regions,Yes,0.66252,616,16356,0,0.61006,0,0.71500
2016,4th Quintile,Rural regions,No,0.33748,269,16356,0,0.30242,0,0.38019
2016,5th Quintile,Urban regions,Yes,0.78485,1626,16356,0,0.74802,0,0.82237
2016,5th Quintile,Urban regions,No,0.21515,392,16356,0,0.19730,0,0.23779
2016,5th Quintile,Rural regions,Yes,0.70217,531,16356,0,0.63797,0,0.76051
2016,5th Quintile,Rural regions,No,0.29783,168,16356,0,0.24671,0,0.34343
2017,1st Quintile,Urban regions,Yes,0.47876,1449,18185,0,0.44071,0,0.51808
2017,1st Quintile,Urban regions,No,0.52124,2244,18185,0,0.48532,0,0.55925
2017,1st Quintile,Rural regions,Yes,0.44024,692,18185,0,0.39298,0,0.49262
2017,1st Quintile,Rural regions,No,0.55976,1231,18185,0,0.51062,0,0.60477
2017,2nd Quintile,Urban regions,Yes,0.54763,1198,18185,0,0.51593,0,0.58290
2017,2nd Quintile,Urban regions,No,0.45237,832,18185,0,0.42224,0,0.48859
2017,2nd Quintile,Rural regions,Yes,0.50742,724,18185,0,0.46988,0,0.55323
2017,2nd Quintile,Rural regions,No,0.49258,574,18185,0,0.45463,0,0.53418
2017,3rd Quintile,Urban regions,Yes,0.65568,1320,18185,0,0.62023,0,0.69496
2017,3rd Quintile,Urban regions,No,0.34432,582,18185,0,0.31671,0,0.37097
2017,3rd Quintile,Rural regions,Yes,0.61864,795,18185,0,0.57233,0,0.66020
2017,3rd Quintile,Rural regions,No,0.38136,390,18185,0,0.34327,0,0.42061
2017,4th Quintile,Urban regions,Yes,0.70909,1532,18185,0,0.67596,0,0.74236
2017,4th Quintile,Urban regions,No,0.29091,471,18185,0,0.26883,0,0.31856
2017,4th Quintile,Rural regions,Yes,0.67918,731,18185,0,0.62110,0,0.73551
2017,4th Quintile,Rural regions,No,0.32082,307,18185,0,0.27802,0,0.35794
2017,5th Quintile,Urban regions,Yes,0.80493,1912,18185,0,0.75998,0,0.84874
2017,5th Quintile,Urban regions,No,0.19507,404,18185,0,0.17787,0,0.21441
2017,5th Quintile,Rural regions,Yes,0.77236,642,18185,0,0.71646,0,0.83165
2017,5th Quintile,Rural regions,No,0.22764,155,18185,0,0.19298,0,0.26060
2018,1st Quintile,Urban regions,Yes,0.47734,1534,17687,0,0.44603,0,0.51070
2018,1st Quintile,Urban regions,No,0.52266,2000,17687,0,0.48053,0,0.55770
2018,1st Quintile,Rural regions,Yes,0.39079,671,17687,0,0.35202,0,0.43410
2018,1st Quintile,Rural regions,No,0.60921,1086,17687,0,0.54371,0,0.67162
2018,2nd Quintile,Urban regions,Yes,0.60389,1341,17687,0,0.56648,0,0.63961
2018,2nd Quintile,Urban regions,No,0.39611,868,17687,0,0.36480,0,0.42821
2018,2nd Quintile,Rural regions,Yes,0.54941,773,17687,0,0.50192,0,0.59438
2018,2nd Quintile,Rural regions,No,0.45059,551,17687,0,0.40813,0,0.49900
2018,3rd Quintile,Urban regions,Yes,0.65877,1322,17687,0,0.62571,0,0.69827
2018,3rd Quintile,Urban regions,No,0.34123,543,17687,0,0.31363,0,0.36876
2018,3rd Quintile,Rural regions,Yes,0.65501,763,17687,0,0.60282,0,0.70684
2018,3rd Quintile,Rural regions,No,0.34499,337,17687,0,0.30323,0,0.38004
2018,4th Quintile,Urban regions,Yes,0.74650,1487,17687,0,0.70235,0,0.78654
2018,4th Quintile,Urban regions,No,0.25350,445,17687,0,0.22961,0,0.27235
2018,4th Quintile,Rural regions,Yes,0.69134,695,17687,0,0.64046,0,0.73867
2018,4th Quintile,Rural regions,No,0.30866,256,17687,0,0.27100,0,0.35250
2018,5th Quintile,Urban regions,Yes,0.83013,1883,17687,0,0.78870,0,0.86933
2018,5th Quintile,Urban regions,No,0.16987,358,17687,0,0.15312,0,0.18686
2018,5th Quintile,Rural regions,Yes,0.81632,637,17687,0,0.76011,0,0.87685
2018,5th Quintile,Rural regions,No,0.18368,137,17687,0,0.15908,0,0.21959
2019,1st Quintile,Urban regions,Yes,0.53912,1037,15655,0,0.50461,0,0.57430
2019,1st Quintile,Urban regions,No,0.46088,769,15655,0,0.42266,0,0.49856
2019,1st Quintile,Rural regions,Yes,0.46045,487,15655,0,0.41351,0,0.50552
2019,1st Quintile,Rural regions,No,0.53955,520,15655,0,0.48539,0,0.59237
2019,2nd Quintile,Urban regions,Yes,0.59668,1129,15655,0,0.55821,0,0.63281
2019,2nd Quintile,Urban regions,No,0.40332,626,15655,0,0.36961,0,0.44271
2019,2nd Quintile,Rural regions,Yes,0.60220,722,15655,0,0.55242,0,0.66127
2019,2nd Quintile,Rural regions,No,0.39780,422,15655,0,0.35864,0,0.44903
2019,3rd Quintile,Urban regions,Yes,0.69805,1285,15655,0,0.66461,0,0.73591
2019,3rd Quintile,Urban regions,No,0.30195,470,15655,0,0.27516,0,0.32849
2019,3rd Quintile,Rural regions,Yes,0.67813,764,15655,0,0.62617,0,0.73396
2019,3rd Quintile,Rural regions,No,0.32187,318,15655,0,0.29176,0,0.36265
2019,4th Quintile,Urban regions,Yes,0.73747,1481,15655,0,0.69547,0,0.78358
2019,4th Quintile,Urban regions,No,0.26253,407,15655,0,0.23777,0,0.28660
2019,4th Quintile,Rural regions,Yes,0.74246,772,15655,0,0.68343,0,0.80450
2019,4th Quintile,Rural regions,No,0.25754,226,15655,0,0.22021,0,0.29679
2019,5th Quintile,Urban regions,Yes,0.81749,2610,15655,0,0.76595,0,0.86186
2019,5th Quintile,Urban regions,No,0.18251,475,15655,0,0.16291,0,0.20944
2019,5th Quintile,Rural regions,Yes,0.79159,932,15655,0,0.71701,0,0.86841
2019,5th Quintile,Rural regions,No,0.20841,203,15655,0,0.16834,0,0.25903
2021,1st Quintile,Urban regions,Yes,0.37556,922,12488,0,0.33785,0,0.41968
2021,1st Quintile,Urban regions,No,0.62444,1394,12488,0,0.56465,0,0.67996
2021,1st Quintile,Rural regions,Yes,0.35730,324,12488,0,0.29992,0,0.41285
