year,regtyp,rentown,hlf0613,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Urban regions,Not included in this version of the questionnaire,Yes,0.31122,376,1448,0.28737,0.33508
2016,Urban regions,Not included in this version of the questionnaire,No,0.68878,1072,1448,0.66492,0.71263
2016,Urban regions,Owner,Yes,0.65599,2647,3766,0.64081,0.67116
2016,Urban regions,Owner,No,0.34401,1119,3766,0.32884,0.35919
2016,Urban regions,Tenant,Yes,0.58540,3436,5590,0.57249,0.59832
2016,Urban regions,Tenant,No,0.41460,2154,5590,0.40168,0.42751
2016,Rural regions,Not included in this version of the questionnaire,Yes,0.30051,189,650,0.26523,0.33578
2016,Rural regions,Not included in this version of the questionnaire,No,0.69949,461,650,0.66422,0.73477
2016,Rural regions,Owner,Yes,0.56575,1560,2522,0.54640,0.58510
2016,Rural regions,Owner,No,0.43425,962,2522,0.41490,0.45360
2016,Rural regions,Tenant,Yes,0.52678,1282,2383,0.50673,0.54683
2016,Rural regions,Tenant,No,0.47322,1101,2383,0.45317,0.49327
2017,Urban regions,Not included in this version of the questionnaire,Yes,0.17795,97,526,0.14523,0.21067
2017,Urban regions,Not included in this version of the questionnaire,No,0.82205,429,526,0.78933,0.85477
2017,Urban regions,Owner,Yes,0.68557,3140,4253,0.67162,0.69953
2017,Urban regions,Owner,No,0.31443,1113,4253,0.30047,0.32838
2017,Urban regions,Tenant,Yes,0.61278,4202,7223,0.60154,0.62401
2017,Urban regions,Tenant,No,0.38722,3021,7223,0.37599,0.39846
2017,Rural regions,Not included in this version of the questionnaire,Yes,0.20750,61,272,0.15922,0.25578
2017,Rural regions,Not included in this version of the questionnaire,No,0.79250,211,272,0.74422,0.84078
2017,Rural regions,Owner,Yes,0.62378,1861,2796,0.60582,0.64174
2017,Rural regions,Owner,No,0.37622,935,2796,0.35826,0.39418
2017,Rural regions,Tenant,Yes,0.55690,1654,3163,0.53959,0.57422
2017,Rural regions,Tenant,No,0.44310,1509,3163,0.42578,0.46041
2018,Urban regions,Owner,Yes,0.72012,3088,4074,0.70633,0.73391
2018,Urban regions,Owner,No,0.27988,986,4074,0.26609,0.29367
2018,Urban regions,Tenant,Yes,0.62771,4527,7838,0.61701,0.63842
2018,Urban regions,Tenant,No,0.37229,3311,7838,0.36158,0.38299
2018,Rural regions,Owner,Yes,0.65476,1845,2673,0.63673,0.67279
2018,Rural regions,Owner,No,0.34524,828,2673,0.32721,0.36327
2018,Rural regions,Tenant,Yes,0.55704,1694,3250,0.53996,0.57412
2018,Rural regions,Tenant,No,0.44296,1556,3250,0.42588,0.46004
2019,No answer / don't know,Owner,Yes,0.74753,120,157,0.67936,0.81570
2019,No answer / don't know,Owner,No,0.25247,37,157,0.18430,0.32064
2019,No answer / don't know,Tenant,Yes,0.75433,238,310,0.70633,0.80233
2019,No answer / don't know,Tenant,No,0.24567,72,310,0.19767,0.29367
2019,Urban regions,Owner,Yes,0.72391,3697,4721,0.71115,0.73666
2019,Urban regions,Owner,No,0.27609,1024,4721,0.26334,0.28885
2019,Urban regions,Tenant,Yes,0.64851,3855,5584,0.63598,0.66103
2019,Urban regions,Tenant,No,0.35149,1729,5584,0.33897,0.36402
2019,Rural regions,Owner,Yes,0.67680,2179,2993,0.66004,0.69356
2019,Rural regions,Owner,No,0.32320,814,2993,0.30644,0.33996
2019,Rural regions,Tenant,Yes,0.61912,1489,2360,0.59952,0.63872
2019,Rural regions,Tenant,No,0.38088,871,2360,0.36128,0.40048
2021,Urban regions,Owner,Yes,0.53033,1866,3129,0.51284,0.54782
2021,Urban regions,Owner,No,0.46967,1263,3129,0.45218,0.48716
2021,Urban regions,Tenant,Yes,0.51336,2765,5465,0.50011,0.52662
2021,Urban regions,Tenant,No,0.48664,2700,5465,0.47338,0.49989
2021,Rural regions,Owner,Yes,0.49752,1081,1959,0.47537,0.51966
2021,Rural regions,Owner,No,0.50248,878,1959,0.48034,0.52463
2021,Rural regions,Tenant,Yes,0.47437,881,1978,0.45236,0.49638
2021,Rural regions,Tenant,No,0.52563,1097,1978,0.50362,0.54764
