,Unnamed: 0,year,sampreg,hlf0613,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2016,West,Yes,0.60423,7675,16360,0.58813,0.62187
1,1,2016,West,No,0.39577,5232,16360,0.38309,0.41188
2,2,2016,East,Yes,0.54243,1815,16360,0.51332,0.57816
3,3,2016,East,No,0.45757,1638,16360,0.43115,0.48568
4,4,2017,West,Yes,0.64194,8926,18233,0.62965,0.65673
5,5,2017,West,No,0.35806,5522,18233,0.34632,0.37072
6,6,2017,East,Yes,0.56238,2089,18233,0.53551,0.59299
7,7,2017,East,No,0.43762,1696,18233,0.41185,0.45913
8,8,2018,West,Yes,0.66698,9009,17835,0.65282,0.68489
9,9,2018,West,No,0.33302,5050,17835,0.32074,0.34485
10,10,2018,East,Yes,0.56862,2145,17835,0.53869,0.5961
11,11,2018,East,No,0.43138,1631,17835,0.40478,0.4588
12,12,2019,West,Yes,0.68796,9157,16062,0.67411,0.70619
13,13,2019,West,No,0.31204,3316,16062,0.30283,0.32282
14,14,2019,East,Yes,0.6081,2379,16062,0.57643,0.63694
15,15,2019,East,No,0.3919,1210,16062,0.36321,0.41999
16,16,2021,West,Yes,0.51465,5289,12535,0.49925,0.5357
17,17,2021,West,No,0.48535,4664,12535,0.46658,0.50408
18,18,2021,East,Yes,0.48802,1308,12535,0.45153,0.52318
19,19,2021,East,No,0.51198,1274,12535,0.47271,0.54977
