year,rentown,hlf0613,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2016,Owner,Yes,0.28845996529605916,4207,14301,0.2883205432247236,0.2885993873673947
2016,Owner,No,0.17370068860123924,2081,14301,0.17358409933950278,0.1738172778629757
2016,Tenant,Yes,0.3061779485169682,4718,14301,0.3060361080701831,0.30631978896375334
2016,Tenant,No,0.23166139758573345,3255,14301,0.23153156244605916,0.23179123272540775
2017,Owner,Yes,0.30729503881660564,5001,17481,0.30715402435590805,0.3074360532773032
2017,Owner,No,0.15538069610382158,2048,17481,0.15526997236039647,0.15549141984724668
2017,Tenant,Yes,0.3213333353461386,5856,17481,0.3211906044879147,0.32147606620436253
2017,Tenant,No,0.21599092973343428,4530,17481,0.21586515597819714,0.21611670348867143
2018,Owner,Yes,0.3241552720678963,4933,17878,0.32401245066601664,0.32429809346977595
2018,Owner,No,0.14063728972988843,1814,17878,0.14053121015312475,0.1407433693066521
2018,Tenant,Yes,0.3254034226292063,6221,17878,0.32526045872271125,0.32554638653570134
2018,Tenant,No,0.209804015573009,4867,17878,0.20967977381469682,0.2099282573313212
2019,Owner,Yes,0.33191828900045417,5996,18427,0.3317743185941251,0.33206225940678324
2019,Owner,No,0.13665580682562897,1875,18427,0.13655079241996096,0.136760821231297
2019,Tenant,Yes,0.34187736684625364,5582,18427,0.3417323456658173,0.34202238802669
2019,Tenant,No,0.18954853732766322,2672,18427,0.189428707048438,0.18966836760688843
2021,Owner,Yes,0.24615093532006746,2947,12563,0.24601973289903534,0.24628213774109958
2021,Owner,No,0.2293099737322677,2141,12563,0.2291819323820226,0.22943801508251277
2021,Tenant,Yes,0.2637171393704005,3647,12563,0.2635829276550038,0.26385135108579716
2021,Tenant,No,0.2608219515772644,3797,12563,0.2606882164472464,0.2609556867072824
