year,hhtyp,sampreg,hlf0613,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,West,Yes,0.56294,1652,2859,0.54476,0.58113
2016,Single-person household,West,No,0.43706,1207,2859,0.41887,0.45524
2016,Single-person household,East,Yes,0.52019,477,936,0.48816,0.55221
2016,Single-person household,East,No,0.47981,459,936,0.44779,0.51184
2016,Couple without children,West,Yes,0.63212,2038,3126,0.61521,0.64903
2016,Couple without children,West,No,0.36788,1088,3126,0.35097,0.38479
2016,Couple without children,East,Yes,0.50253,550,1022,0.47186,0.53320
2016,Couple without children,East,No,0.49747,472,1022,0.46680,0.52814
2016,Single parent,West,Yes,0.55736,720,1321,0.53056,0.58415
2016,Single parent,West,No,0.44264,601,1321,0.41585,0.46944
2016,Single parent,East,Yes,0.57156,198,382,0.52187,0.62125
2016,Single parent,East,No,0.42844,184,382,0.37875,0.47813
2016,Couple with children,West,Yes,0.65199,3048,5159,0.63899,0.66499
2016,Couple with children,West,No,0.34801,2111,5159,0.33501,0.36101
2016,Couple with children,East,Yes,0.65211,553,1028,0.62298,0.68125
2016,Couple with children,East,No,0.34789,475,1028,0.31875,0.37702
2016,Multi-generational household,West,Yes,0.54176,56,114,0.44989,0.63363
2016,Multi-generational household,West,No,0.45824,58,114,0.36637,0.55011
2016,Other Combinations,West,Yes,0.61164,161,328,0.55882,0.66447
2016,Other Combinations,West,No,0.38836,167,328,0.33553,0.44118
2017,Single-person household,West,Yes,0.59788,1948,3237,0.58098,0.61477
2017,Single-person household,West,No,0.40212,1289,3237,0.38523,0.41902
2017,Single-person household,East,Yes,0.53271,557,1047,0.50247,0.56294
2017,Single-person household,East,No,0.46729,490,1047,0.43706,0.49753
2017,Couple without children,West,Yes,0.66375,2414,3565,0.64824,0.67926
2017,Couple without children,West,No,0.33625,1151,3565,0.32074,0.35176
2017,Couple without children,East,Yes,0.52342,633,1136,0.49436,0.55247
2017,Couple without children,East,No,0.47658,503,1136,0.44753,0.50564
2017,Single parent,West,Yes,0.56819,758,1383,0.54207,0.59430
2017,Single parent,West,No,0.43181,625,1383,0.40570,0.45793
2017,Single parent,East,Yes,0.63128,212,376,0.58245,0.68011
2017,Single parent,East,No,0.36872,164,376,0.31989,0.41755
2017,Couple with children,West,Yes,0.70914,3509,5676,0.69732,0.72095
2017,Couple with children,West,No,0.29086,2167,5676,0.27905,0.30268
2017,Couple with children,East,Yes,0.68231,652,1137,0.65524,0.70939
