year,hhtyp,quintil_oecd_hh,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Single-person household,1st Quintile,No,0.99923,751,751,0.99723,1.00122
2009,Single-person household,2nd Quintile,No,0.99577,539,539,0.99029,1.00126
2009,Single-person household,4th Quintile,No,0.98500,460,460,0.97388,0.99612
2009,Single-person household,5th Quintile,No,0.99043,477,477,0.98169,0.99918
2009,Couple without children,1st Quintile,No,0.96227,361,361,0.94259,0.98195
2009,Couple without children,2nd Quintile,No,0.99027,593,593,0.98237,0.99818
2009,Couple without children,3rd Quintile,No,0.99352,595,595,0.98707,0.99997
2009,Couple without children,4th Quintile,No,0.98361,720,720,0.97433,0.99289
2009,Couple without children,5th Quintile,Yes,0.04482,50,1169,0.03295,0.05669
2009,Couple without children,5th Quintile,No,0.95518,1119,1169,0.94331,0.96705
2009,Single parent,2nd Quintile,No,0.98166,137,137,0.95910,1.00421
2009,Single parent,3rd Quintile,No,0.98191,103,103,0.95605,1.00778
2009,Couple with children,1st Quintile,No,0.99781,360,360,0.99297,1.00265
2009,Couple with children,2nd Quintile,No,0.98060,531,531,0.96886,0.99234
2009,Couple with children,3rd Quintile,No,0.97124,618,618,0.95805,0.98443
2009,Couple with children,4th Quintile,Yes,0.04614,33,699,0.03057,0.06170
2009,Couple with children,4th Quintile,No,0.95386,666,699,0.93830,0.96943
2009,Couple with children,5th Quintile,Yes,0.04831,45,690,0.03230,0.06432
2009,Couple with children,5th Quintile,No,0.95169,645,690,0.93568,0.96770
2010,Single-person household,1st Quintile,No,0.99422,706,706,0.98862,0.99981
2010,Single-person household,2nd Quintile,No,0.99527,545,545,0.98950,1.00104
2010,Single-person household,3rd Quintile,No,0.99322,493,493,0.98597,1.00047
2010,Single-person household,4th Quintile,No,0.98464,453,453,0.97330,0.99597
2010,Single-person household,5th Quintile,No,0.98957,444,444,0.98011,0.99903
2010,Couple without children,1st Quintile,No,0.98857,328,328,0.97706,1.00009
2010,Couple without children,2nd Quintile,No,0.99035,568,568,0.98230,0.99840
2010,Couple without children,3rd Quintile,No,0.99829,595,595,0.99496,1.00161
2010,Couple without children,4th Quintile,No,0.97675,697,697,0.96555,0.98794
2010,Couple without children,5th Quintile,Yes,0.04278,45,1119,0.03091,0.05464
2010,Couple without children,5th Quintile,No,0.95722,1074,1119,0.94536,0.96909
2010,Single parent,1st Quintile,No,0.99497,880,880,0.99029,0.99965
2010,Single parent,2nd Quintile,No,0.99047,415,415,0.98111,0.99983
2010,Single parent,3rd Quintile,No,0.98397,265,265,0.96882,0.99912
2010,Single parent,4th Quintile,No,0.99344,161,161,0.98094,1.00595
2010,Couple with children,1st Quintile,No,0.99252,1144,1144,0.98752,0.99751
2010,Couple with children,2nd Quintile,Yes,0.02278,46,1330,0.01475,0.03080
2010,Couple with children,2nd Quintile,No,0.97722,1284,1330,0.96920,0.98525
2010,Couple with children,3rd Quintile,Yes,0.03232,66,1134,0.02202,0.04262
2010,Couple with children,3rd Quintile,No,0.96768,1068,1134,0.95738,0.97798
2010,Couple with children,4th Quintile,Yes,0.05216,73,1068,0.03882,0.06550
2010,Couple with children,4th Quintile,No,0.94784,995,1068,0.93450,0.96118
2010,Couple with children,5th Quintile,Yes,0.07716,69,996,0.06058,0.09374
2010,Couple with children,5th Quintile,No,0.92284,927,996,0.90626,0.93942
2011,Single-person household,1st Quintile,No,0.99127,1013,1013,0.98553,0.99700
2011,Single-person household,2nd Quintile,No,0.99447,725,725,0.98906,0.99987
2011,Single-person household,3rd Quintile,No,0.99094,654,654,0.98367,0.99821
2011,Single-person household,4th Quintile,No,0.98910,544,544,0.98036,0.99783
2011,Single-person household,5th Quintile,No,0.98016,549,549,0.96849,0.99184
2011,Couple without children,1st Quintile,No,0.97840,467,467,0.96520,0.99160
2011,Couple without children,2nd Quintile,No,0.99185,712,712,0.98524,0.99846
2011,Couple without children,3rd Quintile,No,0.98735,788,788,0.97955,0.99516
2011,Couple without children,4th Quintile,No,0.96886,923,923,0.95765,0.98008
2011,Couple without children,5th Quintile,Yes,0.04939,65,1404,0.03805,0.06073
2011,Couple without children,5th Quintile,No,0.95061,1339,1404,0.93927,0.96195
2011,Single parent,1st Quintile,No,0.99614,1029,1029,0.99235,0.99993
2011,Single parent,2nd Quintile,No,0.99488,547,547,0.98889,1.00087
2011,Single parent,3rd Quintile,No,0.98723,364,364,0.97567,0.99878
2011,Single parent,4th Quintile,No,0.96991,213,213,0.94692,0.99291
2011,Single parent,5th Quintile,No,0.97087,117,117,0.94026,1.00147
2011,Couple with children,1st Quintile,No,0.99057,1088,1088,0.98483,0.99632
2011,Couple with children,2nd Quintile,Yes,0.02420,47,1360,0.01603,0.03237
2011,Couple with children,2nd Quintile,No,0.97580,1313,1360,0.96763,0.98397
2011,Couple with children,3rd Quintile,Yes,0.04444,75,1337,0.03339,0.05549
2011,Couple with children,3rd Quintile,No,0.95556,1262,1337,0.94451,0.96661
2011,Couple with children,4th Quintile,Yes,0.06629,106,1279,0.05265,0.07993
2011,Couple with children,4th Quintile,No,0.93371,1173,1279,0.92007,0.94735
2011,Couple with children,5th Quintile,Yes,0.08485,98,1071,0.06815,0.10154
2011,Couple with children,5th Quintile,No,0.91515,973,1071,0.89846,0.93185
2012,Single-person household,1st Quintile,No,0.99114,1075,1075,0.98554,0.99675
2012,Single-person household,2nd Quintile,No,0.99721,732,732,0.99339,1.00103
2012,Single-person household,3rd Quintile,No,0.99262,659,659,0.98608,0.99916
2012,Single-person household,4th Quintile,No,0.98715,607,607,0.97819,0.99612
2012,Single-person household,5th Quintile,No,0.96485,555,555,0.94952,0.98019
2012,Couple without children,1st Quintile,No,0.97535,458,458,0.96114,0.98957
2012,Couple without children,2nd Quintile,No,0.98324,729,729,0.97391,0.99256
2012,Couple without children,3rd Quintile,No,0.97928,828,828,0.96957,0.98899
2012,Couple without children,4th Quintile,Yes,0.03177,31,957,0.02065,0.04289
2012,Couple without children,4th Quintile,No,0.96823,926,957,0.95711,0.97935
2012,Couple without children,5th Quintile,Yes,0.05216,69,1431,0.04063,0.06368
2012,Couple without children,5th Quintile,No,0.94784,1362,1431,0.93632,0.95937
2012,Single parent,1st Quintile,No,0.99329,963,963,0.98813,0.99845
2012,Single parent,2nd Quintile,No,0.99483,537,537,0.98876,1.00090
2012,Single parent,3rd Quintile,No,0.99303,341,341,0.98418,1.00187
2012,Single parent,4th Quintile,No,0.97893,191,191,0.95851,0.99935
2012,Single parent,5th Quintile,No,0.98267,114,114,0.95861,1.00673
2012,Couple with children,1st Quintile,No,0.98745,999,999,0.98054,0.99436
2012,Couple with children,2nd Quintile,Yes,0.03406,50,1236,0.02395,0.04418
2012,Couple with children,2nd Quintile,No,0.96594,1186,1236,0.95582,0.97605
2012,Couple with children,3rd Quintile,Yes,0.04253,80,1297,0.03154,0.05352
2012,Couple with children,3rd Quintile,No,0.95747,1217,1297,0.94648,0.96846
2012,Couple with children,4th Quintile,Yes,0.07405,96,1212,0.05930,0.08880
2012,Couple with children,4th Quintile,No,0.92595,1116,1212,0.91120,0.94070
2012,Couple with children,5th Quintile,Yes,0.07122,87,1010,0.05535,0.08709
2012,Couple with children,5th Quintile,No,0.92878,923,1010,0.91291,0.94465
2013,Single-person household,1st Quintile,No,0.99073,1101,1101,0.98507,0.99639
2013,Single-person household,2nd Quintile,No,0.98796,827,827,0.98052,0.99540
2013,Single-person household,3rd Quintile,No,0.99612,674,674,0.99143,1.00082
2013,Single-person household,4th Quintile,No,0.97866,601,601,0.96709,0.99022
2013,Single-person household,5th Quintile,No,0.97618,590,590,0.96387,0.98850
2013,Couple without children,1st Quintile,No,0.98987,575,575,0.98167,0.99806
2013,Couple without children,2nd Quintile,No,0.97786,754,754,0.96735,0.98837
2013,Couple without children,3rd Quintile,No,0.98225,863,863,0.97344,0.99107
2013,Couple without children,4th Quintile,No,0.96736,942,942,0.95600,0.97871
2013,Couple without children,5th Quintile,Yes,0.05883,75,1437,0.04666,0.07100
2013,Couple without children,5th Quintile,No,0.94117,1362,1437,0.92900,0.95334
2013,Single parent,1st Quintile,No,0.99415,1005,1005,0.98943,0.99886
2013,Single parent,2nd Quintile,No,0.98386,579,579,0.97358,0.99413
2013,Single parent,3rd Quintile,No,0.97891,326,326,0.96328,0.99453
2013,Single parent,4th Quintile,No,0.99100,183,183,0.97728,1.00472
2013,Single parent,5th Quintile,No,0.97697,115,115,0.94943,1.00450
2013,Couple with children,1st Quintile,No,0.98951,1341,1341,0.98406,0.99497
2013,Couple with children,2nd Quintile,Yes,0.02226,47,1548,0.01491,0.02962
2013,Couple with children,2nd Quintile,No,0.97774,1501,1548,0.97038,0.98509
2013,Couple with children,3rd Quintile,Yes,0.04838,81,1400,0.03713,0.05962
2013,Couple with children,3rd Quintile,No,0.95162,1319,1400,0.94038,0.96287
2013,Couple with children,4th Quintile,Yes,0.06909,102,1270,0.05514,0.08304
2013,Couple with children,4th Quintile,No,0.93091,1168,1270,0.91696,0.94486
2013,Couple with children,5th Quintile,Yes,0.07161,94,1064,0.05611,0.08711
2013,Couple with children,5th Quintile,No,0.92839,970,1064,0.91289,0.94389
2013,Multi-generational household,1st Quintile,No,0.99509,45,45,0.97442,1.01575
2013,Multi-generational household,2nd Quintile,No,0.98380,33,33,0.94006,1.02754
2013,Other Combinations,1st Quintile,No,0.99676,127,127,0.98684,1.00668
2013,Other Combinations,3rd Quintile,No,0.98391,59,59,0.95152,1.01629
2013,Other Combinations,4th Quintile,No,0.87831,47,47,0.78383,0.97279
2014,Single-person household,1st Quintile,No,0.98607,1023,1023,0.97888,0.99325
2014,Single-person household,2nd Quintile,No,0.99106,723,723,0.98419,0.99792
2014,Single-person household,3rd Quintile,No,0.98442,640,640,0.97482,0.99402
2014,Single-person household,4th Quintile,No,0.96929,564,564,0.95504,0.98354
2014,Single-person household,5th Quintile,No,0.96669,554,554,0.95173,0.98164
2014,Couple without children,1st Quintile,No,0.98469,486,486,0.97377,0.99562
2014,Couple without children,2nd Quintile,No,0.98760,736,736,0.97960,0.99560
2014,Couple without children,3rd Quintile,No,0.97219,821,821,0.96093,0.98344
2014,Couple without children,4th Quintile,Yes,0.05027,43,931,0.03623,0.06431
2014,Couple without children,4th Quintile,No,0.94973,888,931,0.93569,0.96377
2014,Couple without children,5th Quintile,Yes,0.06633,82,1346,0.05303,0.07963
2014,Couple without children,5th Quintile,No,0.93367,1264,1346,0.92037,0.94697
2014,Single parent,1st Quintile,No,0.99221,798,798,0.98611,0.99831
2014,Single parent,2nd Quintile,No,0.98657,431,431,0.97569,0.99745
2014,Single parent,3rd Quintile,No,0.98506,302,302,0.97136,0.99877
2014,Single parent,4th Quintile,No,0.98987,167,167,0.97464,1.00510
