year,regtyp,rentown,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,Owner,Yes,0.02327,87,3023,0.01789,0.02864
2009,Urban regions,Owner,No,0.97673,2936,3023,0.97136,0.98211
2009,Urban regions,Tenant,No,0.99685,3498,3498,0.99500,0.99871
2009,Rural regions,Owner,Yes,0.04632,94,1904,0.03687,0.05576
2009,Rural regions,Owner,No,0.95368,1810,1904,0.94424,0.96313
2009,Rural regions,Tenant,No,0.98842,1467,1467,0.98295,0.99390
2010,Urban regions,Owner,Yes,0.02796,162,3797,0.02271,0.03320
2010,Urban regions,Owner,No,0.97204,3635,3797,0.96680,0.97729
2010,Urban regions,Tenant,Yes,0.00458,49,5213,0.00274,0.00641
2010,Urban regions,Tenant,No,0.99542,5164,5213,0.99359,0.99726
2010,Rural regions,Owner,Yes,0.04722,158,2487,0.03889,0.05556
2010,Rural regions,Owner,No,0.95278,2329,2487,0.94444,0.96111
2010,Rural regions,Tenant,No,0.99127,2178,2178,0.98736,0.99517
2011,Urban regions,Owner,Yes,0.04041,248,4603,0.03472,0.04610
2011,Urban regions,Owner,No,0.95959,4355,4603,0.95390,0.96528
2011,Urban regions,Tenant,Yes,0.00551,55,6118,0.00366,0.00737
2011,Urban regions,Tenant,No,0.99449,6063,6118,0.99263,0.99634
2011,Rural regions,Owner,Yes,0.05119,201,3090,0.04341,0.05896
2011,Rural regions,Owner,No,0.94881,2889,3090,0.94104,0.95659
2011,Rural regions,Tenant,Yes,0.01372,35,2737,0.00936,0.01808
2011,Rural regions,Tenant,No,0.98628,2702,2737,0.98192,0.99064
2012,Urban regions,Owner,Yes,0.04616,262,4503,0.04003,0.05229
2012,Urban regions,Owner,No,0.95384,4241,4503,0.94771,0.95997
2012,Urban regions,Tenant,Yes,0.00690,60,5924,0.00479,0.00901
2012,Urban regions,Tenant,No,0.99310,5864,5924,0.99099,0.99521
2012,Rural regions,Owner,Yes,0.05374,192,3078,0.04577,0.06171
2012,Rural regions,Owner,No,0.94626,2886,3078,0.93829,0.95423
2012,Rural regions,Tenant,No,0.98878,2744,2744,0.98483,0.99272
2013,Urban regions,Owner,Yes,0.04416,276,4680,0.03828,0.05005
