,Unnamed: 0,year,pgisced97,sex,plh0190,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,Lower Secondary Level,male,Disagree,0.44322,43,3193,0.37854,0.50863
1,1,1990,Lower Secondary Level,male,Disagree completely,0.55678,48,3193,0.50953,0.60752
2,2,1990,Lower Secondary Level,female,Disagree,0.34194,40,3193,0.28964,0.4047
3,3,1990,Lower Secondary Level,female,Disagree completely,0.65806,76,3193,0.60113,0.73328
4,4,1990,Upper Secondary Level,male,Agree completely,0.06575,71,3193,0.05916,0.0743
5,5,1990,Upper Secondary Level,male,Agree,0.106,117,3193,0.09887,0.11394
6,6,1990,Upper Secondary Level,male,Disagree,0.29452,311,3193,0.28216,0.30622
7,7,1990,Upper Secondary Level,male,Disagree completely,0.53373,554,3193,0.51877,0.55413
8,8,1990,Upper Secondary Level,female,Agree completely,0.05245,53,3193,0.0466,0.05944
9,9,1990,Upper Secondary Level,female,Agree,0.10217,96,3193,0.09363,0.10919
10,10,1990,Upper Secondary Level,female,Disagree,0.2992,289,3193,0.28454,0.31247
11,11,1990,Upper Secondary Level,female,Disagree completely,0.54618,523,3193,0.53066,0.56374
12,12,1990,First Stage of Tertiary Education,male,Disagree,0.27859,47,3193,0.25316,0.30537
13,13,1990,First Stage of Tertiary Education,male,Disagree completely,0.72141,113,3193,0.67938,0.77039
14,14,1990,Second Stage of Tertiary Education,male,Agree,0.10509,39,3193,0.09033,0.1223
15,15,1990,Second Stage of Tertiary Education,male,Disagree,0.34334,142,3193,0.32082,0.37048
16,16,1990,Second Stage of Tertiary Education,male,Disagree completely,0.55157,208,3193,0.52096,0.58274
17,17,1990,Second Stage of Tertiary Education,female,Agree,0.1205,49,3193,0.09939,0.15283
18,18,1990,Second Stage of Tertiary Education,female,Disagree,0.30138,131,3193,0.28632,0.31859
19,19,1990,Second Stage of Tertiary Education,female,Disagree completely,0.57812,243,3193,0.54696,0.60711
20,20,1991,Lower Secondary Level,male,Disagree,0.40178,37,3471,0.34354,0.46119
21,21,1991,Lower Secondary Level,male,Disagree completely,0.59822,48,3471,0.51187,0.69126
22,22,1991,Lower Secondary Level,female,Disagree,0.42357,99,3471,0.37856,0.46486
23,23,1991,Lower Secondary Level,female,Disagree completely,0.57643,119,3471,0.53249,0.62571
24,24,1991,Upper Secondary Level,male,Agree completely,0.06393,72,3471,0.0572,0.07329
25,25,1991,Upper Secondary Level,male,Agree,0.10428,116,3471,0.09584,0.11204
26,26,1991,Upper Secondary Level,male,Disagree,0.286,324,3471,0.27237,0.3042
