,Unnamed: 0,year,sex,plh0190,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,male,Agree completely,0.05692,106,3421,0.05307,0.06168
1,1,1990,male,Agree,0.10367,189,3421,0.09607,0.10985
2,2,1990,male,Disagree,0.30583,565,3421,0.29607,0.31492
3,3,1990,male,Disagree completely,0.53358,939,3421,0.51812,0.54633
4,4,1990,female,Agree completely,0.05318,91,3421,0.04949,0.05762
5,5,1990,female,Agree,0.1056,170,3421,0.0979,0.11334
6,6,1990,female,Disagree,0.29084,477,3421,0.28124,0.30172
7,7,1990,female,Disagree completely,0.55039,884,3421,0.53914,0.56601
8,8,1991,male,Agree completely,0.0569,108,3746,0.05122,0.06248
9,9,1991,male,Agree,0.10593,195,3746,0.09922,0.11307
10,10,1991,male,Disagree,0.29619,578,3746,0.28212,0.3115
11,11,1991,male,Disagree completely,0.54098,962,3746,0.52357,0.5588
12,12,1991,female,Agree completely,0.06598,123,3746,0.06013,0.07389
13,13,1991,female,Agree,0.0975,211,3746,0.09189,0.10366
14,14,1991,female,Disagree,0.29726,561,3746,0.28538,0.3102
15,15,1991,female,Disagree completely,0.53926,1008,3746,0.52263,0.55732
16,16,1992,male,Agree completely,0.04861,241,10451,0.045,0.05228
17,17,1992,male,Agree,0.10069,506,10451,0.09466,0.10542
18,18,1992,male,Disagree,0.34269,1700,10451,0.33415,0.35181
19,19,1992,male,Disagree completely,0.50801,2550,10451,0.49736,0.51776
20,20,1992,female,Agree completely,0.0504,266,10451,0.04584,0.05397
21,21,1992,female,Agree,0.1129,607,10451,0.10721,0.1182
22,22,1992,female,Disagree,0.33472,1801,10451,0.32494,0.34451
23,23,1992,female,Disagree completely,0.50198,2780,10451,0.49078,0.51504
24,24,1993,male,Agree completely,0.05888,331,12136,0.05453,0.06439
25,25,1993,male,Agree,0.11652,709,12136,0.11018,0.12158
26,26,1993,male,Disagree,0.37244,2240,12136,0.36244,0.38224
27,27,1993,male,Disagree completely,0.45216,2674,12136,0.44114,0.46094
28,28,1993,female,Agree completely,0.07348,399,12136,0.06866,0.07903
29,29,1993,female,Agree,0.12094,766,12136,0.11373,0.12634
30,30,1993,female,Disagree,0.3654,2313,12136,0.35498,0.37518
31,31,1993,female,Disagree completely,0.44018,2704,12136,0.42933,0.45079
32,32,1995,male,Agree completely,0.0492,277,12339,0.04522,0.05429
33,33,1995,male,Agree,0.11024,671,12339,0.10476,0.11677
34,34,1995,male,Disagree,0.37621,2293,12339,0.36456,0.39116
35,35,1995,male,Disagree completely,0.46434,2763,12339,0.45256,0.47862
36,36,1995,female,Agree completely,0.04955,304,12339,0.04478,0.05416
37,37,1995,female,Agree,0.107,679,12339,0.10027,0.11434
38,38,1995,female,Disagree,0.38415,2437,12339,0.37224,0.39617
39,39,1995,female,Disagree completely,0.45931,2915,12339,0.44562,0.46931
40,40,1996,male,Agree completely,0.05042,257,12158,0.04464,0.05482
41,41,1996,male,Agree,0.11023,680,12158,0.10303,0.116
42,42,1996,male,Disagree,0.41056,2421,12158,0.39968,0.42399
43,43,1996,male,Disagree completely,0.42879,2545,12158,0.41549,0.44107
44,44,1996,female,Agree completely,0.04426,266,12158,0.03987,0.04761
45,45,1996,female,Agree,0.1182,701,12158,0.11061,0.12529
46,46,1996,female,Disagree,0.39491,2503,12158,0.38081,0.40927
47,47,1996,female,Disagree completely,0.44263,2785,12158,0.43052,0.4561
48,48,1997,male,Agree completely,0.04638,245,11687,0.04174,0.05031
49,49,1997,male,Agree,0.11063,619,11687,0.104,0.117
50,50,1997,male,Disagree,0.40195,2349,11687,0.39047,0.41664
51,51,1997,male,Disagree completely,0.44103,2480,11687,0.42713,0.45512
52,52,1997,female,Agree completely,0.05264,292,11687,0.0466,0.05858
53,53,1997,female,Agree,0.11291,651,11687,0.10759,0.11956
54,54,1997,female,Disagree,0.40639,2466,11687,0.39391,0.41818
55,55,1997,female,Disagree completely,0.42805,2585,11687,0.41518,0.44243
56,56,2008,male,Agree completely,0.04737,342,17640,0.04288,0.05171
57,57,2008,male,Agree,0.12729,985,17640,0.11829,0.13519
58,58,2008,male,Disagree,0.40713,3391,17640,0.39327,0.41836
59,59,2008,male,Disagree completely,0.4182,3719,17640,0.40748,0.43167
60,60,2008,female,Agree completely,0.04938,376,17640,0.04524,0.05351
61,61,2008,female,Agree,0.11531,1004,17640,0.1081,0.12146
62,62,2008,female,Disagree,0.40082,3690,17640,0.38965,0.41023
63,63,2008,female,Disagree completely,0.43448,4133,17640,0.42373,0.44609
64,64,2013,male,Agree completely,0.05143,387,16924,0.04641,0.0566
65,65,2013,male,Agree,0.10556,794,16924,0.09939,0.11162
66,66,2013,male,Disagree,0.37017,2820,16924,0.35729,0.38302
67,67,2013,male,Disagree completely,0.47284,3920,16924,0.45619,0.48858
68,68,2013,female,Agree completely,0.05868,449,16924,0.05348,0.06505
69,69,2013,female,Agree,0.09602,854,16924,0.09023,0.10173
70,70,2013,female,Disagree,0.37523,3364,16924,0.36267,0.38771
71,71,2013,female,Disagree completely,0.47008,4336,16924,0.45484,0.48199
72,72,2018,male,Agree completely,0.0523,559,22637,0.04748,0.05632
73,73,2018,male,Agree,0.13353,1248,22637,0.12572,0.14154
74,74,2018,male,Disagree,0.38422,4022,22637,0.37053,0.39924
75,75,2018,male,Disagree completely,0.42995,4627,22637,0.41699,0.4438
76,76,2018,female,Agree completely,0.05743,630,22637,0.05178,0.06238
77,77,2018,female,Agree,0.1139,1312,22637,0.10665,0.12191
78,78,2018,female,Disagree,0.37072,4494,22637,0.359,0.38359
79,79,2018,female,Disagree completely,0.45795,5745,22637,0.44156,0.47322
