"plh0190","year","bildungsniveau","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Stimmt ganz u.gar","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","21","","",""
"Stimmt ganz u.gar","1995","(noch) kein Abschluss","2","8","","",""
"Stimmt ganz u.gar","1995","(noch) kein Abschluss","3","2","","",""
"Stimmt ganz u.gar","1995","(noch) kein Abschluss","4","2","","",""
"Stimmt ganz u.gar","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","1","","",""
"Stimmt ganz u.gar","1995","Hauptschule","1 Einkommensschwächstes Quintil","130","0.0615335512774878","0.0515909040597426","0.071476198495233"
"Stimmt ganz u.gar","1995","Hauptschule","2","93","0.0526075518712171","0.0421687365194347","0.0630463672229995"
"Stimmt ganz u.gar","1995","Hauptschule","3","44","0.0509940349366648","0.0366695784704893","0.0653184914028403"
"Stimmt ganz u.gar","1995","Hauptschule","4","18","","",""
"Stimmt ganz u.gar","1995","Hauptschule","5 Einkommensstärkstes Quintil","9","","",""
"Stimmt ganz u.gar","1995","Realschule","1 Einkommensschwächstes Quintil","59","0.0525440462118954","0.0387700773739548","0.0663180150498359"
"Stimmt ganz u.gar","1995","Realschule","2","35","0.0501682141699268","0.0357537730919511","0.0645826552479026"
"Stimmt ganz u.gar","1995","Realschule","3","19","","",""
"Stimmt ganz u.gar","1995","Realschule","4","16","","",""
"Stimmt ganz u.gar","1995","Realschule","5 Einkommensstärkstes Quintil","5","","",""
"Stimmt ganz u.gar","1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","15","","",""
"Stimmt ganz u.gar","1995","(Fach-)Abitur","2","8","","",""
"Stimmt ganz u.gar","1995","(Fach-)Abitur","3","8","","",""
"Stimmt ganz u.gar","1995","(Fach-)Abitur","4","8","","",""
"Stimmt ganz u.gar","1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","2","","",""
"Stimmt ganz u.gar","1995","AkademikerIn","1 Einkommensschwächstes Quintil","14","","",""
"Stimmt ganz u.gar","1995","AkademikerIn","2","13","","",""
"Stimmt ganz u.gar","1995","AkademikerIn","3","13","","",""
"Stimmt ganz u.gar","1995","AkademikerIn","4","14","","",""
"Stimmt ganz u.gar","1995","AkademikerIn","5 Einkommensstärkstes Quintil","12","","",""
"Stimmt eher","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","56","0.128735322320231","0.0956240604581381","0.161846584182324"
"Stimmt eher","1995","(noch) kein Abschluss","2","37","0.183623794293892","0.129281191818834","0.237966396768951"
"Stimmt eher","1995","(noch) kein Abschluss","3","14","","",""
"Stimmt eher","1995","(noch) kein Abschluss","4","3","","",""
"Stimmt eher","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","2","","",""
"Stimmt eher","1995","Hauptschule","1 Einkommensschwächstes Quintil","284","0.126876869269842","0.113105864191736","0.140647874347948"
"Stimmt eher","1995","Hauptschule","2","192","0.114386509809975","0.0995041525305716","0.129268867089379"
"Stimmt eher","1995","Hauptschule","3","90","0.104808308340821","0.0848630406602485","0.124753576021393"
"Stimmt eher","1995","Hauptschule","4","47","0.102882756321215","0.0771633112554507","0.128602201386979"
"Stimmt eher","1995","Hauptschule","5 Einkommensstärkstes Quintil","11","","",""
"Stimmt eher","1995","Realschule","1 Einkommensschwächstes Quintil","99","0.0898638401846531","0.0722090119607987","0.107518668408508"
"Stimmt eher","1995","Realschule","2","95","0.109447932834813","0.0888324468822595","0.130063418787366"
"Stimmt eher","1995","Realschule","3","45","0.0714214346058161","0.0495789984753567","0.0932638707362756"
"Stimmt eher","1995","Realschule","4","39","0.105350970003749","0.0741951423944654","0.136506797613033"
"Stimmt eher","1995","Realschule","5 Einkommensstärkstes Quintil","19","","",""
"Stimmt eher","1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","53","0.139714654494719","0.103701154128705","0.175728154860732"
