,Unnamed: 0,year,bula_h,migback,plh0190,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,Berlin,No migration background,Disagree,0.30974,60,3268,0.28223,0.34665
1,1,1990,Berlin,No migration background,Disagree completely,0.69026,132,3268,0.64603,0.74065
2,2,1990,Brandenburg,No migration background,Agree completely,0.0623,33,3268,0.05179,0.07729
3,3,1990,Brandenburg,No migration background,Agree,0.10398,56,3268,0.09161,0.12049
4,4,1990,Brandenburg,No migration background,Disagree,0.29375,161,3268,0.27456,0.31169
5,5,1990,Brandenburg,No migration background,Disagree completely,0.53997,302,3268,0.51769,0.56287
6,6,1990,Mecklenburg-Western Pomerania,No migration background,Agree,0.08545,36,3268,0.07548,0.09686
7,7,1990,Mecklenburg-Western Pomerania,No migration background,Disagree,0.30158,121,3268,0.28476,0.32044
8,8,1990,Mecklenburg-Western Pomerania,No migration background,Disagree completely,0.61297,217,3268,0.58551,0.64862
9,9,1990,Saxony,No migration background,Agree completely,0.05497,57,3268,0.0503,0.06055
10,10,1990,Saxony,No migration background,Agree,0.10007,101,3268,0.09357,0.10745
11,11,1990,Saxony,No migration background,Disagree,0.35737,356,3268,0.34361,0.37027
12,12,1990,Saxony,No migration background,Disagree completely,0.4876,489,3268,0.47385,0.49972
13,13,1990,Saxony-Anhalt,No migration background,Agree completely,0.05242,34,3268,0.04653,0.05773
14,14,1990,Saxony-Anhalt,No migration background,Agree,0.12289,76,3268,0.11246,0.13491
15,15,1990,Saxony-Anhalt,No migration background,Disagree,0.27051,169,3268,0.25324,0.28784
16,16,1990,Saxony-Anhalt,No migration background,Disagree completely,0.55418,319,3268,0.5285,0.58601
17,17,1990,Thuringa,No migration background,Agree completely,0.06436,38,3268,0.05657,0.07207
18,18,1990,Thuringa,No migration background,Agree,0.09759,53,3268,0.08744,0.10982
19,19,1990,Thuringa,No migration background,Disagree,0.25331,146,3268,0.2309,0.27216
20,20,1990,Thuringa,No migration background,Disagree completely,0.58475,312,3268,0.55475,0.61025
21,21,1991,Berlin,No migration background,Agree,0.13797,34,3546,0.12066,0.15303
