year,quintil_oecd,sex,plh0190,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,1st Quintile,male,Agree completely,0.08100,49,840,0.06254,0.09946
1992,1st Quintile,male,Agree,0.08405,83,840,0.06528,0.10283
1992,1st Quintile,male,Disagree,0.35295,300,840,0.32062,0.38529
1992,1st Quintile,male,Disagree completely,0.48199,408,840,0.44818,0.51581
1992,1st Quintile,female,Agree completely,0.05910,73,1175,0.04561,0.07258
1992,1st Quintile,female,Agree,0.12486,143,1175,0.10595,0.14377
1992,1st Quintile,female,Disagree,0.33888,397,1175,0.31180,0.36595
1992,1st Quintile,female,Disagree completely,0.47716,562,1175,0.44859,0.50573
1992,2nd Quintile,male,Agree completely,0.04339,54,1026,0.03091,0.05586
1992,2nd Quintile,male,Agree,0.12547,119,1026,0.10519,0.14575
1992,2nd Quintile,male,Disagree,0.33318,342,1026,0.30433,0.36204
1992,2nd Quintile,male,Disagree completely,0.49796,511,1026,0.46735,0.52857
1992,2nd Quintile,female,Agree completely,0.03993,52,1164,0.02867,0.05118
1992,2nd Quintile,female,Agree,0.11336,123,1164,0.09514,0.13158
1992,2nd Quintile,female,Disagree,0.34391,387,1164,0.31661,0.37121
1992,2nd Quintile,female,Disagree completely,0.50281,602,1164,0.47407,0.53154
1992,3rd Quintile,male,Agree completely,0.04380,44,986,0.03102,0.05658
1992,3rd Quintile,male,Agree,0.09644,99,986,0.07800,0.11488
1992,3rd Quintile,male,Disagree,0.35717,352,986,0.32725,0.38710
1992,3rd Quintile,male,Disagree completely,0.50259,491,986,0.47136,0.53381
1992,3rd Quintile,female,Agree completely,0.06561,62,1047,0.05060,0.08061
1992,3rd Quintile,female,Agree,0.10982,117,1047,0.09087,0.12877
1992,3rd Quintile,female,Disagree,0.32515,340,1047,0.29677,0.35354
1992,3rd Quintile,female,Disagree completely,0.49941,528,1047,0.46911,0.52972
1992,4th Quintile,male,Agree completely,0.04894,48,1020,0.03570,0.06219
1992,4th Quintile,male,Agree,0.11989,121,1020,0.09995,0.13983
1992,4th Quintile,male,Disagree,0.34248,339,1020,0.31334,0.37161
1992,4th Quintile,male,Disagree completely,0.48869,512,1020,0.45800,0.51938
1992,4th Quintile,female,Agree completely,0.04262,40,1031,0.03029,0.05496
1992,4th Quintile,female,Agree,0.12248,122,1031,0.10246,0.14250
1992,4th Quintile,female,Disagree,0.30566,313,1031,0.27752,0.33379
1992,4th Quintile,female,Disagree completely,0.52924,556,1031,0.49876,0.55972
1992,5th Quintile,male,Agree completely,0.03740,46,1124,0.02630,0.04850
1992,5th Quintile,male,Agree,0.08014,84,1124,0.06426,0.09602
1992,5th Quintile,male,Disagree,0.33278,366,1124,0.30522,0.36034
1992,5th Quintile,male,Disagree completely,0.54968,628,1124,0.52058,0.57878
1992,5th Quintile,female,Agree completely,0.04469,39,1037,0.03211,0.05727
1992,5th Quintile,female,Agree,0.09471,102,1037,0.07688,0.11254
1992,5th Quintile,female,Disagree,0.35952,364,1037,0.33030,0.38874
1992,5th Quintile,female,Disagree completely,0.50107,532,1037,0.47063,0.53152
