year,regtyp,sex,plh0190,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Urban regions,male,Agree,0.00780,71,566,0.00055,0.01506
1990,Urban regions,male,Disagree,0.02194,200,566,0.00986,0.03402
1990,Urban regions,male,Disagree completely,0.03284,295,566,0.01814,0.04753
1990,Urban regions,female,Agree completely,0.00298,33,559,-0.00154,0.00750
1990,Urban regions,female,Agree,0.00690,64,559,0.00003,0.01377
1990,Urban regions,female,Disagree,0.01755,185,559,0.00665,0.02844
1990,Urban regions,female,Disagree completely,0.02682,277,559,0.01341,0.04022
1990,Rural regions,male,Agree completely,0.01628,73,1172,0.00903,0.02352
1990,Rural regions,male,Agree,0.02452,113,1172,0.01566,0.03338
1990,Rural regions,male,Disagree,0.07504,354,1172,0.05995,0.09013
1990,Rural regions,male,Disagree completely,0.14369,632,1172,0.12360,0.16378
1990,Rural regions,female,Agree completely,0.01043,54,1027,0.00421,0.01664
1990,Rural regions,female,Agree,0.01922,102,1027,0.01082,0.02763
1990,Rural regions,female,Disagree,0.05658,285,1027,0.04245,0.07072
1990,Rural regions,female,Disagree completely,0.11966,586,1027,0.09980,0.13952
1991,Urban regions,male,Agree completely,0.00411,34,584,-0.00108,0.00930
1991,Urban regions,male,Agree,0.00922,73,584,0.00146,0.01697
1991,Urban regions,male,Disagree,0.02252,185,584,0.01047,0.03456
1991,Urban regions,male,Disagree completely,0.04037,292,584,0.02439,0.05635
1991,Urban regions,female,Agree completely,0.00594,48,608,-0.00017,0.01205
1991,Urban regions,female,Agree,0.00813,75,608,0.00099,0.01528
1991,Urban regions,female,Disagree,0.02090,182,608,0.00952,0.03228
1991,Urban regions,female,Disagree completely,0.03615,303,608,0.02130,0.05099
1991,Rural regions,male,Agree completely,0.01725,71,1222,0.00995,0.02456
1991,Rural regions,male,Agree,0.02987,117,1222,0.02032,0.03942
1991,Rural regions,male,Disagree,0.09158,389,1222,0.07540,0.10775
1991,Rural regions,male,Disagree completely,0.16401,645,1222,0.14324,0.18478
1991,Rural regions,female,Agree completely,0.01737,74,1252,0.01013,0.02461
1991,Rural regions,female,Agree,0.02638,132,1252,0.01750,0.03526
1991,Rural regions,female,Disagree,0.08850,369,1252,0.07276,0.10424
1991,Rural regions,female,Disagree completely,0.16380,677,1252,0.14329,0.18431
1992,Urban regions,male,Agree completely,0.03199,135,3005,0.02570,0.03829
1992,Urban regions,male,Agree,0.06985,302,3005,0.06073,0.07896
1992,Urban regions,male,Disagree,0.23504,995,3005,0.21987,0.25020
1992,Urban regions,male,Disagree completely,0.37071,1573,3005,0.35343,0.38798
1992,Urban regions,female,Agree completely,0.03376,143,3338,0.02763,0.03989
1992,Urban regions,female,Agree,0.08433,371,3338,0.07490,0.09376
1992,Urban regions,female,Disagree,0.24713,1113,3338,0.23249,0.26176
1992,Urban regions,female,Disagree completely,0.37203,1711,3338,0.35563,0.38843
1992,Rural regions,male,Agree completely,0.04195,105,1940,0.03303,0.05087
1992,Rural regions,male,Agree,0.07914,201,1940,0.06713,0.09116
1992,Rural regions,male,Disagree,0.27384,693,1940,0.25399,0.29369
1992,Rural regions,male,Disagree completely,0.35270,941,1940,0.33143,0.37397
1992,Rural regions,female,Agree completely,0.04561,120,2058,0.03659,0.05463
1992,Rural regions,female,Agree,0.08221,227,2058,0.07034,0.09408
1992,Rural regions,female,Disagree,0.25013,671,2058,0.23141,0.26884
1992,Rural regions,female,Disagree completely,0.37360,1040,2058,0.35270,0.39451
1993,Urban regions,male,Agree completely,0.03991,202,3940,0.03380,0.04602
1993,Urban regions,male,Agree,0.08865,477,3940,0.07977,0.09753
1993,Urban regions,male,Disagree,0.27866,1450,3940,0.26466,0.29266
1993,Urban regions,male,Disagree completely,0.35435,1811,3940,0.33941,0.36928
1993,Urban regions,female,Agree completely,0.05436,253,4087,0.04741,0.06131
1993,Urban regions,female,Agree,0.09064,496,4087,0.08184,0.09944
1993,Urban regions,female,Disagree,0.27352,1466,4087,0.25985,0.28719
1993,Urban regions,female,Disagree completely,0.35673,1872,4087,0.34204,0.37142
1993,Rural regions,male,Agree completely,0.05544,129,2014,0.04544,0.06543
1993,Rural regions,male,Agree,0.08849,232,2014,0.07608,0.10089
1993,Rural regions,male,Disagree,0.29310,790,2014,0.27322,0.31299
1993,Rural regions,male,Disagree completely,0.32061,863,2014,0.30022,0.34099
1993,Rural regions,female,Agree completely,0.05937,146,2095,0.04925,0.06949
1993,Rural regions,female,Agree,0.09523,270,2095,0.08266,0.10780
1993,Rural regions,female,Disagree,0.28853,847,2095,0.26912,0.30793
1993,Rural regions,female,Disagree completely,0.28933,832,2095,0.26991,0.30876
1995,Urban regions,male,Agree completely,0.03973,197,3937,0.03363,0.04584
1995,Urban regions,male,Agree,0.08595,462,3937,0.07719,0.09470
1995,Urban regions,male,Disagree,0.27523,1431,3937,0.26127,0.28918
1995,Urban regions,male,Disagree completely,0.35437,1847,3937,0.33943,0.36932
1995,Urban regions,female,Agree completely,0.03708,204,4181,0.03135,0.04281
1995,Urban regions,female,Agree,0.08581,471,4181,0.07732,0.09431
1995,Urban regions,female,Disagree,0.29635,1573,4181,0.28251,0.31020
1995,Urban regions,female,Disagree completely,0.35190,1933,4181,0.33743,0.36638
1995,Rural regions,male,Agree completely,0.03154,80,2067,0.02400,0.03908
1995,Rural regions,male,Agree,0.07726,209,2067,0.06575,0.08878
1995,Rural regions,male,Disagree,0.30252,862,2067,0.28271,0.32233
1995,Rural regions,male,Disagree completely,0.34194,916,2067,0.32149,0.36240
1995,Rural regions,female,Agree completely,0.03968,100,2154,0.03143,0.04793
1995,Rural regions,female,Agree,0.07340,208,2154,0.06239,0.08442
1995,Rural regions,female,Disagree,0.28869,864,2154,0.26954,0.30783
1995,Rural regions,female,Disagree completely,0.35031,982,2154,0.33016,0.37046
1996,Urban regions,male,Agree completely,0.03877,173,3849,0.03267,0.04487
1996,Urban regions,male,Agree,0.08144,439,3849,0.07280,0.09008
1996,Urban regions,male,Disagree,0.30150,1527,3849,0.28700,0.31600
1996,Urban regions,male,Disagree completely,0.33142,1710,3849,0.31655,0.34630
1996,Urban regions,female,Agree completely,0.03413,183,4131,0.02859,0.03967
1996,Urban regions,female,Agree,0.09046,457,4131,0.08171,0.09921
1996,Urban regions,female,Disagree,0.30031,1595,4131,0.28633,0.31429
1996,Urban regions,female,Disagree completely,0.34508,1896,4131,0.33058,0.35958
1996,Rural regions,male,Agree completely,0.03631,84,2054,0.02822,0.04440
