year,age_gr,quintil_oecd,plh0193,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2003,17-29 y.,1st Quintile,Strongly agree,0.09467,73,22017,0.09434,0.09500
2003,17-29 y.,1st Quintile,Agree,0.33769,296,22017,0.33716,0.33822
2003,17-29 y.,1st Quintile,Disagree,0.44073,385,22017,0.44017,0.44129
2003,17-29 y.,1st Quintile,Strongly disagree,0.12690,101,22017,0.12653,0.12728
2003,17-29 y.,2nd Quintile,Strongly agree,0.08945,72,22017,0.08909,0.08981
2003,17-29 y.,2nd Quintile,Agree,0.32932,245,22017,0.32872,0.32991
2003,17-29 y.,2nd Quintile,Disagree,0.49579,386,22017,0.49516,0.49642
2003,17-29 y.,2nd Quintile,Strongly disagree,0.08545,65,22017,0.08509,0.08580
2003,17-29 y.,3rd Quintile,Strongly agree,0.07577,56,22017,0.07541,0.07613
2003,17-29 y.,3rd Quintile,Agree,0.32558,247,22017,0.32494,0.32621
2003,17-29 y.,3rd Quintile,Disagree,0.52753,392,22017,0.52685,0.52821
2003,17-29 y.,3rd Quintile,Strongly disagree,0.07113,58,22017,0.07078,0.07147
2003,17-29 y.,4th Quintile,Strongly agree,0.04204,33,22017,0.04178,0.04230
2003,17-29 y.,4th Quintile,Agree,0.29701,245,22017,0.29641,0.29760
2003,17-29 y.,4th Quintile,Disagree,0.54111,421,22017,0.54046,0.54176
2003,17-29 y.,4th Quintile,Strongly disagree,0.11984,94,22017,0.11942,0.12026
2003,17-29 y.,5th Quintile,Strongly agree,0.04734,44,22017,0.04700,0.04768
2003,17-29 y.,5th Quintile,Agree,0.27574,227,22017,0.27502,0.27646
2003,17-29 y.,5th Quintile,Disagree,0.55014,431,22017,0.54935,0.55094
2003,17-29 y.,5th Quintile,Strongly disagree,0.12678,116,22017,0.12624,0.12731
2003,30-45 y.,1st Quintile,Strongly agree,0.11225,121,22017,0.11190,0.11260
2003,30-45 y.,1st Quintile,Agree,0.40087,378,22017,0.40033,0.40141
2003,30-45 y.,1st Quintile,Disagree,0.41071,376,22017,0.41016,0.41125
2003,30-45 y.,1st Quintile,Strongly disagree,0.07617,70,22017,0.07588,0.07647
2003,30-45 y.,2nd Quintile,Strongly agree,0.08464,111,22017,0.08436,0.08492
2003,30-45 y.,2nd Quintile,Agree,0.39601,478,22017,0.39551,0.39650
2003,30-45 y.,2nd Quintile,Disagree,0.45839,586,22017,0.45789,0.45889
2003,30-45 y.,2nd Quintile,Strongly disagree,0.06097,75,22017,0.06073,0.06121
2003,30-45 y.,3rd Quintile,Strongly agree,0.07207,101,22017,0.07183,0.07232
2003,30-45 y.,3rd Quintile,Agree,0.36282,487,22017,0.36237,0.36328
2003,30-45 y.,3rd Quintile,Disagree,0.47956,663,22017,0.47908,0.48003
2003,30-45 y.,3rd Quintile,Strongly disagree,0.08555,115,22017,0.08528,0.08581
2003,30-45 y.,4th Quintile,Strongly agree,0.06274,94,22017,0.06252,0.06296
2003,30-45 y.,4th Quintile,Agree,0.32520,492,22017,0.32477,0.32563
2003,30-45 y.,4th Quintile,Disagree,0.50175,756,22017,0.50129,0.50221
2003,30-45 y.,4th Quintile,Strongly disagree,0.11031,146,22017,0.11002,0.11060
2003,30-45 y.,5th Quintile,Strongly agree,0.04610,90,22017,0.04590,0.04630
2003,30-45 y.,5th Quintile,Agree,0.30793,517,22017,0.30749,0.30837
2003,30-45 y.,5th Quintile,Disagree,0.54168,1029,22017,0.54120,0.54215
2003,30-45 y.,5th Quintile,Strongly disagree,0.10429,218,22017,0.10400,0.10458
2003,46-65 y.,1st Quintile,Strongly agree,0.18352,155,22017,0.18310,0.18393
2003,46-65 y.,1st Quintile,Agree,0.38696,352,22017,0.38643,0.38748
2003,46-65 y.,1st Quintile,Disagree,0.35847,309,22017,0.35796,0.35899
