year,plh0193,migback,proportion,n,lower_confidence,upper_confidence
2003,Strongly agree,No migration background,0.7749445676274944,27727,0.7700288752230158,0.7798602600319731
2003,Strongly agree,Direct migration background,0.18237250554323725,27727,0.17782721074314264,0.18691780034333186
2003,Strongly agree,Indirect migration background,0.042682926829268296,27727,0.04030356972184182,0.04506228393669477
2003,Agree,No migration background,0.844039231938113,27727,0.8397685853876412,0.8483098784885849
2003,Agree,Direct migration background,0.11935350186489847,27727,0.11553737310927559,0.12316963062052136
2003,Agree,Indirect migration background,0.036607266196988536,27727,0.03439676903323604,0.03881776336074103
2003,Disagree,No migration background,0.8699032808647829,27727,0.8659434805417561,0.8738630811878096
2003,Disagree,Direct migration background,0.1011758012516594,27727,0.09762619374215188,0.10472540876116691
2003,Disagree,Indirect migration background,0.02892091788355775,27727,0.026948322711294655,0.030893513055820842
2003,Strongly disagree,No migration background,0.8214629451395573,27727,0.8169551642061286,0.825970726072986
2003,Strongly disagree,Direct migration background,0.143888354186718,27727,0.13975709297805483,0.14801961539538117
2003,Strongly disagree,Indirect migration background,0.03464870067372473,27727,0.03249596454513649,0.03680143680231298
2008,Strongly agree,No migration background,0.7926565874730022,23673,0.787492220680057,0.7978209542659473
2008,Strongly agree,Direct migration background,0.16198704103671707,23673,0.15729356153164437,0.16668052054178978
2008,Strongly agree,Indirect migration background,0.04535637149028078,23673,0.04270561878486949,0.04800712419569207
2008,Agree,No migration background,0.857706885660139,23673,0.8532565700359336,0.8621572012843444
2008,Agree,Direct migration background,0.10138976626658244,23673,0.09754462620961195,0.10523490632355294
2008,Agree,Indirect migration background,0.040903348073278584,23673,0.03838021568353276,0.04342648046302441
2008,Disagree,No migration background,0.8714346080709909,23673,0.8671706898847493,0.8756985262572325
2008,Disagree,Direct migration background,0.09032326220156349,23673,0.08667174984887509,0.09397477455425189
2008,Disagree,Indirect migration background,0.038242129727445597,23673,0.03579907423410909,0.0406851852207821
2008,Strongly disagree,No migration background,0.8792176039119804,23673,0.8750663487342308,0.8833688590897301
2008,Strongly disagree,Direct migration background,0.08215158924205379,23673,0.07865356441822835,0.08564961406587923
2008,Strongly disagree,Indirect migration background,0.03863080684596577,23673,0.03617586384919201,0.041085749842739536
2013,Strongly agree,No migration background,0.8173706127305176,44486,0.8137802425086774,0.8209609829523578
2013,Strongly agree,Direct migration background,0.14158239143367043,44486,0.1383427397172905,0.14482204315005037
2013,Strongly agree,Indirect migration background,0.04104699583581202,44486,0.03920332348262958,0.04289066818899446
2013,Agree,No migration background,0.8338364614778843,44486,0.8303774444532497,0.8372954785025188
2013,Agree,Direct migration background,0.1186507415671348,44486,0.11564567814148614,0.12165580499278346
2013,Agree,Indirect migration background,0.047512796954980965,44486,0.04553592169745563,0.0494896722125063
2013,Disagree,No migration background,0.8591049732095691,44486,0.8558719014720094,0.8623380449471288
2013,Disagree,Direct migration background,0.09818126933816315,44486,0.09541612160312865,0.10094641707319765
2013,Disagree,Indirect migration background,0.042713757452267756,44486,0.04083466049206958,0.04459285441246593
2013,Strongly disagree,No migration background,0.8536242083040113,44486,0.8503393822054792,0.8569090344025434
2013,Strongly disagree,Direct migration background,0.10133708655876143,44486,0.09853277017455911,0.10414140294296376
2013,Strongly disagree,Indirect migration background,0.045038705137227304,44486,0.043111489878658475,0.04696592039579613
2018,Strongly agree,Direct migration background,0.5112456747404844,43121,0.5065275242429487,0.5159638252380202
2018,Strongly agree,No migration background,0.4286332179930796,43121,0.4239621943477909,0.4333042416383682
2018,Strongly agree,Indirect migration background,0.060121107266435984,43121,0.05787742635566919,0.06236478817720278
2018,Agree,No migration background,0.6328485278467542,43121,0.6282988129437203,0.6373982427497881
2018,Agree,Direct migration background,0.3076741161168263,43121,0.3033178698359144,0.31203036239773824
2018,Agree,Indirect migration background,0.059477356036419536,43121,0.05724495551796781,0.061709756554871265
2018,Disagree,No migration background,0.7432719546742209,43121,0.7391488706094343,0.7473950387390075
2018,Disagree,Direct migration background,0.20042492917847027,43121,0.1966464489725256,0.20420340938441495
2018,Disagree,Indirect migration background,0.056303116147308784,43121,0.05412744057380951,0.058478791720808054
2018,Strongly disagree,No migration background,0.6842105263157895,43121,0.6798231452180317,0.6885979074135473
2018,Strongly disagree,Direct migration background,0.2677228786251343,43121,0.26354368844052933,0.2719020688097392
2018,Strongly disagree,Indirect migration background,0.04806659505907626,43121,0.04604759364840834,0.050085596469744184
