year,bula_h,regtyp,plh0193,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Schleswig-Holstein,Urban regions,Agree,0.35334,89,267,0.29590,0.41079
2003,Schleswig-Holstein,Urban regions,Disagree,0.45110,140,267,0.39130,0.51090
2003,Schleswig-Holstein,Urban regions,Strongly disagree,0.13643,38,267,0.09518,0.17768
2003,Schleswig-Holstein,Rural regions,Strongly agree,0.08506,31,372,0.05667,0.11345
2003,Schleswig-Holstein,Rural regions,Agree,0.33806,117,372,0.28993,0.38620
2003,Schleswig-Holstein,Rural regions,Disagree,0.46222,179,372,0.41149,0.51295
2003,Schleswig-Holstein,Rural regions,Strongly disagree,0.11466,45,372,0.08223,0.14708
2003,Hamburg,Urban regions,Agree,0.25634,64,273,0.20446,0.30823
2003,Hamburg,Urban regions,Disagree,0.49153,151,273,0.43211,0.55094
2003,Hamburg,Urban regions,Strongly disagree,0.19345,58,273,0.14650,0.24039
2003,Lower Saxony,Urban regions,Strongly agree,0.07629,66,917,0.05910,0.09348
2003,Lower Saxony,Urban regions,Agree,0.33077,280,917,0.30030,0.36124
2003,Lower Saxony,Urban regions,Disagree,0.46655,438,917,0.43424,0.49886
2003,Lower Saxony,Urban regions,Strongly disagree,0.12639,133,917,0.10487,0.14791
2003,Lower Saxony,Rural regions,Strongly agree,0.07337,66,979,0.05703,0.08971
2003,Lower Saxony,Rural regions,Agree,0.30504,298,979,0.27619,0.33390
2003,Lower Saxony,Rural regions,Disagree,0.50527,520,979,0.47394,0.53661
2003,Lower Saxony,Rural regions,Strongly disagree,0.11631,95,979,0.09622,0.13640
2003,Bremen,Urban regions,Agree,0.30270,48,162,0.23174,0.37367
2003,Bremen,Urban regions,Disagree,0.41187,69,162,0.33585,0.48790
2003,Bremen,Urban regions,Strongly disagree,0.23245,45,162,0.16720,0.29769
2003,North Rhine-Westphalia,Urban regions,Strongly agree,0.09329,387,4522,0.08481,0.10177
2003,North Rhine-Westphalia,Urban regions,Agree,0.32342,1448,4522,0.30979,0.33706
