"plh0193","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Stimme voll zu","2003","(noch) kein Abschluss","72","0.0964437481949014","0.0770060037542378","0.115881492635565"
"Stimme voll zu","2003","Hauptschule","1054","","",""
"Stimme voll zu","2003","Realschule","402","0.0752610802991087","0.0684511412121016","0.0820710193861158"
"Stimme voll zu","2003","(Fach-)Abitur","106","","",""
"Stimme voll zu","2003","AkademikerIn","164","","",""
"Stimme eher zu","2003","(noch) kein Abschluss","248","","",""
"Stimme eher zu","2003","Hauptschule","3100","0.366176134854571","0.355859616738459","0.376492652970683"
"Stimme eher zu","2003","Realschule","2108","","",""
"Stimme eher zu","2003","(Fach-)Abitur","693","0.293949100437503","0.275734263878151","0.312163936996856"
"Stimme eher zu","2003","AkademikerIn","1105","","",""
"Lehne eher ab","2003","(noch) kein Abschluss","438","0.470606983214141","0.437740781390086","0.503473185038197"
"Lehne eher ab","2003","Hauptschule","3568","0.427889747944558","0.41729453623646","0.438484959652656"
"Lehne eher ab","2003","Realschule","2839","","",""
"Lehne eher ab","2003","(Fach-)Abitur","1305","","",""
"Lehne eher ab","2003","AkademikerIn","2466","","",""
"Lehne voll ab","2003","(noch) kein Abschluss","128","","",""
"Lehne voll ab","2003","Hauptschule","655","0.0806871140255632","0.0748548443328758","0.0865193837182506"
"Lehne voll ab","2003","Realschule","416","0.0793041754728755","0.0723290094515111","0.08627934149424"
"Lehne voll ab","2003","(Fach-)Abitur","299","","",""
"Lehne voll ab","2003","AkademikerIn","596","0.138248129477605","0.127968564205888","0.148527694749322"
"Stimme voll zu","2004","(noch) kein Abschluss","","","",""
"Stimme voll zu","2004","Hauptschule","","","",""
"Stimme voll zu","2004","Realschule","","","",""
"Stimme voll zu","2004","(Fach-)Abitur","","","",""
"Stimme voll zu","2004","AkademikerIn","","","",""
"Stimme eher zu","2004","(noch) kein Abschluss","","","",""
"Stimme eher zu","2004","Hauptschule","","","",""
"Stimme eher zu","2004","Realschule","","","",""
"Stimme eher zu","2004","(Fach-)Abitur","","","",""
"Stimme eher zu","2004","AkademikerIn","","","",""
"Lehne eher ab","2004","(noch) kein Abschluss","","","",""
"Lehne eher ab","2004","Hauptschule","","","",""
"Lehne eher ab","2004","Realschule","","","",""
"Lehne eher ab","2004","(Fach-)Abitur","","","",""
"Lehne eher ab","2004","AkademikerIn","","","",""
"Lehne voll ab","2004","(noch) kein Abschluss","","","",""
"Lehne voll ab","2004","Hauptschule","","","",""
"Lehne voll ab","2004","Realschule","","","",""
"Lehne voll ab","2004","(Fach-)Abitur","","","",""
"Lehne voll ab","2004","AkademikerIn","","","",""
