year,plh0193,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Strongly agree,0.09006,1822,22021,0.08628,0.09385
2003,Agree,0.34118,7333,22021,0.33492,0.34744
2003,Disagree,0.47274,10739,22021,0.46615,0.47933
2003,Strongly disagree,0.09601,2127,22021,0.09212,0.09990
2008,Strongly agree,0.08115,1389,19232,0.07729,0.08501
2008,Agree,0.34553,6332,19232,0.33881,0.35225
2008,Disagree,0.47456,9466,19232,0.46750,0.48162
2008,Strongly disagree,0.09876,2045,19232,0.09455,0.10298
2013,Strongly agree,0.06840,1681,25394,0.06530,0.07151
2013,Agree,0.31732,7619,25394,0.31159,0.32304
2013,Disagree,0.51051,13252,25394,0.50437,0.51666
2013,Strongly disagree,0.10376,2842,25394,0.10001,0.10751
2018,Strongly agree,0.06420,2312,28613,0.06136,0.06704
2018,Agree,0.29473,8457,28613,0.28945,0.30001
2018,Disagree,0.51746,14120,28613,0.51167,0.52325
2018,Strongly disagree,0.12361,3724,28613,0.11979,0.12742
