year,age_gr,quintil_oecd,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,17-29 y.,1st Quintile,Eastern Europe,0.01135,39,39,-0.02233,0.04503
2014,30-45 y.,1st Quintile,Eastern Europe,0.01560,60,60,-0.01602,0.04722
2014,30-45 y.,2nd Quintile,Eastern Europe,0.00928,55,55,-0.01630,0.03486
2014,30-45 y.,3rd Quintile,Eastern Europe,0.01399,45,45,-0.02071,0.04870
2014,46-65 y.,1st Quintile,Eastern Europe,0.01970,60,60,-0.01576,0.05515
2014,46-65 y.,2nd Quintile,Eastern Europe,0.00959,41,41,-0.02061,0.03980
2014,46-65 y.,3rd Quintile,Eastern Europe,0.00737,31,31,-0.02323,0.03797
2015,30-45 y.,1st Quintile,Eastern Europe,0.01045,37,37,-0.02277,0.04368
2015,30-45 y.,2nd Quintile,Eastern Europe,0.01092,46,46,-0.01945,0.04129
2015,30-45 y.,3rd Quintile,Eastern Europe,0.01257,50,50,-0.01862,0.04377
2015,46-65 y.,1st Quintile,Eastern Europe,0.01483,55,55,-0.01741,0.04706
2015,46-65 y.,2nd Quintile,Eastern Europe,0.01772,34,34,-0.02729,0.06272
2016,30-45 y.,2nd Quintile,Eastern Europe,0.01204,49,49,-0.01881,0.04289
2016,30-45 y.,3rd Quintile,Eastern Europe,0.01528,49,49,-0.01942,0.04998
2016,46-65 y.,1st Quintile,Eastern Europe,0.02344,44,44,-0.02178,0.06866
2016,46-65 y.,2nd Quintile,Eastern Europe,0.01091,42,42,-0.02089,0.04271
2017,30-45 y.,2nd Quintile,Eastern Europe,0.01478,41,41,-0.02262,0.05218
2017,30-45 y.,3rd Quintile,Eastern Europe,0.01377,34,34,-0.02599,0.05353
2017,46-65 y.,1st Quintile,Eastern Europe,0.01812,41,41,-0.02322,0.05947
2017,46-65 y.,2nd Quintile,Eastern Europe,0.01274,41,41,-0.02202,0.04751
2018,30-45 y.,2nd Quintile,Eastern Europe,0.01019,41,41,-0.02093,0.04132
2018,30-45 y.,3rd Quintile,Eastern Europe,0.01738,39,39,-0.02417,0.05893
2018,30-45 y.,4th Quintile,Eastern Europe,0.01036,32,32,-0.02528,0.04599
2018,46-65 y.,1st Quintile,Eastern Europe,0.01255,33,33,-0.02602,0.05111
2018,46-65 y.,2nd Quintile,Eastern Europe,0.01416,54,54,-0.01765,0.04598
2019,30-45 y.,2nd Quintile,Eastern Europe,0.01659,46,46,-0.02073,0.05390
2019,30-45 y.,3rd Quintile,Eastern Europe,0.01475,32,32,-0.02769,0.05718
2019,46-65 y.,1st Quintile,Eastern Europe,0.01348,39,39,-0.02319,0.05015
2019,46-65 y.,2nd Quintile,Eastern Europe,0.02336,57,57,-0.01620,0.06291
2020,30-45 y.,2nd Quintile,Eastern Europe,0.00642,43,43,-0.01773,0.03056
2020,30-45 y.,3rd Quintile,Eastern Europe,0.00553,34,34,-0.01977,0.03084
2020,30-45 y.,4th Quintile,Eastern Europe,0.00767,31,31,-0.02355,0.03890
2020,30-45 y.,5th Quintile,Eastern Europe,0.00773,31,31,-0.02361,0.03908
2020,46-65 y.,1st Quintile,Eastern Europe,0.00435,38,38,-0.01685,0.02555
2020,46-65 y.,2nd Quintile,Eastern Europe,0.00404,40,40,-0.01587,0.02394
2021,30-45 y.,2nd Quintile,Eastern Europe,0.00795,32,32,-0.02331,0.03920
2021,46-65 y.,2nd Quintile,Eastern Europe,0.01151,38,38,-0.02286,0.04589
