year,age_gr,migback,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,30-45 y.,Direct migration background,Eastern Europe,0.05068,55,55,-0.00783,0.10918
2001,30-45 y.,Direct migration background,Eastern Europe,0.04517,44,44,-0.01690,0.10725
2002,30-45 y.,Direct migration background,Eastern Europe,0.03955,35,35,-0.02596,0.10507
2003,30-45 y.,Direct migration background,Eastern Europe,0.05183,40,40,-0.01775,0.12140
2004,30-45 y.,Direct migration background,Eastern Europe,0.04059,32,32,-0.02888,0.11006
2005,30-45 y.,Direct migration background,Eastern Europe,0.06054,41,41,-0.01337,0.13445
2006,30-45 y.,Direct migration background,Eastern Europe,0.04378,34,34,-0.02603,0.11359
2006,46-65 y.,Direct migration background,Eastern Europe,0.03261,31,31,-0.03095,0.09616
2007,30-45 y.,Direct migration background,Eastern Europe,0.05338,37,37,-0.02005,0.12681
2007,46-65 y.,Direct migration background,Eastern Europe,0.04186,33,33,-0.02753,0.11125
2008,30-45 y.,Direct migration background,Eastern Europe,0.05929,33,33,-0.02254,0.14112
2008,46-65 y.,Direct migration background,Eastern Europe,0.04987,41,41,-0.01759,0.11733
2009,30-45 y.,Direct migration background,Eastern Europe,0.07329,32,32,-0.01845,0.16503
2009,46-65 y.,Direct migration background,Eastern Europe,0.05234,41,41,-0.01668,0.12135
2010,17-29 y.,Direct migration background,Eastern Europe,0.06159,38,38,-0.01588,0.13905
2010,30-45 y.,Direct migration background,Eastern Europe,0.06358,88,88,0.01230,0.11485
2010,46-65 y.,Direct migration background,Eastern Europe,0.05561,44,44,-0.01289,0.12410
2011,30-45 y.,Direct migration background,Eastern Europe,0.04393,35,35,-0.02496,0.11281
2011,46-65 y.,Direct migration background,Eastern Europe,0.06377,69,69,0.00569,0.12184
2012,17-29 y.,Direct migration background,Eastern Europe,0.09547,36,36,-0.00189,0.19283
2012,30-45 y.,Direct migration background,Eastern Europe,0.07156,96,96,0.01973,0.12339
2012,46-65 y.,Direct migration background,Eastern Europe,0.07718,79,79,0.01795,0.13641
2013,17-29 y.,Direct migration background,Eastern Europe,0.06017,112,112,0.01593,0.10441
2013,17-29 y.,Indirect migration background,Southern Europe,0.02103,51,86,-0.00947,0.05153
2013,17-29 y.,Indirect migration background,Western Asia,0.02190,35,86,-0.00921,0.05302
2013,30-45 y.,Direct migration background,Western Asia,0.00806,33,272,-0.00259,0.01871
2013,30-45 y.,Direct migration background,Eastern Europe,0.05119,239,272,0.02495,0.07743
2013,30-45 y.,Indirect migration background,Southern Europe,0.03831,55,55,-0.01289,0.08950
2013,46-65 y.,Direct migration background,Eastern Europe,0.06859,175,175,0.03104,0.10615
2014,17-29 y.,Direct migration background,Eastern Europe,0.04310,82,82,-0.00113,0.08732
2014,17-29 y.,Indirect migration background,Southern Europe,0.01672,44,44,-0.02160,0.05505
2014,30-45 y.,Direct migration background,Eastern Europe,0.04950,207,207,0.01988,0.07913
2014,30-45 y.,Indirect migration background,Southern Europe,0.05532,57,57,-0.00455,0.11520
2014,46-65 y.,Direct migration background,Eastern Europe,0.06461,168,168,0.02732,0.10189
2014,66 and older,Direct migration background,Eastern Europe,0.03102,32,32,-0.03001,0.09206
2015,17-29 y.,Direct migration background,Eastern Europe,0.03909,77,77,-0.00448,0.08266
2015,17-29 y.,Indirect migration background,Southern Europe,0.01774,34,34,-0.02730,0.06278
2015,30-45 y.,Direct migration background,Eastern Europe,0.04321,192,192,0.01437,0.07205
2015,30-45 y.,Indirect migration background,Southern Europe,0.05232,48,48,-0.01134,0.11599
2015,46-65 y.,Direct migration background,Eastern Europe,0.05731,146,146,0.01948,0.09514
2015,66 and older,Direct migration background,Eastern Europe,0.03837,31,31,-0.03037,0.10711
2016,17-29 y.,Direct migration background,Eastern Europe,0.03943,65,65,-0.00825,0.08712
2016,17-29 y.,Indirect migration background,Southern Europe,0.02176,31,31,-0.03045,0.07397
2016,30-45 y.,Direct migration background,Eastern Europe,0.04532,161,161,0.01309,0.07755
2016,30-45 y.,Indirect migration background,Southern Europe,0.05642,40,40,-0.01599,0.12884
2016,46-65 y.,Direct migration background,Eastern Europe,0.05455,146,146,0.01758,0.09151
2017,17-29 y.,Direct migration background,Eastern Europe,0.02996,54,54,-0.01594,0.07585
2017,17-29 y.,Indirect migration background,Southern Europe,0.02780,35,72,-0.01044,0.06604
2017,17-29 y.,Indirect migration background,Western Asia,0.02892,37,72,-0.01006,0.06790
2017,30-45 y.,Direct migration background,Eastern Europe,0.04969,163,163,0.01623,0.08316
2017,30-45 y.,Indirect migration background,Southern Europe,0.06575,48,48,-0.00511,0.13661
2017,46-65 y.,Direct migration background,Eastern Europe,0.05363,154,154,0.01793,0.08933
2017,66 and older,Direct migration background,Eastern Europe,0.06667,47,47,-0.00542,0.13876
2018,17-29 y.,Direct migration background,Eastern Europe,0.02598,39,39,-0.02460,0.07656
2018,17-29 y.,Indirect migration background,Western Asia,0.03602,43,43,-0.02034,0.09237
2018,30-45 y.,Direct migration background,Eastern Europe,0.04988,168,168,0.01686,0.08289
2018,30-45 y.,Indirect migration background,Southern Europe,0.07094,46,46,-0.00407,0.14596
2018,46-65 y.,Direct migration background,Eastern Europe,0.06169,166,166,0.02498,0.09840
2018,66 and older,Direct migration background,Eastern Europe,0.05018,49,49,-0.01158,0.11195
2019,17-29 y.,Indirect migration background,Southern Europe,0.02309,37,37,-0.02597,0.07215
2019,30-45 y.,Direct migration background,Eastern Europe,0.05610,148,148,0.01890,0.09330
2019,30-45 y.,Indirect migration background,Southern Europe,0.08133,45,45,0.00056,0.16209
2019,46-65 y.,Direct migration background,Eastern Europe,0.06035,174,174,0.02487,0.09584
2019,66 and older,Direct migration background,Eastern Europe,0.06808,44,44,-0.00721,0.14337
2020,17-29 y.,Direct migration background,Eastern Europe,0.01395,39,39,-0.02334,0.05125
2020,17-29 y.,Indirect migration background,Southern Europe,0.01335,42,42,-0.02178,0.04848
2020,30-45 y.,Direct migration background,Western Asia,0.00422,32,207,-0.00463,0.01307
2020,30-45 y.,Direct migration background,Eastern Europe,0.02726,175,207,0.00502,0.04950
2020,30-45 y.,Indirect migration background,Southern Europe,0.02664,46,46,-0.02041,0.07369
2020,46-65 y.,Direct migration background,Southern Europe,0.01833,41,193,-0.00064,0.03731
2020,46-65 y.,Direct migration background,Eastern Europe,0.02155,152,193,0.00101,0.04209
2020,66 and older,Direct migration background,Eastern Europe,0.03161,58,58,-0.01381,0.07703
2021,30-45 y.,Direct migration background,Eastern Europe,0.03204,104,104,-0.00197,0.06604
2021,46-65 y.,Direct migration background,Eastern Europe,0.03114,110,110,-0.00147,0.06375
2021,66 and older,Direct migration background,Eastern Europe,0.03463,35,35,-0.02683,0.09609
